No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー
339,4,1月27日(月),大井,第16回1日目,13,2,10R,1,2,11R,1,2,12R,4,3,1,,"71,225",
2,,12月30日(火),大井,第14回5日目,31,2,9R,1,6,10R,4,16,11R,3,1,,,"17,268,480",
3,,12月29日(月),大井,第14回4日目,17,3,8R,1,3,9R,7,1,10R,1,4,,,"1,794,675",
4,,12月26日(金),大井,第14回3日目,14,2,8R,3,2,9R,5,1,10R,2,1,,,"576,045",
5,,12月25日(木),浦和,第9回4日目,16,2,10R,3,1,11R,5,3,12R,3,1,,,"569,215",
6,,12月25日(木),大井,第14回2日目,14,2,10R,1,2,11R,2,1,12R,2,6,,,"158,440",
7,,12月24日(水),浦和,第9回3日目,19,2,10R,3,1,11R,2,9,12R,1,3,,,"200,815",
8,,12月24日(水),大井,第14回1日目,19,3,8R,1,9,9R,1,2,10R,5,1,1,,"921,890",
9,,12月23日(火),浦和,第9回2日目,17,2,10R,7,2,11R,1,2,12R,1,4,,,"294,020",
10,,12月22日(月),浦和,第9回1日目,25,1,10R,4,1,11R,5,4,12R,7,4,,,"8,437,630",
11,,12月19日(金),川崎,第10回5日目,27,3,10R,1,6,11R,1,8,12R,1,10,,,,"10,982,629"
176,1,7月17日(木),門別,第7回6日目,11,2,10R,1,2,11R,2,3,12R,1,2,,,"21,235",
13,,12月17日(水),川崎,第10回3日目,13,2,10R,3,1,11R,2,3,12R,3,1,,,"163,285",
14,,12月16日(火),川崎,第10回2日目,11,3,10R,1,2,11R,1,3,12R,1,3,,,"14,935",
194,6,7月3日(木),大井,第5回4日目,15,2,10R,2,3,11R,2,1,12R,1,6,,,"93,325",
16,,12月12日(金),船橋,第9回5日目,17,3,10R,9,1,11R,3,1,12R,2,1,,,"1,653,105",
17,,12月11日(木),船橋,第9回4日目,21,1,10R,2,4,11R,3,8,12R,1,3,,,"12,490,330",
18,,12月10日(水),船橋,第9回3日目,21,2,10R,6,7,11R,1,4,12R,1,2,1,,"2,367,630",
19,,12月9日(火),船橋,第9回2日目,30,1,10R,10,6,11R,1,2,12R,6,5,,,,"10,940,993"
20,,12月8日(月),船橋,第9回1日目,12,2,10R,2,4,11R,2,1,12R,1,2,,,"578,545",
21,,12月5日(金),大井,第13回5日目,18,2,10R,3,1,11R,4,5,12R,1,4,,,,"13,357,995"
22,,12月4日(木),大井,第13回4日目,32,2,10R,1,10,11R,8,10,12R,1,2,,,"16,059,760",
23,,12月3日(水),大井,第13回3日目,24,2,10R,1,2,11R,1,7,12R,7,6,1,,"9,138,210",
24,,12月2日(火),大井,第13回2日目,27,2,10R,11,5,11R,7,1,12R,1,2,,,,"12,755,197"
25,,12月1日(月),大井,第13回1日目,10,3,10R,1,2,11R,1,3,12R,2,1,,,"33,360",
200,3,6月30日(月),船橋,第4回1日目,18,3,10R,1,3,11R,1,4,12R,1,8,,,"97,835",
27,,11月27日(木),浦和,第8回3日目,15,3,10R,2,1,11R,1,6,12R,1,4,,,"294,565",
28,,11月26日(水),浦和,第8回2日目,20,2,10R,3,10,11R,2,1,12R,3,1,,,"4,527,195",
29,,11月25日(火),浦和,第8回1日目,11,2,10R,2,3,11R,1,2,12R,2,1,,,"10,725",
30,,11月21日(金),川崎,第9回5日目,26,1,10R,3,2,11R,1,6,12R,4,10,,,"4,888,770",
31,,11月20日(木),川崎,第9回4日目,24,1,10R,8,3,11R,1,3,12R,6,3,1,,"53,642,875",
32,,11月19日(水),川崎,第9回3日目,19,1,10R,5,3,11R,2,1,12R,3,5,,,,"11,103,491"
230,4,6月3日(火),船橋,第3回2日目,16,2,10R,1,3,11R,1,2,12R,5,4,,,"100,795",
34,,11月17日(月),川崎,第9回1日目,11,3,10R,1,2,11R,1,2,12R,1,4,,,"19,020",
280,2,4月15日(火),大井,第1回2日目,14,3,10R,1,3,11R,2,1,12R,1,6,1,,"101,015",
36,,11月13日(木),大井,第12回4日目,27,2,10R,1,12,11R,5,4,12R,1,4,,,"1,511,340",
37,,11月13日(木),門別,第16回3日目,22,1,10R,2,10,11R,3,4,12R,1,2,,,,"4,892,930"
38,,11月12日(水),大井,第12回3日目,18,2,10R,7,1,11R,1,4,12R,2,3,,,"7,033,250",
39,,11月12日(水),門別,第16回2日目,15,2,10R,2,1,11R,3,4,12R,1,4,,,"530,040",
40,,11月11日(火),大井,第12回2日目,13,3,10R,2,1,11R,1,4,12R,1,4,,,"46,645",
41,,11月11日(火),門別,第16回1日目,19,1,10R,7,2,11R,4,3,12R,1,2,,,"813,340",
42,,11月10日(月),大井,第12回1日目,22,2,10R,9,1,11R,3,6,12R,1,2,,,"1,685,250",
43,,11月7日(金),船橋,第8回5日目,16,2,10R,3,2,11R,4,1,12R,5,1,,,"1,538,020",
44,,11月6日(木),船橋,第8回4日目,19,2,10R,1,3,11R,1,2,12R,4,8,1,,"11,379,670",
45,,11月6日(木),門別,第15回6日目,22,2,10R,6,9,11R,1,2,12R,1,3,,,"2,431,525",
46,,11月5日(水),船橋,第8回3日目,34,0,10R,9,4,11R,6,8,12R,2,5,,,,"11,694,137"
47,,11月5日(水),門別,第15回5日目,16,2,10R,2,1,11R,6,1,12R,2,4,,,"656,740",
57,1,10月28日(火),門別,第15回1日目,16,2,10R,1,4,11R,4,3,12R,1,3,,,"1,226,880",
49,,11月3日(月),船橋,第8回1日目,23,2,9R,7,2,10R,5,1,11R,1,7,,,"14,326,235",
50,,11月3日(月),門別,第15回4日目,17,2,10R,1,4,11R,6,3,12R,1,2,,,"246,955",
51,,10月31日(金),浦和,第7回5日目,18,2,10R,1,2,11R,4,6,12R,4,1,1,,"2,498,755",
52,,10月30日(木),浦和,第7回4日目,26,2,10R,3,5,11R,8,1,12R,1,8,,,,"5,746,846"
53,,10月30日(木),門別,第15回3日目,23,2,10R,3,1,11R,1,2,12R,9,7,,,"9,201,700",
54,,10月29日(水),浦和,第7回3日目,23,1,10R,5,3,11R,1,9,12R,2,3,1,,"17,873,430",
55,,10月29日(水),門別,第15回2日目,17,2,10R,6,1,11R,2,5,12R,2,1,,,"2,210,325",
56,,10月28日(火),浦和,第7回2日目,22,2,10R,2,8,11R,8,1,12R,2,1,,,,"7,968,961"
71,1,10月15日(水),門別,第14回2日目,12,2,10R,1,2,11R,2,3,12R,1,3,,,"45,760",
116,3,9月4日(木),大井,第8回4日目,15,3,10R,1,3,11R,1,3,12R,1,6,1,,"107,995",
59,,10月24日(金),大井,第11回5日目,19,2,10R,6,7,11R,2,1,12R,2,1,1,,"777,570",
60,,10月23日(木),大井,第11回4日目,28,0,10R,7,4,11R,3,4,12R,2,8,,,,"9,185,575"
61,,10月23日(木),門別,第14回6日目,17,3,10R,1,6,11R,4,1,12R,4,1,,,"364,310",
62,,10月22日(水),大井,第11回3日目,22,2,10R,8,3,11R,6,1,12R,1,3,,,"5,486,305",
63,,10月22日(水),門別,第14回5日目,15,2,10R,6,3,11R,1,2,12R,1,2,1,,"378,940",
64,,10月21日(火),大井,第11回2日目,12,2,10R,2,1,11R,1,2,12R,2,4,,,"101,240",
65,,10月21日(火),門別,第14回4日目,20,1,10R,6,1,11R,2,4,12R,2,5,,,,"5,294,982"
66,,10月20日(月),大井,第11回1日目,14,3,10R,2,1,11R,1,6,12R,3,1,,,"47,735",
67,,10月17日(金),川崎,第8回5日目,10,3,10R,1,2,11R,1,2,12R,1,3,,,"50,645",
68,,10月16日(木),川崎,第8回4日目,16,2,10R,1,3,11R,3,1,12R,3,5,,,"969,415",
69,,10月16日(木),門別,第14回3日目,14,2,10R,3,2,11R,1,4,12R,3,1,,,"897,245",
70,,10月15日(水),川崎,第8回3日目,17,3,10R,2,1,11R,1,3,12R,1,9,1,,"702,840",
199,1,7月1日(火),門別,第6回4日目,17,2,10R,1,5,11R,3,4,12R,1,3,,,"44,130",
277,1,4月17日(木),門別,第1回2日目,15,2,10R,1,4,11R,2,3,12R,1,4,,,"88,215",
73,,10月14日(火),門別,第14回1日目,19,2,10R,1,3,11R,1,7,12R,4,3,,,"575,100",
74,,10月13日(月),川崎,第8回1日目,24,2,10R,3,8,11R,1,2,12R,1,9,,,"1,346,380",
75,,10月10日(金),大井,第10回6日目,12,2,8R,3,2,9R,3,1,10R,2,1,,,"128,040",
76,,10月9日(木),大井,第10回5日目,13,2,10R,3,1,11R,2,4,12R,1,2,,,"256,080",
77,,10月9日(木),門別,第13回6日目,11,3,10R,1,4,11R,1,2,12R,1,2,,,"19,095",
78,,10月8日(水),大井,第10回4日目,17,3,10R,3,1,11R,3,1,12R,8,1,,,"788,200",
79,,10月8日(水),門別,第13回5日目,12,3,10R,1,2,11R,1,4,12R,1,3,,,"10,685",
80,,10月7日(火),大井,第10回3日目,19,1,10R,4,2,11R,5,1,12R,2,5,,,"11,566,985",
81,,10月7日(火),門別,第13回4日目,17,1,10R,5,3,11R,2,4,12R,1,2,1,,"2,568,795",
355,,1月3日(金),川崎,第11回3日目,16,2,10R,1,3,11R,2,4,12R,1,5,1,,"108,210",
33,3,11月18日(火),川崎,第9回2日目,18,3,10R,1,2,11R,1,3,12R,1,10,,,"117,380",
84,,10月3日(金),船橋,第7回5日目,11,3,10R,1,2,11R,4,1,12R,1,2,,,"152,145",
85,,10月2日(木),船橋,第7回4日目,18,2,10R,1,3,11R,5,1,12R,5,3,,,"2,550,410",
86,,10月2日(木),門別,第13回3日目,23,2,10R,6,7,11R,1,6,12R,2,1,,,,"5,236,000"
87,,10月1日(水),船橋,第7回3日目,13,3,10R,3,1,11R,1,2,12R,1,5,,,"23,030",
88,,10月1日(水),門別,第13回2日目,17,2,10R,1,8,11R,2,1,12R,2,3,,,"821,640",
89,,9月30日(火),船橋,第7回2日目,13,2,10R,3,1,11R,3,1,12R,3,2,,,"503,265",
90,,9月30日(火),門別,第13回1日目,15,3,10R,1,5,11R,1,4,12R,1,3,,,"68,870",
190,,7月5日(土),船橋,第4回4日目,19,2,10R,1,3,11R,4,3,12R,1,7,,,"632,200",
92,,9月26日(金),浦和,第6回5日目,18,2,10R,2,1,11R,2,4,12R,1,8,,,"1,679,045",
93,,9月25日(木),浦和,第6回4日目,22,1,10R,4,3,11R,1,3,12R,6,5,,,"1,660,545",
94,,9月25日(木),門別,第12回6日目,19,1,10R,5,2,11R,5,2,12R,1,4,,,"1,459,630",
95,,9月24日(水),浦和,第6回3日目,11,3,10R,1,4,11R,1,2,12R,1,2,,,"46,940",
96,,9月24日(水),門別,第12回5日目,19,2,10R,9,2,11R,1,4,12R,1,2,,,"1,764,445",
97,,9月23日(火),浦和,第6回2日目,23,2,10R,1,4,11R,1,8,12R,4,5,,,"2,232,100",
98,,9月23日(火),門別,第12回4日目,20,2,10R,5,1,11R,1,2,12R,6,5,,,"657,505",
99,,9月22日(月),浦和,第6回1日目,14,2,10R,3,1,11R,1,4,12R,2,3,,,"212,130",
100,,9月19日(金),大井,第9回5日目,19,1,10R,4,2,11R,6,4,12R,1,2,,,"16,870,705",
203,1,6月26日(木),浦和,第3回4日目,12,2,10R,1,3,11R,2,3,12R,1,2,1,,"140,415",
102,,9月18日(木),門別,第12回3日目,19,2,10R,1,3,11R,8,3,12R,3,1,,,"4,428,890",
103,,9月17日(水),大井,第9回3日目,24,2,10R,8,3,11R,3,1,12R,8,1,,,,"12,270,391"
104,,9月17日(水),門別,第12回2日目,19,1,10R,2,1,11R,2,6,12R,2,6,1,,"1,322,140",
105,,9月16日(火),大井,第9回2日目,19,2,10R,1,6,11R,6,3,12R,1,2,,,"227,450",
106,,9月16日(火),門別,第12回1日目,26,0,10R,9,7,11R,2,3,12R,2,3,,,,"5,348,931"
107,,9月15日(月),大井,第9回1日目,28,1,10R,1,2,11R,3,11,12R,4,7,,,"14,634,025",
108,,9月12日(金),川崎,第7回5日目,18,3,10R,6,1,11R,1,4,12R,5,1,,,"2,588,245",
109,,9月11日(木),門別,第11回6日目,21,2,10R,7,3,11R,1,7,12R,2,1,,,"899,765",
110,,9月10日(水),川崎,第7回3日目,19,1,10R,3,1,11R,2,4,12R,3,6,,,"1,407,060",
111,,9月10日(水),門別,第11回5日目,17,2,10R,1,5,11R,6,2,12R,1,2,,,"834,265",
112,,9月9日(火),川崎,第7回2日目,21,2,10R,2,7,11R,1,3,12R,7,1,,,"2,788,005",
113,,9月9日(火),門別,第11回4日目,14,3,10R,2,1,11R,1,4,12R,1,5,,,"444,455",
114,,9月8日(月),川崎,第7回1日目,26,2,10R,2,10,11R,1,8,12R,1,4,,,"2,502,045",
115,,9月5日(金),大井,第8回5日目,27,1,10R,3,6,11R,2,6,12R,1,9,,,"3,870,820",
35,3,11月14日(金),大井,第12回5日目,16,3,10R,1,6,11R,1,2,12R,1,5,,,"155,255",
117,6,9月4日(木),門別,第11回3日目,16,1,10R,3,2,11R,1,3,12R,4,3,,,"439,495",
118,,9月3日(水),大井,第8回3日目,23,2,10R,1,3,11R,1,9,12R,6,3,,,,"13,230,462"
119,,9月3日(水),門別,第11回2日目,16,2,10R,1,5,11R,2,1,12R,5,2,,,"2,259,185",
120,,9月2日(火),大井,第8回2日目,17,1,10R,2,1,11R,2,3,12R,4,5,,,"641,925",
121,,9月2日(火),門別,第11回1日目,23,0,10R,6,5,11R,3,4,12R,2,3,1,,"9,966,360",
122,,9月1日(月),大井,第8回1日目,15,3,10R,1,3,11R,7,1,12R,1,2,,,"228,825",
123,,8月31日(日),船橋,第6回5日目,12,3,10R,2,1,11R,5,1,12R,2,1,1,,"322,075",
124,,8月29日(金),船橋,第6回3日目,18,2,10R,8,2,11R,1,4,12R,1,2,,,,"12,222,112"
125,,8月28日(木),船橋,第6回2日目,17,2,10R,4,1,11R,3,1,12R,6,2,,,"828,640",
126,,8月28日(木),門別,第10回6日目,20,1,10R,2,8,11R,4,2,12R,3,1,,,,"7,446,166"
