# JRA WIN5 results 2026 (Jan-May) -- 利用者提供のテキスト（単勝人気）から正確に転記。
# date,race,grade : 5レース目（メイン）のレース名・グレード
# payout_yen      : WIN5 払戻金（100円あたり）。空欄=キャリーオーバー/不的中
# hit_tickets     : 的中票数
# p1..p5          : 各レース当選馬の単勝人気順位（1=1番人気）。1〜5レース目の順
# pops_verified   : 人気5つが検証済みなら True
date,race,grade,payout_yen,hit_tickets,p1,p2,p3,p4,p5,pops_verified
2026-01-04,日刊スポーツ賞中山金杯,G3,2775800,184,5,2,1,4,7,True
2026-01-11,フェアリーステークス,G3,2787230,157,1,3,7,1,5,True
2026-01-12,シンザン記念,G3,2295980,192,1,1,3,4,9,True
2026-01-18,京成杯,G3,3365520,145,5,1,12,1,2,True
2026-01-25,アメリカJCC,G2,6120530,81,10,2,6,1,3,True
2026-02-01,根岸ステークス,G3,,0,7,2,5,16,6,True
2026-02-15,共同通信杯,G3,1559760,3159,1,2,4,6,2,True
2026-02-22,フェブラリーステークス,G1,215180,3590,2,1,4,1,2,True
2026-03-01,中山記念,G2,312270,2181,6,1,2,2,3,True
2026-03-08,弥生賞ディープインパクト記念,G2,33950990,20,1,9,6,7,3,True
2026-03-15,スプリングステークス,G2,34997770,17,1,4,8,11,8,True
2026-03-22,阪神大賞典,G2,5256900,110,3,6,12,2,1,True
2026-03-29,高松宮記念,G1,406190,1341,7,1,1,8,1,True
2026-04-05,大阪杯,G1,233700,2277,3,1,2,2,1,True
2026-04-12,桜花賞,G1,11445690,51,5,6,5,5,1,True
2026-04-19,皐月賞,G1,10041410,55,1,5,9,4,1,True
2026-04-25,青葉賞,G2,150775450,2,6,2,7,11,4,True
2026-04-26,フローラステークス,G2,541700,956,5,2,3,1,1,True
2026-05-02,京王杯スプリングカップ,G2,5258560,61,8,2,1,2,3,True
2026-05-03,天皇賞(春),G1,2542050,227,3,1,8,10,1,True
2026-05-09,エプソムカップ,G3,1874760,186,3,1,6,6,2,True
2026-05-10,NHKマイルカップ,G1,458890,1179,1,3,7,2,1,True
2026-05-16,新潟大賞典,G3,2500570,130,1,2,1,5,7,True
2026-05-17,ヴィクトリアマイル,G1,1821170,297,4,7,1,8,1,True
2026-05-23,平安ステークス,G3,782390,400,4,3,5,1,1,True
2026-05-24,優駿牝馬(オークス),G1,1271050,459,2,6,3,2,5,True
2026-05-30,葵ステークス,G3,250490,1477,1,2,5,1,5,True
2026-05-31,東京優駿(日本ダービー),G1,162030,3618,1,1,2,7,1,True
