"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第3巻

【目次】

　第5章　はじめてのClaude
　　コラム⑥
　第6章　毎日投稿という戦い
　　コラム⑦","[]"
"2","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第2巻）までのあらすじ】

佐藤ミサキ（32歳）は出産を機に退職し、「何者でもない自分」に絶望していた。

通帳の残高が減り続ける日々。「事務しかやったことない私に、何ができるの」と繰り返すなか、SNSで出会ったブログ記事が運命を変えた。

「WordとExcelしか使えない40手前のおっさんが、なぜ独立できたか」——著者・タクヤのウェビナーに申し込んだミサキ。「大事なのはプログラミングスキルじゃない。""何をやりたいか""を言葉にする力です」という言葉に心を動かされる。

貯金から9万円を投じてプログラムに申し込んだミサキ。それはスキルへの投資ではなく、「自分は変われる」という仮説への投資だった。","[]"
"3","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】演出: キャラクター紹介ページ
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 登場人物紹介。ミサキとひなたのイラスト。 ナレーション: ミサキ 32歳 主人公 / ひなた 2歳 ミサキの娘
2コマ目 (中段): ケンタのイラスト。 ナレーション: ケンタ 34歳 ミサキの夫
3コマ目 (下段): タクヤのイラスト。 ナレーション: タクヤ 42歳 メンター","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""ミサキ 32歳 主人公""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""ひなた 2歳 ミサキの娘""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""ケンタ 34歳 ミサキの夫""},{""panel_id"":3,""type"":""narration"",""speaker"":null,""text"":""タクヤ 42歳 メンター""}]"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目: タイトルページ。ダイニングテーブルにノートパソコン。タイトル「第5章 はじめてのClaude」が大きく配置。","[]"
"5","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): カレンダー。「初回面談」と書かれた日に丸がついている。 ナレーション: 申し込みから一週間後
2コマ目 (中段): ミサキがひなたを寝室に寝かせている。 セリフ: ミサキ「おやすみ、ひなた」 オノマトペ: すやすや
3コマ目 (下段): ダイニングでノートパソコンを起動するミサキ。緊張した表情。 ナレーション: 初回の面談が来た オノマトペ: カチッ","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""申し込みから一週間後""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""ミサキ"",""text"":""おやすみ、ひなた""},{""panel_id"":3,""type"":""narration"",""speaker"":null,""text"":""初回の面談が来た""}]"
"6","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段左): ミサキがパソコンの前に座り、姿勢を正している。緊張の表情。 ナレーション: 深呼吸をした
2コマ目 (上段右): ミサキの手元アップ。Zoomのリンクをクリックしようとしている。 オノマトペ: どきどき
3コマ目 (下段): パソコン画面。Zoomの接続中の画面。ミサキが固まっている。 ナレーション: 「本当に押せるのか、自分」","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""深呼吸をした""},{""panel_id"":3,""type"":""narration"",""speaker"":null,""text"":""「本当に押せるのか、自分」""}]"
"7","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ノートパソコンの画面にタクヤが映っている。穏やかな笑顔。 セリフ: タクヤ「こんにちは。よろしくお願いします」
2コマ目 (下段左): ミサキが緊張して声が裏返っている。 セリフ: ミサキ「よ、よろしくお願いします」
3コマ目 (下段右): ミサキが恥ずかしそうにしている。 ナレーション: 声が裏返った","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""タクヤ"",""text"":""こんにちは。よろしくお願いします""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""ミサキ"",""text"":""よ、よろしくお願いします""},{""panel_id"":3,""type"":""narration"",""speaker"":null,""text"":""声が裏返った""}]"
"8","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): タクヤが優しく確認する。 セリフ: タクヤ「緊張しないでいいですよ」
2コマ目 (下段): ミサキが少しほっとした表情。 セリフ: ミサキ「は、はい……ありがとうございます」","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""タクヤ"",""text"":""緊張しないでいいですよ""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""ミサキ"",""text"":""は、はい……ありがとうございます""}]"
"9","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): タクヤが真剣な表情で話している。 セリフ: タクヤ「申し込みの動機を教えてもらえますか？」
2コマ目 (中段): タクヤが続ける。 セリフ: タクヤ「本当の理由を聞かせてください」
3コマ目 (下段): ミサキが言葉に詰まっている表情。 ナレーション: ミサキは一瞬、言葉に詰まった","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""タクヤ"",""text"":""申し込みの動機を教えてもらえますか？""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""タクヤ"",""text"":""本当の理由を聞かせてください""},{""panel_id"":3,""type"":""narration"",""speaker"":null,""text"":""ミサキは一瞬、言葉に詰まった""}]"
"10","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): ミサキの手元アップ。膝の上でぎゅっと握りしめている。 オノマトペ: ぎゅっ
2コマ目 (下段大): ミサキの表情。目を伏せながら、正直に話している。 セリフ: ミサキ「育児中で、働きに出られなくて」","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""ミサキ"",""text"":""育児中で、働きに出られなくて""}]"
