year,born,no,name,raw_name,sire,bms,sex,coat,birth,farm,farm_sk,total_man,unit_man,trainer,height,girth,cannon,weight,club_no,src_note
2023,2022,1,マリアライトの22,マリアライトの22,エピファネイア,ディープインパクト,メス,黒鹿,2022-03-07,ノーザンＦ,,7000,17.5,,,,,,4,
2023,2022,2,ザズーの22,ザズーの22,キズナ,Tapit,牡,青鹿,2022-02-27,ノーザンＦ,,5000,12.5,,,,,,5,
2023,2022,3,ヴィルデローゼの22,ヴィルデローゼの22,キズナ,エンパイアメーカー,牡,黒鹿,2022-03-25,ノーザンＦ,,5000,12.5,,,,,,6,
2023,2022,4,ラドラーダの22,ラドラーダの22,キズナ,シンボリクリスエス,メス,鹿,2022-01-20,ノーザンＦ,,7000,17.5,,,,,,7,
2023,2022,5,アヴェンチュラの22,アヴェンチュラの22,ロードカナロア,ジャングルポケット,牡,鹿,2022-04-11,ノーザンＦ,,6000,15,,,,,,1,
2023,2022,6,アドマイヤセプターの22,アドマイヤセプターの22,シスキン,キングカメハメハ,牡,黒鹿,2022-01-19,ノーザンＦ,,5000,12.5,,,,,,79,
2023,2022,7,リリーバレロの22,リリーバレロの22,キタサンブラック,ロードカナロア,牡,鹿,2022-04-04,ノーザンＦ,,8000,20,,,,,,9,
2023,2022,8,ピュアブリーゼの22,ピュアブリーゼの22,キタサンブラック,Monsun,メス,鹿,2022-03-18,ノーザンＦ,,4000,10,,,,,,10,
2023,2022,9,ファナティックの22,ファナティックの22,サートゥルナーリア,ジャスタウェイ,牡,鹿,2022-02-13,白老Ｆ,,3600,9,,,,,,11,
2023,2022,10,クルミナルの22,クルミナルの22,サートゥルナーリア,ディープインパクト,牡,栗,2022-05-01,ノーザンＦ,,7000,17.5,,,,,,14,
2023,2022,11,パルクデラモールの22,パルクデラモールの22,サートゥルナーリア,ディープインパクト,メス,栗,2022-03-17,追分Ｆ,,2400,6,,,,,,15,
2023,2022,12,メリートの22,メリートの22,ドゥラメンテ,Redoute's Choice,牡,鹿,2022-02-08,ノーザンＦ,,5000,12.5,,,,,,16,
2023,2022,13,レオパルディナの22,レオパルディナの22,ドゥラメンテ,スニッツェル,メス,黒鹿,2022-01-24,ノーザンＦ,,4000,10,,,,,,18,
2023,2022,14,シングルゲイズの22,シングルゲイズの22,ドゥラメンテ,Not A Single Doubt,メス,栗,2022-01-26,ノーザンＦ,,5000,12.5,,,,,,19,
2023,2022,15,ミリッサの22,ミリッサの22,モーリス,ダイワメジャー,牡,青鹿,2022-03-03,ノーザンＦ,,5000,12.5,,,,,,24,
2023,2022,16,レッドレグナントの22,レッドレグナントの22,モーリス,ロードカナロア,メス,栗,2022-01-31,ノーザンＦ,,3200,8,,,,,,27,
2023,2022,17,ルヴォワールの22,ルヴォワールの22,レイデオロ,ハーツクライ,メス,黒鹿,2022-01-10,ノーザンＦ,,4000,10,,,,,,29,
2023,2022,18,リラヴァティの22,リラヴァティの22,レイデオロ,ゼンノロブロイ,メス,鹿,2022-02-01,ノーザンＦ,,4000,10,,,,,,30,
2023,2022,19,ベルディーヴァの22,ベルディーヴァの22,レイデオロ,ダイワメジャー,メス,黒鹿,2022-04-07,ノーザンＦ,,3600,9,,,,,,34,
2023,2022,20,エールデュレーヴの22,エールデュレーヴの22,レイデオロ,ディープインパクト,メス,青鹿,2022-04-21,ノーザンＦ,,3600,9,,,,,,36,
2023,2022,21,トーコーユズキの22,トーコーユズキの22,ナダル,,牡,,,,,4000,10,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,22,グリューヴァインの22,グリューヴァインの22,ナダル,ゴールドアリュール,メス,栗,2022-03-20,ノーザンＦ,,2400,6,,,,,,41,
2023,2022,23,ディアデラマドレの22,ディアデラマドレの22,ドレフォン,キングカメハメハ,メス,黒鹿,2022-03-10,ノーザンＦ,,5000,12.5,,,,,,49,
2023,2022,24,マスターワークの22,マスターワークの22,ドレフォン,ダイワメジャー,メス,栗,2022-04-20,ノーザンＦ,,2400,6,,,,,,50,
2023,2022,25,カーミングエフェクトの22,カーミングエフェクトの22,サトノダイヤモンド,War Front,牡,鹿,2022-02-01,ノーザンＦ,,3200,8,,,,,,43,
2023,2022,26,キャヴァルドレの22,キャヴァルドレの22,サトノダイヤモンド,サンデーブレイク,メス,鹿,2022-01-30,ノーザンＦ,,3000,7.5,,,,,,44,
2023,2022,27,マイミスリリーの22,マイミスリリーの22,サトノダイヤモンド,Tapit,メス,鹿,2022-02-28,レイクヴィラＦ,,3200,8,,,,,,45,
2023,2022,28,ワシントンレガシーの22,ワシントンレガシーの22,ルヴァンスレーヴ,クロフネ,牡,芦,2022-02-09,ノーザンＦ,,3000,7.5,,,,,,52,
2023,2022,29,セレナズヴォイスの22,セレナズヴォイスの22,ルヴァンスレーヴ,Honor Code,メス,鹿,2022-02-08,白老Ｆ,,2400,6,,,,,,53,
2023,2022,30,フォルテピアノの22,フォルテピアノの22,ルヴァンスレーヴ,フレンチデピュティ,メス,鹿,2022-02-11,ノーザンＦ,,2000,5,,,,,,54,
2023,2022,32,ティンバレスの22,ティンバレスの22,オルフェーヴル,ウォーエンブレム,メス,黒鹿,2022-02-08,ノーザンＦ,,2800,7,,,,,,56,
2023,2022,33,エリスライトの22,エリスライトの22,ルーラーシップ,ディープインパクト,牡,鹿,2022-02-14,ノーザンＦ,,4000,10,,,,,,75,
2023,2022,34,コンダクトレスの22,コンダクトレスの22,ルーラーシップ,ホワイトマズル,メス,鹿,2022-02-07,ノーザンＦ,,2800,7,,,,,,76,
2023,2022,35,コロナシオンの22,コロナシオンの22,フィエールマン,キングカメハメハ,牡,黒鹿,2022-03-16,ノーザンＦ,,3600,9,,,,,,69,
2023,2022,36,ピースエンブレムの22,ピースエンブレムの22,フィエールマン,ウォーエンブレム,メス,青鹿,2022-04-25,ノーザンＦ,,2400,6,,,,,,70,
2023,2022,37,ピンクアリエスの22,ピンクアリエスの22,アルアイン,キングカメハメハ,メス,鹿,2022-01-30,ノーザンＦ,,2400,6,,,,,,62,
2023,2022,38,ダイワオンディーヌの22,ダイワオンディーヌの22,スワーヴリチャード,クロフネ,メス,鹿,2022-03-25,ノーザンＦ,,1800,4.5,,,,,,66,
2023,2022,39,サンブルエミューズの22,サンブルエミューズの22,ブリックスアンドモルタル,ダイワメジャー,メス,栗,2022-03-24,ノーザンＦ,,6000,15,,,,,,59,
2023,2022,40,ケアレスウィスパーの22,ケアレスウィスパーの22,マインドユアビスケッツ,フジキセキ,牡,栗,2022-03-10,ノーザンＦ,,3200,8,,,,,,71,
2023,2022,41,アンフィトリテの22,アンフィトリテの22,ミッキーアイル,ロードカナロア,メス,栗,2022-02-19,ノーザンＦ,,2600,6.5,,,,,,74,
2023,2022,42,エディスワートンの22,エディスワートンの22,リアルスティール,Dubawi,牡,鹿,2022-02-01,ノーザンＦ,,3200,8,,,,,,88,
2023,2022,43,ココシュニックの22,ココシュニックの22,アドマイヤマーズ,クロフネ,メス,芦,2022-03-02,ノーザンＦ,,2400,6,,,,,,77,
2023,2022,44,ヴィータアレグリアの22,ヴィータアレグリアの22,ゴールドドリーム,ネオユニヴァース,牡,栗,2022-04-02,ノーザンＦ,,3200,8,,,,,,63,
2023,2022,45,フェルミオンの22,フェルミオンの22,シュヴァルグラン,アグネスタキオン,牡,栗,2022-04-24,ノーザンＦ,,2600,6.5,,,,,,80,
2023,2022,46,ヴィアンローズの22,ヴィアンローズの22,シルバーステート,Sevres Rose,牡,青鹿,2022-04-24,ノーザンＦ,,3000,7.5,,,,,,81,
2023,2022,47,スペクトロライトの22,スペクトロライトの22,ヘニーヒューズ,ディープインパクト,牡,栗,2022-01-21,ノーザンＦ,,3600,9,,,,,,85,
2023,2022,48,ローズノーブルの22,ローズノーブルの22,リオンディーズ,ディープインパクト,牡,青鹿,2022-03-13,ノーザンＦ,,4000,10,,,,,,89,
2023,2022,49,ユーセニアの22,ユーセニアの22,Blue Point,,牡,,,,,5000,12.5,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,50,シェイリーンⅡの22,シェイリーンⅡの22,Saxon Warrior,Rip Van Winkle,牡,鹿,2022-01-10,ノーザンＦ,,3600,9,,,,,,94,
2023,2022,51,ビートマッチの22,ビートマッチの22,エピファネイア,ルーラーシップ,牡,鹿,2022-04-29,ノーザンＦ,,5000,12.5,,,,,,3,
2023,2022,52,ソートアフターの22,ソートアフターの22,エピファネイア,,メス,,,,,4200,10.5,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,53,キャンプロックの22,キャンプロックの22,キズナ,,牡,,,,,6000,15,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,54,ミスティークⅡの22,ミスティークⅡの22,キズナ,,メス,,,,,3600,9,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
