year,born,no,name,dam,dam_age,n_foals,kutai,sire,bms,sex,coat,birth,trainer,farm,total_man,unit_yen,height,girth,cannon,weight,ikusei,note,hyoka,boyu
2020,2019,1,デックドアウトの19,デックドアウト,6,1,初年度,ディープインパクト,Street Boss,牡,青鹿,2020-02-10,萩原,レイクヴィラＦ,8000,200000,154,177,20,431,NF空港,,,
2020,2019,2,ヒルダズパッションの19,ヒルダズパッション,12,7,,ディープインパクト,Canadian Frontier,牡,鹿,2020-02-27,藤沢,ノーザンＦ,15000,375000,157,180,20,455,NF早来,,,
2020,2019,3,ティズトレメンダスの19,ティズトレメンダス,9,2,,ディープインパクト,Tiz Wonderful,メス,鹿,2020-05-27,木村,ノーザンＦ,6400,160000,150.5,169,19.7,390,NF早来,,,
2020,2019,4,ファイナルディシジョンの19,ファイナルディシジョン,6,2,,ハーツクライ,Super Saver,メス,栗,2020-05-09,手塚,ノーザンＦ,3000,75000,158,176,19.7,460,NF早来,動画○,,
2020,2019,5,サミターの19,サミター,10,5,,ロードカナロア,ロックオブジブラルタル,牡,鹿,2020-01-27,国枝,ノーザンＦ,5000,125000,150.5,176.5,20.1,426,NF早来,,,
2020,2019,6,ハープスターの19,ハープスター,8,2,○,ロードカナロア,ディープインパクト,牡,鹿,2020-04-09,木村,ノーザンＦ,10000,250000,154,174,21,447,NF空港,,,
2020,2019,7,ルージュバックの19,ルージュバック,7,1,初年度,ロードカナロア,マンハッタンカフェ,メス,鹿,2020-03-07,大竹,ノーザンＦ,5000,125000,155,172,19.8,421,NF空港,,,
2020,2019,8,シーズンズベストの19,シーズンズベスト,12,5,,ロードカナロア,ゼンノロブロイ,メス,鹿,2020-05-06,萩原,ノーザンＦ,3600,90000,147.5,168,19,398,NF早来,,,
2020,2019,9,ティロレスカの19,ティロレスカ,8,1,○,ドゥラメンテ,Roman Ruler,牡,黒鹿,2020-02-05,木村,ノーザンＦ,4000,100000,155,173,20,449,NF早来,,,
2020,2019,10,ヒストリックスターの19,ヒストリックスター,14,10,,ドゥラメンテ,ファルブラヴ,牡,栗,2020-05-16,宮田,ノーザンＦ,4400,110000,154,173.5,21,413,NF空港,,,
2020,2019,11,ピュアブリーゼの19,ピュアブリーゼ,11,5,,ドゥラメンテ,Monsun,メス,栗,2020-02-06,古賀,ノーザンＦ,2800,70000,158,178,19.5,459,NF空港,,,
2020,2019,12,シェルズレイの19,シェルズレイ,16,10,,ドゥラメンテ,クロフネ,メス,栗,2020-02-28,木村,ノーザンＦ,3200,80000,155.5,174,19.4,438,NF空港,,,
