"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第2巻

【目次】

　第4話　事務しかやったことない私に
　　コラム④
　第5話　9万円の決意
　　コラム⑤","[]"
"2","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: キャラクター紹介ページ
◆【ストーリー】
1コマ目 (ページ全体): 登場人物紹介ページ。画面上部に「登場人物」のタイトル。キャラクターを縦に並べ、それぞれ全身イラスト＋横に名前と一行紹介。
・ミサキ: 32歳。主人公。「何者でもない自分」からの再起を模索。
・ケンタ: 34歳。ミサキの夫。妻を支える。
・ひなた（2歳期）: ミサキとケンタの娘。2歳になり活発に。
・タクヤ: 42歳。メンター。元営業マン→AI活用コンサルタント。
セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"3","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1巻）までのあらすじ】

佐藤ミサキ（32歳）は、夫のケンタと幸せな妊娠生活を送っていた。しかし職場では「また産休か」という同僚の声、つわりとの闘い、そして給湯室で聞こえた本音——。

産休に入ったミサキは、復帰後の居場所がすでに失われていることを知る。在宅勤務の制度もなく、追い詰められた末に退職を決意。

退職届を出したその日、ミサキは「名刺のない世界」に放り出された。同期のグループを非表示にし、「何者でもない自分」に怯える日々。スマホの求人サイトを眺めても「事務しかやったことない私に、何ができるの」という問いが頭の中でループする。

ミサキの本当のキャリアは——ここから始まる。","[]"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 扉ページ。タイトル〝第4話 ワンオペと通帳残高〟を画面中央に大きく配置。背景は物語の雰囲気を表す抽象的なイメージ。 セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"5","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上小下大（上1コマ小＋下1コマ大）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): カレンダーのクローズアップ。1ヶ月分のバツ印が並ぶ。窓の外は曇り空。 セリフ: なし ナレーション: ［四角枠］退職してから、一ヶ月が過ぎた。 オノマトペ: なし
2コマ目 (下・大): 早朝のリビング、ミサキが疲れた表情でひなたを抱き上げている。部屋は薄暗い。 セリフ: なし ナレーション: ［四角枠］ミサキの一日は、同じことの繰り返しだった。6時。ひなたの泣き声で目が覚める。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""退職してから、一ヶ月が過ぎた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキの一日は、同じことの繰り返しだった。6時。ひなたの泣き声で目が覚める。""}]"
"6","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがおむつを替えている場面。隣にミルク瓶が置いてある。 セリフ: なし ナレーション: ［四角枠］おむつを替える。ミルクを作る。離乳食を準備する。食べさせる。こぼされる。拭く。 オノマトペ: なし
2コマ目 (中段): ミサキが洗濯物を干している背後で、ひなたが棚の中身を引っ張り出している。 セリフ: なし ナレーション: ［四角枠］着替えさせる。洗濯機を回す。掃除する。ひなたが棚の中身を全部引っ張り出す。片付ける。また出される。 オノマトペ: ガシャガシャ
3コマ目 (下段): 夕方、ミサキがくたくたの表情でソファにもたれている。 セリフ: なし ナレーション: ［四角枠］午前中に支援センターに行く日もある。行かない日もある。行っても行かなくても、夕方にはくたくたになっている。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""おむつを替える。ミルクを作る。離乳食を準備する。食べさせる。こぼされる。拭く。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""着替えさせる。洗濯機を回す。掃除する。ひなたが棚の中身を全部引っ張り出す。片付ける。また出される。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""午前中に支援センターに行く日もある。行かない日もある。行っても行かなくても、夕方にはくたくたになっている。""}]"
"7","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): キッチンでミサキがひなたを片膝に乗せたまま野菜を刻んでいる。不安そうな表情。 セリフ: なし ナレーション: ［四角枠］買い物。夕飯の準備。ひなたを膝に乗せたまま野菜を刻む。危ないな、と思いながら。 オノマトペ: トントン
2コマ目 (下左): お風呂場でひなたを洗っているミサキ。湯気が立ち込める。 セリフ: なし ナレーション: ［四角枠］お風呂。寝かしつけ。 オノマトペ: なし
3コマ目 (下右): 暗い寝室でひなたの背中をトントンしているミサキ。時計は21時を指している。 セリフ: なし ナレーション: なし オノマトペ: トントン","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""買い物。夕飯の準備。ひなたを膝に乗せたまま野菜を刻む。危ないな、と思いながら。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""お風呂。寝かしつけ。""}]"
"8","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画（34歳男性、短めの黒髪サイド刈り上げ）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ4: 上大下小（上1コマ大＋下1コマ小）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): 玄関でケンタが帰宅。疲れた表情。時計は22時。ミサキがリビングから迎える。 セリフ: ［ケンタ］の吹き出しに「お疲れ様」 ナレーション: ［四角枠］ケンタが帰ってくる。22時。 オノマトペ: ガチャ
2コマ目 (下・小): ミサキの横顔アップ。疲れた薄い笑み。 セリフ: ［ミサキ］の吹き出しに「お疲れ様」 ナレーション: ［四角枠］会話はそれだけの日が増えた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""お疲れ様""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタが帰ってくる。22時。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""お疲れ様""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""会話はそれだけの日が増えた。""}]"
"9","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ベージュのカーディガン+白いTシャツ+デニムパンツ
◆【コマ構成】テンプレ3: 上小下大（上1コマ小＋下1コマ大）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): 銀行ATMコーナーの外観。ベビーカーを押すミサキの後ろ姿。 セリフ: なし ナレーション: ［四角枠］ある日の午後、銀行のATMに立ち寄った。ひなたをベビーカーに乗せたまま、通帳を記帳する。 オノマトペ: なし
2コマ目 (下・大): ATM画面のクローズアップ。通帳の数字が並ぶ。給与振込が途絶えている。 セリフ: なし ナレーション: ［四角枠］数字が並ぶ。給与の振込が、先月で止まっている。育児休業給付金ももう出ていない。退職したのだから、当然だ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ある日の午後、銀行のATMに立ち寄った。ひなたをベビーカーに乗せたまま、通帳を記帳する。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""数字が並ぶ。給与の振込が、先月で止まっている。育児休業給付金ももう出ていない。退職したのだから、当然だ。""}]"
"10","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ベージュのカーディガン+白いTシャツ+デニムパンツ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 通帳の残高を見つめるミサキの手元アップ。数字が赤く強調される演出。 セリフ: なし ナレーション: ［四角枠］残高を見る。ケンタの給料から、家賃、光熱費、食費、ひなたのおむつ代、ミルク代——。毎月、確実に減っていく。 オノマトペ: なし
2コマ目 (中段): マンションの外観と家計簿のイメージが重なる演出。 セリフ: なし ナレーション: ［四角枠］共働きを前提に組んだ家計。マンションの家賃も、ケンタの給料だけではギリギリだった。 オノマトペ: なし
3コマ目 (下段): ミサキの表情クローズアップ。唇を噛みしめている。 セリフ: なし ナレーション: ［四角枠］「……まずい」声に出したわけではなかった。でも、喉の奥が詰まった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""残高を見る。ケンタの給料から、家賃、光熱費、食費、ひなたのおむつ代、ミルク代——。毎月、確実に減っていく。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""共働きを前提に組んだ家計。マンションの家賃も、ケンタの給料だけではギリギリだった。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""「……まずい」声に出したわけではなかった。でも、喉の奥が詰まった。""}]"
