"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON","outfit_id"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第4巻

【目次】

　第7章　フォロワー100人の夜
　　コラム⑧　承認と自己効力感——「できる」という感覚を取り戻すために
　第8章　初めての振込通知
　　コラム⑨　雇われる以外の選択肢——「個人で稼ぐ」の現在地
　エピローグ　私のキャリアは、私が決める
　　コラム⑩　最終メッセージ——「あなたのキャリアは、あなたが決める」","[]",""
"2","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1〜3巻）までのあらすじ】

佐藤ミサキ（32歳）は、妊娠を機に職場で孤立し、産休・退職という道を歩んだ。退職後は「名刺のない自分」に怯え、通帳の残高が減るなか「事務しかやったことない私に何ができるの」という問いが頭の中でループし続けた。

転機は、夫のケンタが見せてくれたSNSの投稿。タクヤのウェビナーに参加し、貯金から9万円を投じてプログラムへの申し込みを決断した。

第3巻では、タクヤの指導のもとClaudeを使いこなし始め、Instagramへの毎日投稿に挑戦。育児の合間を縫いながら、転んでも止めない継続力を身につけてきた。

いま、ミサキのフォロワーは70人——。初めての大バズまで、あと一歩のところまで来ている。","[]",""
"3","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 登場人物紹介ページ。上段にミサキとひなたの全身イラスト。中段にケンタの全身イラスト。下段にタクヤの全身イラスト。各キャラの隣にナレーションボックスで名前と紹介文を配置。 ナレーション: 「ミサキ 32歳 元事務職ワンオペママ」 / 「ひなた 2歳 ミサキの娘」 / 「ケンタ 34歳 ミサキの夫」 / 「タクヤ 42歳 キャリアコーチ・メンター」 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキ 32歳 元事務職ワンオペママ""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなた 2歳 ミサキの娘""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタ 34歳 ミサキの夫""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤ 42歳 キャリアコーチ・メンター""}]","misaki_casual"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第7章扉ページ。深夜のリビング、ノートパソコンの画面の前に座るミサキの横顔。スマートフォンを手に持ち、フォロワー数を見つめている。集中線でドラマティックに演出。タイトル「第7章　フォロワー100人の夜」を画面中央に大きく配置。 オノマトペ: ジリリリリ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第7章　フォロワー100人の夜""}]","misaki_work_home"
"5","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 深夜0時。スマートフォンのアラームが鳴っている。効果線とギザギザ吹き出し。 ナレーション: 「投稿を続けて、2ヶ月が過ぎた。」 オノマトペ: ジリリリリ……！
2コマ目 (中段): ミサキがそっとひなたの部屋をのぞき、布団をかけ直している。ひなたがスヤスヤ眠っている。 ナレーション: 「深夜0時。ひなたが寝た合図だ。」 オノマトペ: スヤスヤ
3コマ目 (下段): ミサキがリビングのパソコンを開く。スマートフォンのフォロワー数を確認。「70」という数字が画面に映る。 セリフ: ミサキ（内心）「……70人か」","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""投稿を続けて、2ヶ月が過ぎた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""深夜0時。ひなたが寝た合図だ。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……70人か""}]","misaki_work_home"
"6","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキの胸元に鼓動の集中線演出。もどかしい表情。 ナレーション: 「数字が増えない。もどかしい。」 オノマトペ: ドキドキドキドキ——
2コマ目 (下左): ミサキが投稿ボタンを押す。胸がざわつく表情。 ナレーション: 「投稿のたびにドキドキして」 オノマトペ: ポチッ
3コマ目 (下右): スマホ画面クローズアップ。いいねが「3」の数字。ミサキがシュルシュルとしぼんでいく表情。 セリフ: ミサキ（内心）「また3か……」 ナレーション: 「いいねが3か4でシュルシュルと気持ちが萎んでいく。その繰り返しだった。」 オノマトペ: シュルシュル","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""数字が増えない。もどかしい。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""また3か……""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""いいねが3か4でシュルシュルと気持ちが萎んでいく。その繰り返しだった。""}]","misaki_work_home"
"7","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): Zoom面談の場面。タクヤがパソコン画面越しに話しかける。 セリフ: タクヤ「佐藤さん、ちょっとデータを見てみましょうか。Claudeにエンゲージメント分析を頼んでみてください」 ナレーション: 「タクヤとのZoom面談の日。」
2コマ目 (中段): ミサキが首を傾げる。 セリフ: ミサキ「エンゲージメント分析……？」
3コマ目 (下段): タクヤが説明する。 セリフ: タクヤ「どの投稿にどんな反応があったか、まとめてClaudeに渡して、傾向を教えてもらうんです」","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤとのZoom面談の日。""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""佐藤さん、ちょっとデータを見てみましょうか。Claudeにエンゲージメント分析を頼んでみてください""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""エンゲージメント分析……？""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""どの投稿にどんな反応があったか、まとめてClaudeに渡して、傾向を教えてもらうんです""}]","misaki_work_home"
"8","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキがキーボードを叩き、Claudeに分析を依頼するプロンプトを入力する。 セリフ: ミサキ「この投稿データの中で、いいね・コメント・保存が多かった投稿の共通点を分析してください」 ナレーション: 「ミサキは過去2ヶ月分の投稿データをコピーして、Claudeに貼り付けた。」 オノマトペ: カチャカチャ
2コマ目 (下左): エンターキーを押す指のアップ。緊張感の集中線。 ナレーション: 「エンターを押す。」 オノマトペ: ピロン——
3コマ目 (下右): 画面にClaudeの分析結果が流れてくる。ミサキが食い入るように読む。 ナレーション: 「Claudeの分析結果が流れ始めた。」","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは過去2ヶ月分の投稿データをコピーして、Claudeに貼り付けた。""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""この投稿データの中で、いいね・コメント・保存が多かった投稿の共通点を分析してください""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""エンターを押す。""}]","misaki_work_home"
"9","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ4: 上大＋下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキが分析結果を読んで衝撃を受ける。目が見開かれ、ガーン！の効果線と爆発エフェクト。全身に電撃が走る演出。 セリフ: ミサキ「……え」 オノマトペ: ガーン！
2コマ目 (下・小): タクヤが静かに尋ねる。 セリフ: タクヤ「どうでした？」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……え""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""どうでした？""}]","misaki_work_home"
"10","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが震える声で分析結果を読み上げる。 セリフ: ミサキ「自分の失敗体験が入っていて、感情が正直に書かれた投稿が突出して反応が高い……って」
2コマ目 (中段): タクヤが静かに頷く。 セリフ: タクヤ「そうですね」
3コマ目 (下段): ミサキが顔を赤らめながら言う。 セリフ: ミサキ「でも私、そういう投稿ほど恥ずかしくて、投稿するのに30分悩むんですよ」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""自分の失敗体験が入っていて、感情が正直に書かれた投稿が突出して反応が高い……って""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""そうですね""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""でも私、そういう投稿ほど恥ずかしくて、投稿するのに30分悩むんですよ""}]","misaki_work_home"
