院名,AI種別,質問No,質問カテゴリ,質問文,実施日時,言及有無,推薦順位,引用元種別,引用元詳細,誤情報有無,誤情報内容,質問別素点,再実施フラグ,再実施理由,備考
テスト楽々整体院,ChatGPT,1,おすすめ,大宮市でおすすめの整体院はどこですか？,2026-07-12 10:00,あり,1位相当,一次情報,公式サイトのURLを提示,なし,,10,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q1.png
テスト楽々整体院,ChatGPT,2,おすすめ,腰痛に強いおすすめの整体院を大宮市で教えてください。,2026-07-12 10:03,あり,2〜3位相当,二次情報,口コミサイトの評価を引用,なし,,6,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q2.png
テスト楽々整体院,ChatGPT,3,比較,大宮市の整体院と接骨院の違いを教えてください。,2026-07-12 10:05,あり,言及のみ,引用なし,,なし,,3,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q3.png
テスト楽々整体院,ChatGPT,4,比較,大宮市で人気の整体院テスト楽々整体院と大宮からだ回復院、どちらが評判がいいですか？,2026-07-12 10:08,なし,対象外,,,なし,,0,,,言及なし
テスト楽々整体院,ChatGPT,5,料金,大宮市の整体の相場料金はいくらくらいですか？,2026-07-12 10:10,あり,1位相当,引用なし,,なし,,8,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q5.png
テスト楽々整体院,ChatGPT,6,料金,腰痛の施術にかかる整体の料金相場を教えてください。,2026-07-12 10:12,あり,2〜3位相当,一次情報,公式サイトの料金表を引用,あり,回答内の初回料金が実際より2000円高い金額で記載,4,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q6.png
テスト楽々整体院,ChatGPT,7,口コミ・評判,大宮市の整体院で口コミが多いところはどこですか？,2026-07-12 10:15,あり,言及のみ,二次情報,口コミサイトの件数を引用,なし,,4,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q7.png
テスト楽々整体院,ChatGPT,8,口コミ・評判,大宮市の整体院で評判が良い理由は何ですか？,2026-07-12 10:17,あり,言及のみ,引用なし,,あり,営業時間が実際と異なる時間で紹介された,0,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q8.png
テスト楽々整体院,ChatGPT,9,近くの,近くの整体院を教えてください。大宮市にいます。,2026-07-12 10:19,あり,2〜3位相当,引用なし,,なし,,5,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q9.png
テスト楽々整体院,ChatGPT,10,近くの,大宮市駅周辺で今すぐ予約できる整体院はありますか？,2026-07-12 10:21,あり,1位相当,二次情報,口コミサイトの紹介記事を引用,なし,,9,,,回答記録: 実施記録/テスト楽々整体院/chatgpt_q10.png
テスト楽々整体院,Gemini,1,おすすめ,大宮市でおすすめの整体院はどこですか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,2,おすすめ,腰痛に強いおすすめの整体院を大宮市で教えてください。,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,3,比較,大宮市の整体院と接骨院の違いを教えてください。,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,4,比較,大宮市で人気の整体院テスト楽々整体院と大宮からだ回復院、どちらが評判がいいですか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,5,料金,大宮市の整体の相場料金はいくらくらいですか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,6,料金,腰痛の施術にかかる整体の料金相場を教えてください。,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,7,口コミ・評判,大宮市の整体院で口コミが多いところはどこですか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,8,口コミ・評判,大宮市の整体院で評判が良い理由は何ですか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,9,近くの,近くの整体院を教えてください。大宮市にいます。,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Gemini,10,近くの,大宮市駅周辺で今すぐ予約できる整体院はありますか？,,実測不可,,,,,,,,,アカウントの二段階認証コードが受信できずログイン不可のため実測不可
テスト楽々整体院,Perplexity,1,おすすめ,大宮市でおすすめの整体院はどこですか？,2026-07-12 11:00,あり,1位相当,一次情報,公式サイトを出典として提示,なし,,10,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q1.png
テスト楽々整体院,Perplexity,2,おすすめ,腰痛に強いおすすめの整体院を大宮市で教えてください。,2026-07-12 11:02,あり,1位相当,一次情報,公式サイトを出典として提示,あり,住所の番地が実際と異なる,7,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q2.png
テスト楽々整体院,Perplexity,3,比較,大宮市の整体院と接骨院の違いを教えてください。,2026-07-12 11:04,あり,2〜3位相当,一次情報,公式サイトを出典として提示,なし,,7,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q3.png
テスト楽々整体院,Perplexity,4,比較,大宮市で人気の整体院テスト楽々整体院と大宮からだ回復院、どちらが評判がいいですか？,2026-07-12 11:06,あり,言及のみ,引用なし,,なし,,3,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q4.png
テスト楽々整体院,Perplexity,5,料金,大宮市の整体の相場料金はいくらくらいですか？,2026-07-12 11:08,なし,対象外,,,なし,,0,,,言及なし
