ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第2巻

【目次】

　第4話　事務しかやったことない私に
　　コラム④
　第5話　9万円の決意
　　コラム⑤",[],
2,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1巻）までのあらすじ】

佐藤ミサキ（32歳）は、夫のケンタと幸せな妊娠生活を送っていた。しかし職場では「また産休か」という同僚の声、つわりとの闘い、そして給湯室で聞こえた本音——。

産休に入ったミサキは、復帰後の居場所がすでに失われていることを知る。在宅勤務の制度もなく、追い詰められた末に退職を決意。

退職届を出したその日、ミサキは「名刺のない世界」に放り出された。同期のグループを非表示にし、「何者でもない自分」に怯える日々。スマホの求人サイトを眺めても「事務しかやったことない私に、何ができるの」という問いが頭の中でループする。

ミサキの本当のキャリアは——ここから始まる。",[],
3,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: キャラクター紹介ページ
◆【ストーリー】
1コマ目 (上段): シーン描写。 セリフ: なし ナレーション: ［四角枠］ミサキ 32歳 元事務職、［四角枠］ひなた 2歳 ミサキの娘 オノマトペ: なし
2コマ目 (中段): シーン描写。 セリフ: なし ナレーション: ［四角枠］ケンタ 34歳 ミサキの夫、［四角枠］山田課長 50代 元上司 オノマトペ: なし
3コマ目 (下段): シーン描写。 セリフ: なし ナレーション: ［四角枠］タクヤ 42歳 メンター オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキ 32歳 元事務職""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなた 2歳 ミサキの娘""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタ 34歳 ミサキの夫""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""山田課長 50代 元上司""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤ 42歳 メンター""}]",misaki_casual
4,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 扉ページ。タイトル〝第4話 ワンオペと通帳残高〟を画面中央に大きく配置。背景は物語の雰囲気を表す抽象的なイメージ。 セリフ: なし ナレーション: なし オノマトペ: なし",[],misaki_casual
5,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ3: 上小下大（上1コマ小＋下1コマ大）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): シーン描写。 セリフ: なし ナレーション: ［四角枠］退職してから、一ヶ月が過ぎた。 オノマトペ: なし
2コマ目 (下・大): シーン描写。 セリフ: なし ナレーション: ［四角枠］ミサキの一日は、同じことの繰り返しだった。6時。 オノマトペ: なし
1コマ目 (上・小): シーン描写。 セリフ: なし ナレーション: ［四角枠］ひなたの泣き声で目が覚める。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""退職してから、一ヶ月が過ぎた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキの一日は、同じことの繰り返しだった。6時。""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたの泣き声で目が覚める。""}]",misaki_casual
6,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): シーン描写。 セリフ: なし ナレーション: ［四角枠］おむつを替える。ミルクを作る。離乳食を準備する。食べさせる。 オノマトペ: なし
2コマ目 (中段): シーン描写。 セリフ: なし ナレーション: ［四角枠］こぼされる。拭く。、［四角枠］着替えさせる。洗濯機を回す。掃除する。 オノマトペ: なし
3コマ目 (下段): シーン描写。 セリフ: なし ナレーション: ［四角枠］ひなたが棚の中身を全部引っ張り出す。片付ける。また出される。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""おむつを替える。ミルクを作る。離乳食を準備する。食べさせる。こぼされる。拭く。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""こぼされる。拭く。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""着替えさせる。洗濯機を回す。掃除する。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたが棚の中身を全部引っ張り出す。片付ける。また出される。""}]",misaki_casual
7,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): シーン描写。 セリフ: なし ナレーション: ［四角枠］午前中に支援センターに行く日もある。行かない日もある。 オノマトペ: なし
2コマ目 (中段): シーン描写。 セリフ: なし ナレーション: ［四角枠］行っても行かなくても、夕方にはくたくたになっている。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""午前中に支援センターに行く日もある。行かない日もある。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""行っても行かなくても、夕方にはくたくたになっている。""}]",misaki_casual
8,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): シーン描写。 セリフ: なし ナレーション: ［四角枠］買い物。夕飯の準備。ひなたを膝に乗せたまま野菜を刻む。 オノマトペ: なし
2コマ目 (下左): シーン描写。 セリフ: なし ナレーション: ［四角枠］危ないな、と思いながら。、［四角枠］お風呂。寝かしつけ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""買い物。夕飯の準備。ひなたを膝に乗せたまま野菜を刻む。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""危ないな、と思いながら。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""お風呂。寝かしつけ。""}]",misaki_casual
9,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画（34歳男性、短めの黒髪サイド刈り上げ）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 白い無地のシャツにベージュのチノパン、茶色の革靴（仕事帰り・夜の帰宅シーン）
◆【コマ構成】テンプレ4: 上大下小（上1コマ大＋下1コマ小）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): シーン描写。 セリフ: 「お疲れ様」、「お疲れ様」 ナレーション: ［四角枠］ケンタが帰ってくる。22時。 オノマトペ: なし
2コマ目 (下・小): シーン描写。 セリフ: なし ナレーション: ［四角枠］会話はそれだけの日が増えた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""お疲れ様""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタが帰ってくる。22時。""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""お疲れ様""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""会話はそれだけの日が増えた。""}]",kenta_work_casual
10,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上・中・下3段（3コマ）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出

◆【ストーリー】
1コマ目 (上・小): シーン描写。 セリフ: なし ナレーション: ［四角枠］ある日の午後、銀行のATMに立ち寄った。 オノマトペ: なし
2コマ目 (下・大): シーン描写。 セリフ: なし ナレーション: ［四角枠］ひなたをベビーカーに乗せたまま、通帳を記帳する。 オノマトペ: なし
◆【ストーリー】
1コマ目 (上・小): シーン描写。 セリフ: なし ナレーション: ［四角枠］数字が並ぶ。給与の振込が、先月で止まっている。 オノマトペ: なし
2コマ目 (下・大): シーン描写。 セリフ: なし ナレーション: ［四角枠］育児休業給付金ももう出ていない。退職したのだから、当然だ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ある日の午後、銀行のATMに立ち寄った。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたをベビーカーに乗せたまま、通帳を記帳する。""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""数字が並ぶ。給与の振込は先月で止まり、育児給付金も退職後は出ていない。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""育児休業給付金ももう出ていない。退職したのだから当然だ——それでも、残高が目に刺さった。""}]",misaki_casual
