id,type,text,character,voice_id,page
1,dialogue,"先生！ いきなりですけど、私、歴史の授業で一番モヤモヤしてることがあるんです。",ミユ,Female_3,1
2,dialogue,"お、なんだいミユくん。モヤモヤする歴史なんて山ほどあるけど、今日はどのあたりかな？",ヨウイチ,Male_15,1
3,dialogue,"邪馬台国ですよ、邪馬台国！ 卑弥呼がいました、金印もらいました、まではいいんです。でも、結局どこにあったの？って話になると、教科書でも九州説と近畿説がありますで終わっちゃうじゃないですか。あれ、もう答え出ないんですか？",ミユ,Female_3,1
4,pause,"",,PAUSE_0.5S,1
5,dialogue,"なるほどね。確かにサンビャクネン以上続く、日本史最大のミステリーだ 。でもね、ミユくん。実はここ数年、特にニセンニジュウサンネンからニセンニジュウゴネンにかけて、この論争を揺るがす衝撃的な発見が相次いでいることを知っているかな？",ヨウイチ,Male_15,1
6,dialogue,"えっ、最近ですか？ 昔の話じゃなくて？",ミユ,Female_3,1
7,dialogue,"そう。佐賀県の吉野ヶ里遺跡で見つかった謎の石棺や、奈良県の古墳から出た国宝級の鏡...これらが今、これまでの常識をひっくり返そうとしているんだ 。今日は、最新の文献史学と考古学データを使って、この長年の謎にニセンニジュウゴネン時点での最強の回答を出してみようか。",ヨウイチ,Male_15,1
8,dialogue,"面白そう！ 知ってたつもりが一番恥ずかしいですもんね。詳しく教えてください！",ミユ,Female_3,1
9,pause,"",,PAUSE_0.5S,1
10,dialogue,"まず、邪馬台国という国をひとことで定義するところから始めよう。ミユくん、邪馬台国ってどんな国だと思う？",ヨウイチ,Male_15,1
11,dialogue,"うーん...卑弥呼という怪しいおばあちゃんが、占いで政治をしてた未開の部族？",ミユ,Female_3,1
12,dialogue,"厳しいね（笑）。でも、実はそれが大きな誤解なんだ。 邪馬台国とは、高度な外交能力を持ち、宗教的権威と行政権を分担したシステムを持つ国家と定義できる 。",ヨウイチ,Male_15,1
13,dialogue,"えっ、そんなにちゃんとした国だったんですか？",ミユ,Female_3,1
14,dialogue,"そうなんだ。当時の中国は三国志の時代。強大な魏という国から親魏倭王という称号をもらい、金印まで授かっていた。これは周辺の国々の中でも破格の扱いなんだよ 。",ヨウイチ,Male_15,1
15,dialogue,"へぇー、未開の部族じゃなくて、中国に認められた外交国家だったんですね。",ミユ,Female_3,1
