母馬名,母馬の馬齢,経過年数t,入厩,父,性別,募集総額_万円,厩舎,枠の口数,予測D_口,予測D_下位10%,予測D_上位10%,枠が埋まる確率,中間発表の観測年数,抽選ランクの観測年数,産駒数,馬体重,馬体重補正_倍,馬体重を使わない確率
パドゥヴァルス,9,8,関東,アドマイヤマーズ,めす,3000万,勢司和浩,200,354,154,813,0.809,1,3,4,442.0,1.17,0.736
アンフィトリテ,11,10,関東,モーリス,牡馬,5000万,林徹,200,370,143,958,0.796,0,2,5,447.0,1.18,0.729
フィニフティ,11,10,関西,ナダル,めす,4000万,藤原英昭,200,370,143,958,0.796,0,2,4,492.0,1.18,0.729
ヴァルキュリア,9,8,関西,リアルスティール,牡馬,6000万,高柳大輔,200,361,143,907,0.793,1,1,2,458.0,1.18,0.723
コンダクトレス,11,10,関西,アドマイヤマーズ,めす,3000万,橋口慎介,200,360,139,934,0.785,0,2,3,447.0,1.18,0.716
フィリアプーラ,10,9,関東,エフフォーリア,めす,6000万,森一誠,200,336,133,846,0.764,1,1,3,440.0,1.13,0.710
アーズローヴァー,10,9,関西,サトノアラジン,牡馬,2400万,西村真幸,200,353,127,984,0.761,0,1,3,460.0,1.18,0.694
ラクスバラディー,7,6,関西,アドマイヤマーズ,めす,3200万,長谷川浩大,200,383,107,1373,0.743,0,0,1,447.0,1.18,0.687
クルークハイト,12,11,関西,ルヴァンスレーヴ,牡馬,5000万,斉藤崇史,200,296,133,659,0.735,2,3,4,470.0,1.18,0.644
エルカスティージョ,8,7,関東,スワーヴリチャード,めす,4600万,加藤征弘,200,302,122,746,0.721,1,1,2,471.0,1.18,0.639
ブランシェクール,13,12,地方,ジュンライトボルト,めす,2800万,門別・田中淳司厩舎or川崎・内田勝義厩舎（外厩）,50,74,30,186,0.708,0,2,4,490.0,1.18,0.626
シーズンズギフト,9,8,関東,ピクシーナイト,めす,3600万,黒岩陽一,200,290,117,717,0.700,1,1,2,489.0,1.18,0.616
スルーセブンシーズ,8,7,関東,キタサンブラック,めす,7000万,尾関知人,200,303,85,1082,0.662,0,0,1,473.0,1.18,0.600
ジェムフェザー,8,7,関東,マジェスティックウォリアー,牡馬,3200万,伊藤大士,200,303,85,1082,0.662,0,0,1,456.0,1.18,0.600
ストゥーティ,8,7,関西,キタサンブラック,めす,6000万,福永祐一,200,303,85,1082,0.662,0,0,1,463.0,1.18,0.600
クロワドフェール,9,8,関西,リアルスティール,牡馬,4600万,清水久詞,200,256,105,623,0.638,1,1,2,455.0,1.18,0.547
メサルティム,11,10,関西,アドマイヤマーズ,牡馬,4000万,杉山佳明,200,243,99,599,0.610,1,1,3,447.0,1.18,0.519
メルヴィル,7,6,関東,クリソベリル,めす,2400万,高橋文雅,200,249,68,912,0.585,0,0,1,420.0,0.76,0.687
シャイントレイル,12,11,関東,ミッキーアイル,めす,2800万,矢野英一,200,235,86,645,0.581,0,1,3,440.0,1.13,0.521
コルコバード,13,12,関東,エピファネイア,めす,7000万,木村哲也,200,225,103,491,0.577,1,4,5,479.0,1.18,0.471
ライティア,9,8,関西,エフフォーリア,牡馬,6000万,武幸四郎,200,240,68,852,0.573,0,0,1,445.0,1.18,0.508
プルメリアスター,14,13,関東,ロードカナロア,牡馬,6000万,千葉直人,200,203,95,433,0.511,2,5,7,436.0,1.04,0.482
シンハライト,13,12,関西,エフフォーリア,めす,7000万,斉藤崇史,200,197,88,442,0.490,2,2,7,442.0,1.17,0.392
ククナ,8,7,関西,エピファネイア,めす,6000万,四位洋文,200,175,47,649,0.448,0,0,1,414.0,0.68,0.600
アールブリュット,14,13,関東,キズナ,牡馬,12000万,田中博康,200,178,79,401,0.428,0,3,5,444.0,1.18,0.331
セレナズヴォイス,9,8,関東,チュウワウィザード,めす,1800万,柄崎将寿,200,176,77,401,0.420,1,2,5,457.0,1.18,0.325
サンクテュエール,9,8,関東,ドレフォン,牡馬,6000万,西田雄一郎,200,162,45,587,0.417,0,0,2,422.0,0.79,0.508
エスティタート,13,12,関西,キタサンブラック,牡馬,8000万,上村洋行,200,174,81,375,0.409,1,4,6,480.0,1.18,0.308
ファーストフォリオ,9,8,関東,コントレイル,牡馬,8000万,堀宣行,200,141,38,520,0.367,0,0,2,415.0,0.69,0.508
サンブルエミューズ,16,15,関西,モーリス,めす,6000万,高野友和,200,160,72,358,0.362,0,3,7,454.0,1.18,0.270
レイパパレ,9,8,関西,エピファネイア,牡馬,10000万,高野友和,200,139,38,511,0.360,0,0,2,414.0,0.68,0.508
ブルーメンクローネ,11,10,関西,シュネルマイスター,牡馬,5000万,小林真也,200,158,69,362,0.358,1,2,4,506.0,1.18,0.269
ミリッサ,12,11,関東,エフフォーリア,牡馬,7000万,木村哲也,200,156,70,347,0.345,1,3,4,430.0,0.93,0.388
ブロンディーヴァ,9,8,関東,ニューイヤーズデイ,牡馬,3200万,高木登,200,143,57,359,0.321,1,1,2,474.0,1.18,0.245
リカビトス,12,11,関東,シュネルマイスター,牡馬,5000万,奥村武,200,137,59,321,0.286,2,4,5,410.0,0.63,0.558
ゴールドティア,9,8,関東,アドマイヤマーズ,めす,3200万,松尾卓哉,200,127,46,347,0.281,0,1,2,442.0,1.17,0.217
