"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第3巻

【目次】

　第6話　はじめてのAI
　　コラム⑥
　第7話　毎日投稿という戦い
　　コラム⑦
　第8話　100人の意味
　　コラム⑧","[]"
"2","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: キャラクター紹介ページ
◆【ストーリー】
1コマ目 (ページ全体): 登場人物紹介ページ。画面上部に「登場人物」のタイトル。キャラクターを縦に並べ、それぞれ全身イラスト＋横に名前と一行紹介。
・ミサキ: 32歳。主人公。AIを武器に発信を始める。
・ケンタ: 34歳。ミサキの夫。妻の挑戦を見守る。
・ひなた（2歳期）: ミサキとケンタの娘。元気いっぱいの2歳児。
・タクヤ: 42歳。ミサキのメンター。AI活用のプロ。
セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"3","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1〜2巻）までのあらすじ】

佐藤ミサキ（32歳）は出産を機に退職し、「何者でもない自分」に絶望していた。

しかしケンタの後押しで自分のスキルを棚卸ししたミサキは、「事務しかやったことない」と思い込んでいた自分が、実は情報整理力・段取り力という強みを持っていることに気づく。

あるブログ記事がきっかけで知ったAI活用の可能性。メンターのタクヤが開催するウェビナーに参加したミサキは、「プログラミングスキルは不要。大事なのは""何をやりたいか""を言葉にする力」という言葉に心を動かされる。

貯金から9万円を投じてプログラムに申し込んだミサキ。それはスキルへの投資ではなく、「自分は変われる」という仮説への投資だった。","[]"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【タイトルページ】ダイニングテーブルにノートパソコンを置き、画面にはClaudeのチャット画面が映っている。ミサキが椅子に座り、画面を覗き込んでいる。背景にひなたが昼寝しているリビングが見える。タイトル「第6話 はじめてのClaude」が大きく配置。 セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"5","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): カレンダーのアップ。「初回面談」と書かれた日に丸がついている。 セリフ: なし ナレーション: ［四角枠］プログラムに申し込んでから一週間後——初回のオンライン面談の日が来た オノマトペ: なし
2コマ目 (中段): ミサキがひなたを寝室のベッドに寝かせている場面。優しくトントンしている。 セリフ: ［ミサキ］の吹き出しに「おやすみ、ひなた」 ナレーション: なし オノマトペ: すやすや…
3コマ目 (下段): ダイニングテーブルにノートパソコンを置き、Zoomを起動するミサキ。緊張した表情。 セリフ: なし ナレーション: ［四角枠］ひなたを昼寝させて、ノートパソコンを準備する オノマトペ: カチッ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""プログラムに申し込んでから一週間後——初回のオンライン面談の日が来た""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""おやすみ、ひなた""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたを昼寝させて、ノートパソコンを準備する""}]"
"6","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ノートパソコンの画面にタクヤが映っている。穏やかな笑顔。オンライン面談の画面。 セリフ: ［タクヤ］の吹き出しに「佐藤さん、こんにちは。今日はよろしくお願いします」 ナレーション: なし オノマトペ: なし
2コマ目 (下段左): ミサキの顔アップ。緊張して声が裏返っている表情。 セリフ: ［ミサキ］の吹き出しに「よ、よろしくお願いします」 ナレーション: なし オノマトペ: なし
3コマ目 (下段右): ミサキが自分の声の裏返りに気づいて恥ずかしそうにしている。 セリフ: なし ナレーション: ［四角枠］声が裏返った。緊張している オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""佐藤さん、こんにちは。今日はよろしくお願いします""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""よ、よろしくお願いします""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""声が裏返った。緊張している""}]"
"7","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): パソコン画面のタクヤ。真剣な表情で話している。 セリフ: ［タクヤ］の吹き出しに「申し込みの動機に""AIに興味があります""って書いてくださってましたよね」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): タクヤが身を乗り出して質問している画面。 セリフ: ［タクヤ］の吹き出しに「本当の理由、教えてもらえますか？」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが言葉に詰まっている表情のアップ。 セリフ: ［ミサキ］の吹き出しに「はい……」 ナレーション: ［四角枠］ミサキは一瞬、言葉に詰まった オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""申し込みの動機に\""AIに興味があります\""って書いてくださってましたよね""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""本当の理由、教えてもらえますか？""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""はい……""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは一瞬、言葉に詰まった""}]"
"8","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): ミサキの手元アップ。膝の上で手をぎゅっと握りしめている。 セリフ: なし ナレーション: なし オノマトペ: ぎゅっ
2コマ目 (下段大): ミサキの表情。目を伏せながら、でも正直に話している。背景に暗いトーンのモヤがかかっている。 セリフ: ［ミサキ］の吹き出しに「育児中で、働きに出られなくて。でも家計が厳しくて。在宅で稼ぐ方法を探してたんです」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""育児中で、働きに出られなくて。でも家計が厳しくて。在宅で稼ぐ方法を探してたんです""}]"
"9","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段左): ミサキが自信なさげに話している。 セリフ: ［ミサキ］の吹き出しに「事務しかやったことなくて、何もスキルがなくて」 ナレーション: なし オノマトペ: なし
2コマ目 (上段右): タクヤが興味を持った表情。 セリフ: ［タクヤ］の吹き出しに「事務の経験があるんですね」 ［ミサキ］の吹き出しに「はい。5年間、経理部で」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが笑顔で指を立てている画面。ミサキが驚いている。 セリフ: ［タクヤ］の吹き出しに「それ、かなりの強みですよ」 ［ミサキ］の吹き出しに「え？」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""事務しかやったことなくて、何もスキルがなくて""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""事務の経験があるんですね""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""はい。5年間、経理部で""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""それ、かなりの強みですよ""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""え？""}]"
"10","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): タクヤが確認している画面。 セリフ: ［タクヤ］の吹き出しに「パソコンは使えますか？」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ミサキが少し自信なさげに答えている。 セリフ: ［ミサキ］の吹き出しに「Excel、Word、メールくらいなら……」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが明るい笑顔で。 セリフ: ［タクヤ］の吹き出しに「十分です。じゃあ、今日はClaudeというツールを触ってみましょう」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""パソコンは使えますか？""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""Excel、Word、メールくらいなら……""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""十分です。じゃあ、今日はClaudeというツールを触ってみましょう""}]"
