new_page,source_page,kind,part,total
1,1,text,0,0
2,2,split,1,1
3,3,split,1,3
4,3,split,2,3
5,3,split,3,3
6,4,split,1,2
7,4,split,2,2
8,5,split,1,2
9,5,split,2,2
10,6,split,1,4
11,6,split,2,4
12,6,split,3,4
13,6,split,4,4
14,7,split,1,4
15,7,split,2,4
16,7,split,3,4
17,7,split,4,4
18,8,split,1,4
19,8,split,2,4
20,8,split,3,4
21,8,split,4,4
22,9,split,1,1
23,10,split,1,2
24,10,split,2,2
25,11,split,1,2
26,11,split,2,2
27,12,split,1,3
28,12,split,2,3
29,12,split,3,3
30,13,split,1,7
31,13,split,2,7
32,13,split,3,7
33,13,split,4,7
34,13,split,5,7
35,13,split,6,7
36,13,split,7,7
37,14,split,1,2
38,14,split,2,2
39,15,split,1,5
40,15,split,2,5
41,15,split,3,5
42,15,split,4,5
43,15,split,5,5
44,16,split,1,3
45,16,split,2,3
46,16,split,3,3
47,17,split,1,6
48,17,split,2,6
49,17,split,3,6
50,17,split,4,6
51,17,split,5,6
52,17,split,6,6
53,18,split,1,1
54,19,split,1,2
55,19,split,2,2
56,20,split,1,2
57,20,split,2,2
58,21,split,1,1
59,22,split,1,2
60,22,split,2,2
61,23,split,1,1
62,24,split,1,1
63,25,split,1,1
64,26,split,1,1
65,27,split,1,2
66,27,split,2,2
67,28,split,1,2
68,28,split,2,2
69,29,split,1,5
70,29,split,2,5
71,29,split,3,5
72,29,split,4,5
73,29,split,5,5
74,30,split,1,3
75,30,split,2,3
76,30,split,3,3
77,31,split,1,2
78,31,split,2,2
79,32,split,1,6
80,32,split,2,6
81,32,split,3,6
82,32,split,4,6
83,32,split,5,6
84,32,split,6,6
85,33,split,1,3
86,33,split,2,3
87,33,split,3,3
88,34,split,1,4
89,34,split,2,4
90,34,split,3,4
91,34,split,4,4
92,35,split,1,1
93,36,split,1,2
94,36,split,2,2
95,37,split,1,2
96,37,split,2,2
97,38,split,1,11
98,38,split,2,11
99,38,split,3,11
100,38,split,4,11
101,38,split,5,11
102,38,split,6,11
103,38,split,7,11
104,38,split,8,11
105,38,split,9,11
106,38,split,10,11
107,38,split,11,11
108,39,split,1,7
109,39,split,2,7
110,39,split,3,7
111,39,split,4,7
112,39,split,5,7
113,39,split,6,7
114,39,split,7,7
115,40,split,1,9
116,40,split,2,9
117,40,split,3,9
118,40,split,4,9
119,40,split,5,9
120,40,split,6,9
121,40,split,7,9
122,40,split,8,9
123,40,split,9,9
124,41,split,1,2
125,41,split,2,2
126,42,split,1,2
127,42,split,2,2
128,43,split,1,2
129,43,split,2,2
130,44,split,1,1
131,45,split,1,6
132,45,split,2,6
133,45,split,3,6
134,45,split,4,6
135,45,split,5,6
136,45,split,6,6
137,46,split,1,2
138,46,split,2,2
139,47,split,1,1
140,48,split,1,1
141,49,split,1,2
142,49,split,2,2
143,50,split,1,2
144,50,split,2,2
145,51,split,1,2
146,51,split,2,2
147,52,split,1,1
148,53,split,1,1
149,54,split,1,4
150,54,split,2,4
151,54,split,3,4
152,54,split,4,4
153,55,split,1,6
154,55,split,2,6
155,55,split,3,6
156,55,split,4,6
157,55,split,5,6
158,55,split,6,6
159,56,split,1,1
160,57,split,1,8
161,57,split,2,8
162,57,split,3,8
163,57,split,4,8
164,57,split,5,8
165,57,split,6,8
166,57,split,7,8
167,57,split,8,8
168,58,split,1,2
169,58,split,2,2
170,59,split,1,1
171,60,split,1,1
172,61,split,1,1
173,62,split,1,2
174,62,split,2,2
175,63,split,1,2
176,63,split,2,2
177,64,split,1,1
178,65,split,1,2
179,65,split,2,2
180,66,split,1,2
181,66,split,2,2
182,67,split,1,1
183,68,split,1,2
184,68,split,2,2
185,69,split,1,2
186,69,split,2,2
187,70,split,1,2
188,70,split,2,2
189,71,split,1,1
190,72,split,1,1
191,73,split,1,1
192,74,split,1,1
193,75,split,1,2
194,75,split,2,2
195,76,split,1,3
196,76,split,2,3
197,76,split,3,3
198,77,split,1,5
199,77,split,2,5
200,77,split,3,5
201,77,split,4,5
202,77,split,5,5
203,78,split,1,1
204,79,split,1,1
205,80,split,1,2
206,80,split,2,2
207,81,split,1,1
208,82,split,1,2
209,82,split,2,2
210,83,split,1,2
211,83,split,2,2
212,84,split,1,1
213,85,split,1,1
214,86,split,1,3
215,86,split,2,3
216,86,split,3,3
217,87,split,1,2
218,87,split,2,2
219,88,split,1,2
220,88,split,2,2
221,89,split,1,1
222,90,split,1,1
223,91,split,1,1
224,92,split,1,1
225,93,split,1,1
226,94,split,1,9
227,94,split,2,9
228,94,split,3,9
229,94,split,4,9
230,94,split,5,9
231,94,split,6,9
232,94,split,7,9
233,94,split,8,9
234,94,split,9,9
235,95,split,1,5
236,95,split,2,5
237,95,split,3,5
238,95,split,4,5
239,95,split,5,5
240,96,split,1,1
241,97,split,1,3
242,97,split,2,3
243,97,split,3,3
244,98,split,1,1
245,99,split,1,2
246,99,split,2,2
247,100,split,1,7
248,100,split,2,7
249,100,split,3,7
250,100,split,4,7
251,100,split,5,7
252,100,split,6,7
253,100,split,7,7
254,101,split,1,6
255,101,split,2,6
256,101,split,3,6
257,101,split,4,6
258,101,split,5,6
259,101,split,6,6
260,102,split,1,1
261,103,split,1,1
262,104,split,1,1
263,105,split,1,1
264,106,split,1,2
265,106,split,2,2
266,107,split,1,2
267,107,split,2,2
268,108,split,1,2
269,108,split,2,2
270,109,split,1,2
271,109,split,2,2
272,110,split,1,2
273,110,split,2,2
274,111,split,1,1
275,112,split,1,1
276,113,split,1,1
277,114,split,1,1
278,115,split,1,2
279,115,split,2,2
280,116,split,1,1
281,117,split,1,2
282,117,split,2,2
283,118,split,1,2
284,118,split,2,2
285,119,text,0,0
286,120,text,0,0
287,121,text,0,0
