ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】表紙
◆【本文】
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
（既存表紙を踏襲。変更なし）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
プロローグ「Claude＋Geminiの二刀流からChatGPT一本へ」
ページ構成: P002（扉）+ P003〜P007（本編5P）+ P008（まとめ）= 7P
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━",[],
2,テンプレ1,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ1: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「二刀流から、一本化へ」
「最後のピースは画像だった」
◆【ストーリー】
P002: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""二刀流から、一本化へ。最後のピースは画像だった。""}]",mina_work
3,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「二刀流が合理だった世界」
「そこから、一本化へ。」
◆【ストーリー】
P003: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""二刀流が合理だった世界。""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""そこから、一本化へ。""}]",mina_work
4,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「Claudeで書く」
「Geminiで画像」
◆【ストーリー】
P004: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""Claudeで書く。""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""Geminiで画像。""}]",mina_work
5,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「テキストとコードはClaude」
「画像はNanobanana」
◆【ストーリー】
P005: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""テキストとコードはClaude。""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""画像はNanobanana。""}]",mina_work
6,テンプレ1,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ1: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「これが私の毎日でした。」
◆【ストーリー】
P006: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""これが私の毎日でした。""}]",mina_work
7,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「あれ……画像まで？」
「ChatGPTで出てきた。」
◆【ストーリー】
P007: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""あれ……画像まで？""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""ChatGPTで出てきた。""}]",mina_work
8,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「Gemini開かなくていいの？」
「ChatGPTだけで足りるかも」
◆【ストーリー】
P008: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""真田ユイ"",""text"":""Gemini開かなくていいの？""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""ChatGPTだけで足りるかも。""}]",mina_work
9,テンプレ2,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ2: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「1か月前：Claude＋Gemini」
「いま：ChatGPT単体」
◆【ストーリー】
P009: 旧P002-P009の導入部を読みやすさ優先で再構成。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""1か月前：Claude＋Gemini""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""いま：ChatGPT単体""}]",ren_mentor
10,テンプレ1,"◆【注意】画面内文字は以下の短い文字だけ。説明文を追加しない。文字は大きく読みやすく。
◆【絶対最優先】必ずフルカラー。必ず日本のアニメ・マンガ調。実写風は禁止。
◆【出力サイズ】2:3
◆【余白】上下左右に50ピクセルの余白。
◆【コマ構成】テンプレ1: 文字量を最小化した読みやすいページ。
◆【作画】現代ビジネス成長マンガ。一段大げさな日本の商業マンガ調。大きな表情、集中線、衝撃背景。文字は少なく、絵で意味を伝える。
◆【画面内テキスト】
「すべてがChatGPT一つに」
◆【ストーリー】
P010: プロローグ後半。1ページに情報を詰め込まず、絵と短い言葉だけで伝える。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""すべてがChatGPT一つに。""}]",ren_mentor
