"テンプレ","プロンプト","JSON","outfit"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜。ひなたを寝かしつけたミサキが、タクヤのブログを読み直している。スマホの画面が暗い部屋に光る。 セリフ: なし ナレーション: ［四角枠］Zoom面談の前日夜。ひなたを寝かしつけたあと、ミサキはタクヤのブログを読み返した。 オノマトペ: なし
2コマ目 (中段): スマホの画面に「AIで稼ぐ」「在宅で収入を作る」という文字が見える。ミサキが真剣な目で読んでいる。 セリフ: ［ミサキ（内心）］の吹き出しに「本当に私でもできるのかな……」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートに「明日聞くこと」とメモをとるミサキ。「プログラミングは必要？」「英語は必要？」「月にどれくらいかかる？」と書いている。 セリフ: なし ナレーション: ［四角枠］ノートに「明日聞くこと」を書き出した。 オノマトペ: カリカリ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""Zoom面談の前日夜。ひなたを寝かしつけたあと、ミサキはタクヤのブログを読み返した。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""本当に私でもできるのかな……""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ノートに「明日聞くこと」を書き出した。""}]","misaki_casual"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 夜、ケンタが帰宅。ミサキがZoom面談のことを話す。 セリフ: ［ミサキ］の吹き出しに「明日、例のAIコーチングの人とZoom面談があって……」 ナレーション: なし オノマトペ: ガチャ
2コマ目 (下右): ケンタが穏やかに答える。 セリフ: ［ケンタ］の吹き出しに「そうか。どんな感じだった？ウェビナー」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): ミサキが少し照れながら答える。 セリフ: ［ミサキ］の吹き出しに「面白かった。やってみたいって、ちょっと思った」 ナレーション: ［四角枠］「ちょっと」と言ったけど、本当は「かなり」だった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""明日、例のAIコーチングの人とZoom面談があって……""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""そうか。どんな感じだった？ウェビナー""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""面白かった。やってみたいって、ちょっと思った""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""「ちょっと」と言ったけど、本当は「かなり」だった。""}]","kenta_work_casual"
"テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ケンタが迷わず答える。穏やかだが確かな目で。 セリフ: ［ケンタ］の吹き出しに「やってみたら。俺はいいと思う」 ナレーション: ［四角枠］ケンタは迷わなかった。 オノマトペ: なし
2コマ目 (下・小): ミサキの胸に温かいものが広がる。 セリフ: ［ミサキ（内心）］の吹き出しに「……ありがとう」 ナレーション: ［四角枠］9万円という金額は言えなかった。でも、背中を押してもらえた気がした。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""やってみたら。俺はいいと思う""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタは迷わなかった。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……ありがとう""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""9万円という金額は言えなかった。でも、背中を押してもらえた気がした。""}]","kenta_work_casual"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 朝。ミサキがひなたに帽子をかぶせている。保育園の支度。 セリフ: ［ミサキ］の吹き出しに「ひなた、今日ね、ママ大事な話し合いがあるんだよ」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ひなたが「あーあー」と無邪気に返す。 セリフ: ［ひなた］の吹き出しに「あー」 ナレーション: ［四角枠］ひなたは何もわからない。それが逆に、ミサキの緊張を少しほぐした。 オノマトペ: なし
3コマ目 (下段): 保育園から帰ったミサキが時計を見る。Zoom開始まであと30分。 セリフ: ［ミサキ（内心）］の吹き出しに「よし……やるぞ」 ナレーション: なし オノマトペ: ドキドキ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""ひなた、今日ね、ママ大事な話し合いがあるんだよ""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ひなた"", ""text"": ""あー""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたは何もわからない。それが逆に、ミサキの緊張を少しほぐした。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""よし……やるぞ""}]","misaki_casual"
"テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ミサキの手元アップ。キーボードの上にある指先。 セリフ: なし ナレーション: ［四角枠］ミサキはキーボードに指を置いた。 オノマトペ: なし
2コマ目 (下・大): Claude画面のアップ。入力欄に「冷蔵庫にキャベツと豚肉と卵があるんですけど、何か簡単に作れるものありますか？」という文字が入力されている。ミサキが緊張した表情でエンターキーに指を乗せている。 セリフ: なし ナレーション: ［四角枠］たった一行。でも、これがミサキにとって「AIへの最初の一言」だった。 オノマトペ: カチッ……","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキはキーボードに指を置いた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""たった一行。でも、これがミサキにとって「AIへの最初の一言」だった。""}]","misaki_work_home"
"テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ7: 上右左2コマ＋下1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上右): 画面いっぱいに回答が流れている。「①回鍋肉——」の文字。ミサキが目を見開く。 セリフ: ［ミサキ］の吹き出しに「……すごい」 ナレーション: なし オノマトペ: ピロン
2コマ目 (上左): タクヤが画面越しに問いかける。 セリフ: ［タクヤ］の吹き出しに「どうです？」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが興奮して前のめりになる。目が輝いている。 セリフ: ［ミサキ］の吹き出しに「日本語で返ってきた……！ しかも、ちゃんとした答えが！」 ナレーション: なし オノマトペ: ！","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……すごい""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""どうです？""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""日本語で返ってきた……！ しかも、ちゃんとした答えが！""}]","misaki_work_home"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが画面に表示されたInstagramコンセプト案を読んでいる。目が大きくなっていく。 セリフ: なし ナレーション: ［四角枠］「ターゲット：0〜3歳育児中のワンオペママ」「差別化：失敗談と本音の発信」「コンセプト案①②③……」 オノマトペ: なし
2コマ目 (中段): ミサキがタクヤに話しかける。涙目になっている。 セリフ: ［ミサキ］の吹き出しに「これ……私が言ったことが、ちゃんと形になってる」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが静かに言う。 セリフ: ［タクヤ］の吹き出しに「考えたんですよ。AIが形にしただけで、出発点は佐藤さんの言葉です」 ナレーション: ［四角枠］AIは何もゼロから作らない。人の言葉を受け取って、形にするだけ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""「ターゲット：0〜3歳育児中のワンオペママ」「差別化：失敗談と本音の発信」「コンセプト案①②③……」""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""これ……私が言ったことが、ちゃんと形になってる""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""考えたんですよ。AIが形にしただけで、出発点は佐藤さんの言葉です""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIは何もゼロから作らない。人の言葉を受け取って、形にするだけ。""}]","misaki_work_home"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 保育園の門でひなたを迎えるミサキ。ひなたが走り寄ってくる。 セリフ: ［ひなた］の吹き出しに「まま——！」 ナレーション: ［四角枠］Zoom面談が終わったあと、ミサキはひなたを迎えに行った。 オノマトペ: テタテタ
2コマ目 (下右): ひなたを抱き上げてほっぺたにキス。 セリフ: ［ミサキ］の吹き出しに「おかえり、ひなた」 ナレーション: なし オノマトペ: ちゅ
3コマ目 (下左): ミサキがひなたを抱いたまま青空を見上げる。表情に柔らかい決意がある。 セリフ: なし ナレーション: ［四角枠］今日、ミサキは確かに何かが変わった。「もしかしたら」という言葉が、少しだけ重さを持ち始めた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ひなた"", ""text"": ""まま——！""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""Zoom面談が終わったあと、ミサキはひなたを迎えに行った。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""おかえり、ひなた""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""今日、ミサキは確かに何かが変わった。「もしかしたら」という言葉が、少しだけ重さを持ち始めた。""}]","misaki_casual"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜、ケンタが帰宅。食卓でミサキが報告する。 セリフ: ［ミサキ］の吹き出しに「今日のZoom……すごかった」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ミサキが興奮してしゃべる。ケンタが珍しそうに聞いている。 セリフ: ［ミサキ］の吹き出しに「AIって、普通に日本語で話しかけるだけで使えるんだって。しかも、私の事務職の経験が〝強み〟になるって言われて」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ケンタが少し驚いた顔でミサキを見る。 セリフ: ［ケンタ］の吹き出しに「へえ……そうなんだ。なんか楽しそうじゃん、ミサキ」 ナレーション: ［四角枠］ケンタの一言で、ミサキは気づいた。自分が本当に楽しそうに話していたことに。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""今日のZoom……すごかった""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""AIって、普通に日本語で話しかけるだけで使えるんだって。しかも、私の事務職の経験が〝強み〟になるって言われて""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""へえ……そうなんだ。なんか楽しそうじゃん、ミサキ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタの一言で、ミサキは気づいた。自分が本当に楽しそうに話していたことに。""}]","kenta_work_casual"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 深夜。ひなたが寝た後、ミサキがClaudeでいろいろ試している。目が輝いている。 セリフ: なし ナレーション: ［四角枠］その夜から、ミサキはひなたが寝るたびにClaudeを触り始めた。 オノマトペ: カチカチカチ
2コマ目 (下右): 「献立は？」と聞いてみる。「離乳食のレシピは？」「夜泣き対策は？」——いろんな質問を試している。 セリフ: ［ミサキ（内心）］の吹き出しに「なんでも答えてくれる……！」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): ミサキが少し疲れた顔でも嬉しそうにノートに書き込んでいる。 セリフ: なし ナレーション: ［四角枠］気づいたら1時間が経っていた。でも疲れなかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""その夜から、ミサキはひなたが寝るたびにClaudeを触り始めた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""なんでも答えてくれる……！""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""気づいたら1時間が経っていた。でも疲れなかった。""}]","misaki_work_home"
