ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
1,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ1: ページ全体を使った1コマ
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): タイトルページ。夕暮れのオフィスビル街を背景に、桜井美咲が笑顔でノートPCを抱えて立っている。画面上部にタイトル「マンガでわかる 1人＋AIが最強の働き方」の文字スペース。美咲の表情は希望に満ちた微笑み。背景にはオレンジ色の夕焼け空とガラス張りのオフィスビル群。 セリフ: なし オノマトペ: なし"
2,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 金曜夕方のオフィス全景。窓の外は夕焼け。フロアにはほとんど人がおらず、美咲のデスクだけにライトが灯っている。時計は19時を指している。背景にストライプ模様。 セリフ: なし オノマトペ: なし
2コマ目 (中段): 美咲のデスク周りのアップ。書類が山積みで、美咲が疲れた表情でペンを走らせている。目の下にクマ、肩が落ちている。背景にドット模様。 セリフ: ［美咲］の吹き出しに「今週も残業か…」 オノマトペ: なし
3コマ目 (下段): 美咲がため息をつきながら天井を見上げる。デスクの上には未処理の書類の山。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「もっと効率よくできないかな」 オノマトペ: なし"
3,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ6: 上段1コマ＋下段左右2コマ、読み順は上段→下段右側→下段左側
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 美咲がふと顔を上げると、オフィスの掲示板に「DX推進室 新設」と書かれたポスターが貼ってある。ポスターにはAIやデジタルのアイコンが描かれている。美咲が興味深そうにポスターを見つめる。背景に水玉模様。 セリフ: ［美咲］の吹き出しに「DX推進室…？」 オノマトペ: チラッ
2コマ目 (下段右側): 廊下から天野凛がスタイリッシュに歩いてくる。長い茶髪をなびかせ、知的でクールな表情。手にはタブレットを持っている。背景にストライプ模様。 セリフ: なし オノマトペ: テクテク
3コマ目 (下段左側): 凛が美咲のデスクの横で立ち止まり、書類の山を見て微笑む。美咲は驚いた表情で凛を見上げている。背景にフラッシュエフェクト。 セリフ: ［凛］の吹き出しに「その報告書、AIなら10分よ」 オノマトペ: なし"
4,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ3: 上下2分割（上段小→下段大）、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・小): 美咲が驚いた表情で凛を見ている。目を丸くして口を少し開けている。背景にドット模様。 セリフ: ［美咲］の吹き出しに「え、10分…!?」 オノマトペ: ビクッ
2コマ目 (下段・大): 凛がスマホの画面を美咲に見せている。画面には「日本のAI利用率 わずか6%」というグラフが表示されている。凛は自信に満ちた表情で説明している。美咲は身を乗り出してスマホ画面を食い入るように見ている。背景にグラデーション。 セリフ: ［凛］の吹き出しに「日本のAI利用率たった6%」 オノマトペ: じーっ"
5,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 凛が腕を組みながら知的な笑みを浮かべている。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「つまり94%はまだ未活用」 オノマトペ: なし
2コマ目 (中段): 美咲が真剣な表情で考え込んでいる。頭の横に電球のアイコンがぼんやり光っている。背景に半円模様。 セリフ: ［美咲］の吹き出しに「それってチャンスってこと？」 オノマトペ: なし
3コマ目 (下段): 凛が人差し指を立てて微笑み、美咲の目に小さな炎が灯る演出。二人の間に希望の光が差し込む。背景にフラッシュエフェクト。 セリフ: ［凛］の吹き出しに「始めるなら今よ」 オノマトペ: ぱぁっ"
6,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ7: 上段左右2コマ＋下段1コマ、読み順は上段右側→上段左側→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右側): 凛がタブレットを操作しながら、AIツールの画面を見せている。画面にはチャットボットのインターフェースが表示されている。背景にドット模様。 セリフ: ［凛］の吹き出しに「無料で使えるAIもあるの」 オノマトペ: なし
2コマ目 (上段左側): 美咲が目を輝かせて凛のタブレットを覗き込んでいる。興味津々の表情。背景に水玉模様。 セリフ: ［美咲］の吹き出しに「え、無料で!?」 オノマトペ: キュン
3コマ目 (下段): 夜のオフィスの窓際。凛が去った後、美咲が一人でスマホを手に取り、決意の表情でアプリストアを開いている。窓の外には夜景が広がる。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「まずは試してみよう…」 オノマトペ: なし"
7,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ2: 上下に均等2分割、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 美咲が自宅のデスクでスマホにAIアプリをダウンロードしている。画面にはダウンロード中のプログレスバーが表示されている。部屋は温かい照明。背景に水玉模様。 セリフ: ［美咲］の吹き出しに「インストール完了…！」 オノマトペ: なし
2コマ目 (下段): 美咲がAIチャット画面に初めてメッセージを打ち込んでいる。ドキドキしながらも期待に満ちた表情。スマホの画面が明るく光っている。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「こんにちは、AI…！」 オノマトペ: ぱぁっ"
8,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ1: ページ全体を使った1コマ
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 美咲がスマホを胸に抱きしめ、窓辺に立っている。窓の外には夜空に星が瞬いている。美咲の瞳には小さな光が宿り、新しい一歩を踏み出す決意の表情。プロローグの締めくくりとして希望に満ちた雰囲気。集中線で美咲に視線を集める演出。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「私の働き方、変えてみせる」 オノマトペ: なし"
9,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート。高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ1: ページ全体を使った1コマ
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第1章タイトルページ。オフィスの会議室を背景に、中央上部に「第1章 1人＋AIが最強の働き方である理由」の文字スペース。美咲・高橋・凛の3人が描かれている。高橋は腕を組んで懐疑的な表情、美咲は好奇心旺盛な表情、凛は自信に満ちた知的な表情。背景にグラデーション。 セリフ: なし オノマトペ: なし"
10,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン。美咲は白いブラウスにネイビーのタイトスカート
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 朝のオフィス。朝礼の風景。高橋が部署のメンバーの前に立ち、資料を手に持って話している。社員たちが整列して聞いている。背景にストライプ模様。 セリフ: ［高橋］の吹き出しに「皆、知っているか？」 オノマトペ: なし
2コマ目 (中段): 高橋が資料を掲げている。資料には「最低賃金1500円時代へ」と書かれている。高橋は厳しい表情。背景にフラッシュエフェクト。 セリフ: ［高橋］の吹き出しに「最低賃金が1500円になる」 オノマトペ: なし
3コマ目 (下段): 社員たちがざわつく中、美咲が真剣な表情で高橋の話を聞いている。隣の社員とヒソヒソ話をしている人もいる。背景にドット模様。 セリフ: ［美咲］の吹き出しに「人件費がどんどん上がる…」 オノマトペ: なし"
