name,no,sire,bms,sex,coat,birth,trainer,total_man,unit_man,kuchi,height,girth,cannon,weight,ikusei
マリアライトの22,1,エピファネイア,ディープインパクト,メス,黒鹿,2022-03-07,久保田,7000.0,17.5,400,149.0,176.0,19.5,442,ＮＦ空港
ザズーの22,2,キズナ,Tapit,牡,青鹿,2022-02-27,板垣,5000.0,12.5,400,156.0,182.0,21.2,488,ＮＦ早来
ヴィルデローゼの22,3,キズナ,エンパイアメーカー,牡,黒鹿,2022-03-25,宮田,5000.0,12.5,400,154.0,170.5,21.0,437,ＮＦ空港
ラドラーダの22,4,キズナ,シンボリクリスエス,メス,鹿,2022-01-20,木村,7000.0,17.5,400,154.0,173.0,19.4,409,ＮＦ早来
アヴェンチュラの22,5,ロードカナロア,ジャングルポケット,牡,鹿,2022-04-11,田村,6000.0,15.0,400,159.0,178.0,22.0,489,ＮＦ早来
アドマイヤセプターの22,6,シスキン,キングカメハメハ,牡,黒鹿,2022-01-19,田中博,5000.0,12.5,400,158.5,176.5,20.4,440,ＮＦ空港
リリーバレロの22,7,キタサンブラック,ロードカナロア,牡,鹿,2022-04-04,堀,8000.0,20.0,400,154.0,168.0,20.1,400,ＮＦ空港
ピュアブリーゼの22,8,キタサンブラック,Monsun,メス,鹿,2022-03-18,浅利,4000.0,10.0,400,155.5,174.0,18.8,416,ＮＦ早来
ファナティックの22,9,サートゥルナーリア,ジャスタウェイ,牡,鹿,2022-02-13,辻,3600.0,9.0,400,153.0,174.5,20.6,460,ＮＦ空港
クルミナルの22,10,サートゥルナーリア,ディープインパクト,牡,栗,2022-05-01,森一,7000.0,17.5,400,148.5,169.0,19.8,425,ＮＦ空港
パルクデラモールの22,11,サートゥルナーリア,ディープインパクト,メス,栗,2022-03-17,鹿戸,2400.0,6.0,400,147.0,165.0,19.0,386,追分Ｆﾘﾘｰﾊﾞﾚｰ
メリートの22,12,ドゥラメンテ,Redoute's Choice,牡,鹿,2022-02-08,萩原,5000.0,12.5,400,165.0,189.0,22.0,550,ＮＦ早来
レオパルディナの22,13,ドゥラメンテ,スニッツェル,メス,黒鹿,2022-01-24,鹿戸,4000.0,10.0,400,156.0,174.0,19.4,449,ＮＦ空港
シングルゲイズの22,14,ドゥラメンテ,Not A Single Doubt,メス,栗,2022-01-26,木村,5000.0,12.5,400,154.0,170.5,19.6,413,ＮＦ早来
