No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー,推定1着オッズ_R1,推定2着オッズ_R1,推定1着オッズ_R2,推定2着オッズ_R2,推定1着オッズ_R3,推定2着オッズ_R3,推定1番人気オッズ_R1,推定1番人気オッズ_R2,推定1番人気オッズ_R3
339,4,1月27日(月),大井,第16回1日目,13,2,10R,1,2,11R,1,2,12R,4,3,1,,"71,225",,2.5,4.4,2.5,4.4,10.5,7.2,2.0,2.0,2.0
2,,12月30日(火),大井,第14回5日目,31,2,9R,1,6,10R,4,16,11R,3,1,,,"17,268,480",,2.5,19.8,10.5,385.0,7.2,2.5,3.9,3.9,3.9
3,,12月29日(月),大井,第14回4日目,17,3,8R,1,3,9R,7,1,10R,1,4,,,"1,794,675",,2.5,7.2,27.5,2.5,2.5,10.5,2.3,2.3,2.3
4,,12月26日(金),大井,第14回3日目,14,2,8R,3,2,9R,5,1,10R,2,1,,,"576,045",,7.2,4.4,14.3,2.5,4.4,2.5,2.0,2.0,2.0
5,,12月25日(木),浦和,第9回4日目,16,2,10R,3,1,11R,5,3,12R,3,1,,,"569,215",,5.9,2.1,11.7,5.9,5.9,2.1,1.9,1.9,1.9
6,,12月25日(木),大井,第14回2日目,14,2,10R,1,2,11R,2,1,12R,2,6,,,"158,440",,2.5,4.4,4.4,2.5,4.4,19.8,2.0,2.0,2.0
7,,12月24日(水),浦和,第9回3日目,19,2,10R,3,1,11R,2,9,12R,1,3,,,"200,815",,5.9,2.1,3.6,45.0,2.1,5.9,2.2,2.2,2.2
8,,12月24日(水),大井,第14回1日目,19,3,8R,1,9,9R,1,2,10R,5,1,1,,"921,890",,2.5,55.0,2.5,4.4,14.3,2.5,2.6,2.6,2.6
9,,12月23日(火),浦和,第9回2日目,17,2,10R,7,2,11R,1,2,12R,1,4,,,"294,020",,22.5,3.6,2.1,3.6,2.1,8.6,1.9,1.9,1.9
10,,12月22日(月),浦和,第9回1日目,25,1,10R,4,1,11R,5,4,12R,7,4,,,"8,437,630",,8.6,2.1,11.7,8.6,22.5,8.6,2.7,2.7,2.7
11,,12月19日(金),川崎,第10回5日目,27,3,10R,1,6,11R,1,8,12R,1,10,,,,"10,982,629",2.3,18.0,2.3,35.0,2.3,70.0,3.0,3.0,3.0
176,1,7月17日(木),門別,第7回6日目,11,2,10R,1,2,11R,2,3,12R,1,2,,,"21,235",,2.0,3.4,3.4,5.5,2.0,3.4,1.3,1.3,1.3
13,,12月17日(水),川崎,第10回3日目,13,2,10R,3,1,11R,2,3,12R,3,1,,,"163,285",,6.5,2.3,4.0,6.5,6.5,2.3,1.8,1.8,1.8
14,,12月16日(火),川崎,第10回2日目,11,3,10R,1,2,11R,1,3,12R,1,3,,,"14,935",,2.3,4.0,2.3,6.5,2.3,6.5,1.5,1.5,1.5
194,6,7月3日(木),大井,第5回4日目,15,2,10R,2,3,11R,2,1,12R,1,6,,,"93,325",,4.4,7.2,4.4,2.5,2.5,19.8,2.0,2.0,2.0
16,,12月12日(金),船橋,第9回5日目,17,3,10R,9,1,11R,3,1,12R,2,1,,,"1,653,105",,50.0,2.3,6.5,2.3,4.0,2.3,2.1,2.1,2.1
17,,12月11日(木),船橋,第9回4日目,21,1,10R,2,4,11R,3,8,12R,1,3,,,"12,490,330",,4.0,9.5,6.5,35.0,2.3,6.5,2.4,2.4,2.4
18,,12月10日(水),船橋,第9回3日目,21,2,10R,6,7,11R,1,4,12R,1,2,1,,"2,367,630",,18.0,25.0,2.3,9.5,2.3,4.0,2.4,2.4,2.4
19,,12月9日(火),船橋,第9回2日目,30,1,10R,10,6,11R,1,2,12R,6,5,,,,"10,940,993",70.0,18.0,2.3,4.0,18.0,13.0,3.0,3.0,3.0
20,,12月8日(月),船橋,第9回1日目,12,2,10R,2,4,11R,2,1,12R,1,2,,,"578,545",,4.0,9.5,4.0,2.3,2.3,4.0,1.5,1.5,1.5
21,,12月5日(金),大井,第13回5日目,18,2,10R,3,1,11R,4,5,12R,1,4,,,,"13,357,995",7.2,2.5,10.5,14.3,2.5,10.5,2.3,2.3,2.3
22,,12月4日(木),大井,第13回4日目,32,2,10R,1,10,11R,8,10,12R,1,2,,,"16,059,760",,2.5,77.0,38.5,77.0,2.5,4.4,3.9,3.9,3.9
23,,12月3日(水),大井,第13回3日目,24,2,10R,1,2,11R,1,7,12R,7,6,1,,"9,138,210",,2.5,4.4,2.5,27.5,27.5,19.8,3.0,3.0,3.0
24,,12月2日(火),大井,第13回2日目,27,2,10R,11,5,11R,7,1,12R,1,2,,,,"12,755,197",104.5,14.3,27.5,2.5,2.5,4.4,3.3,3.3,3.3
25,,12月1日(月),大井,第13回1日目,10,3,10R,1,2,11R,1,3,12R,2,1,,,"33,360",,2.5,4.4,2.5,7.2,4.4,2.5,1.7,1.7,1.7
200,3,6月30日(月),船橋,第4回1日目,18,3,10R,1,3,11R,1,4,12R,1,8,,,"97,835",,2.3,6.5,2.3,9.5,2.3,35.0,2.1,2.1,2.1
27,,11月27日(木),浦和,第8回3日目,15,3,10R,2,1,11R,1,6,12R,1,4,,,"294,565",,3.6,2.1,2.1,16.2,2.1,8.6,1.6,1.6,1.6
