ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第4巻

【目次】

　第9話　1,280円の重み
　　コラム⑨
　第10話　私のキャリアは、私が決める
　　コラム⑩
",[]
2,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ1: 1コマ
◆【演出】登場人物紹介
◆【ストーリー】
1コマ目(ページ全体): 登場人物紹介ページ。キャラクター縦並び。ミサキ:32歳。ケンタ:34歳。ひなた(2歳期)。タクヤ:42歳。",[]
3,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1〜3巻）までのあらすじ】

佐藤ミサキ（32歳）は出産を機に退職後、メンターのタクヤに出会い、AIツール「Claude」を使い始めた。

「英語ダメ、プログラミングできない」と尻込みしていたミサキだが、日本語で話しかけるだけで使えるAIに驚き、晩ごはんのレシピから始めて徐々に活用の幅を広げていく。

Instagramで育児×キャリアの発信を始めたミサキは、AIの力を借りて毎日投稿に挑戦。3日間の空白に心が折れかけるも、「止まってもいい。やめなければいい」と再起。不完全な本音の投稿がかえって共感を呼び、フォロワー100人を達成。

「救われました」というDMに涙したミサキは、もう「何者でもない自分」ではなかった。
",[]
4,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ1: 1コマ
◆【演出】タイトルページ,集中線
◆【ストーリー】
1コマ目(ページ全体): 【タイトルページ】ダイニングテーブルでスマホを手に目を見開くミサキ。「お振込がありました」の通知。タイトル「第9話 初めての振込通知」が大きく配置。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第9話「初めての振込通知」始まり""}]"
5,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ5: 3コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段): オンラインミーティング。タクヤが真剣な表情で話している。2コマ目(中段): ミサキが驚いた表情でモニターを見つめている。3コマ目(下段): タクヤが穏やかに語りかけている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""フォロワーが200人を超えた頃のこと——""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""佐藤さん、そろそろ収益化の話をしましょう""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""収益化……ですか""}]"
6,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ3: 2コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段小): タクヤが穏やかに笑みを浮かべながら続けている。2コマ目(下段大): ミサキが表情を引き締めて聞いている。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""発信する力はもう身についています。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""次は、それをお金に変えるステップです""}]"
7,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ5: 3コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段): ミサキが少し身構えた表情で考え込んでいる。2コマ目(中段): タクヤが優しく頷いている。3コマ目(下段): タクヤが説明している。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""せっかくフォロワーさんと信頼関係ができてきたのに、""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""急に\""売り込み\""みたいになったら嫌だなって""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""いい感覚を持っていますね""}]"
8,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ2: 2コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段): タクヤが力強く微笑みながら語りかけている。2コマ目(下段): ミサキが納得した表情でうなずいている。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""その気持ちを持ったまま収益化するのが、""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""一番うまくいきます""}]"
9,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ5: 3コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段右): タクヤがホワイトボードにアフィリエイトの仕組み図を描いている。「紹介→クリック→購入→報酬」のフロー図。2コマ目(中段): タクヤが真剣な目で話している。3コマ目(下段): ミサキが頷いている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""アフィリエイト——自分が使っている商品を紹介し、""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""リンク経由で購入されたら報酬が入る仕組み""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""大事なのは、正直であること""}]"
10,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【コマ構成】テンプレ5: 3コマ
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擢音などのマンガらしい演出
◆【ストーリー】
1コマ目(上段): タクヤが真剣な目で続けている。2コマ目(中段): ミサキが深く共感した表情で頷いている。3コマ目(下段): ミサキが笑顔で答えている。","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""本当にいいと思っているものだけを紹介すること。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""嘘は必ずバレます""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""わかります。ステマっぽいアカウント、""}]"
