ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
マンガでわかる 2030年、日本の労働市場はこう変わる

プロローグ もやもやした不安の正体
第1章 数字が示す未来 ― 2030年、644万人が足りない
第2章 AIと自動化が変える仕事の地図
第3章 人手不足は誰が埋めるのか
第4章 「選ばれる個人」になる
第5章 新しい働き方をデザインする
エピローグ 明日からの一歩",[],
2,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ1: 1コマ（ページ全体を使った大ゴマ）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目: ユウタと三浦さんが縦に並んだ全身立ち姿の紹介ページ。各キャラの横に名前と一行紹介の枠。明るい白背景。 セリフ: なし ナレーション: ユウタ（28）将来に不安を抱く若手会社員 ／ 三浦さん（45）頼れる先輩キャリアコンサルタント オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ユウタ（28）将来に不安を抱く若手会社員""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""三浦さん（45）頼れる先輩キャリアコンサルタント""}]",yuta_suit
3,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ワイシャツの袖をまくりネクタイをゆるめた残業姿／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ3: 2コマ（上段小→下段大の縦2分割）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段小）: 夜のオフィス。机でスマホを見てため息をつくユウタ。スマホ画面に不安をあおるニュースの見出し。 セリフ: ［ユウタ］の吹き出しに「…このままで、俺は大丈夫なのかな」 ナレーション: ［四角枠］残業終わり。ニュースに、ため息がもれる オノマトペ: はぁ…
2コマ目（下段大）: 給湯室。コーヒー片手の三浦さんが、穏やかにユウタへ声をかける。 セリフ: ［三浦さん］の吹き出しに「その不安、正体を知れば小さくできるよ」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""…このままで、俺は大丈夫なのかな""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""残業終わり。ニュースに、ため息がもれる""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""その不安、正体を知れば小さくできるよ""}]",yuta_suit
4,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ5: 3コマ（上段→中段→下段の3段構成）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段）: 三浦さんがホワイトボードに右肩下がりの折れ線グラフを描いて説明する。 セリフ: ［三浦さん］の吹き出しに「働き手は1995年から減り続けてるの」 ナレーション: ［四角枠］少子化で入口が細り、高齢化で出口が広がる オノマトペ: なし
2コマ目（中段）: 水が抜けていくお風呂の比喩イラスト。蛇口は細く、排水口は大きい。 セリフ: ［三浦さん］の吹き出しに「お風呂の水が抜けていくのと同じ」 ナレーション: なし オノマトペ: なし
3コマ目（下段）: はっとした表情のユウタ。 セリフ: ［ユウタ］の吹き出しに「ずっと前から始まってたのか…」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""働き手は1995年から減り続けてるの""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""少子化で入口が細り、高齢化で出口が広がる""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""お風呂の水が抜けていくのと同じ""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""ずっと前から始まってたのか…""}]",yuta_suit
5,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ4: 2コマ（上段大→下段小の縦2分割）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段大）: 巨大な数字『644万人』と、人が消えて灰色になった街のシルエット。インパクト重視。 セリフ: なし ナレーション: ［四角枠］2030年、644万人もの働き手が足りなくなる オノマトペ: ドーン
2コマ目（下段小）: 衝撃を受けるユウタの顔のアップ。 セリフ: ［ユウタ］の吹き出しに「都市ひとつ分の働き手が消えるなんて」 ナレーション: なし オノマトペ: ガーン","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""2030年、644万人もの働き手が足りなくなる""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""都市ひとつ分の働き手が消えるなんて""}]",yuta_suit
6,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ3: 2コマ（上段小→下段大の縦2分割）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段小）: 2024→2025→2030と上っていく階段状の年表を三浦さんが指し示す。 セリフ: ［三浦さん］の吹き出しに「2024年も2025年も、もう始まった坂道」 ナレーション: なし オノマトペ: なし
2コマ目（下段大）: 人さし指を立てて前向きに語る三浦さんと、聞き入るユウタ。 セリフ: ［三浦さん］の吹き出しに「でも人手不足は、賃金が上がる時代でもある」 ／ ［ユウタ］の吹き出しに「不安だけじゃないのか」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""2024年も2025年も、もう始まった坂道""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""でも人手不足は、賃金が上がる時代でもある""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""不安だけじゃないのか""}]",yuta_suit
7,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ3: 2コマ（上段小→下段大の縦2分割）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段小）: 頭上に巨大なAIロボのイメージが浮かび、不安そうなユウタ。 セリフ: ［ユウタ］の吹き出しに「やっぱりAIに仕事を奪われるんじゃ…」 ナレーション: なし オノマトペ: ザワザワ
2コマ目（下段大）: 落ち着いて微笑む三浦さん。 セリフ: ［三浦さん］の吹き出しに「奪うんじゃない。やり方を変えるの」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""やっぱりAIに仕事を奪われるんじゃ…""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""奪うんじゃない。やり方を変えるの""}]",yuta_suit
8,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ5: 3コマ（上段→中段→下段の3段構成）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段）: 三浦さんが、ひとつの仕事が小さなタスクの積み木に分かれる図を見せる。 セリフ: ［三浦さん］の吹き出しに「仕事は小さな作業の集まりなの」 ナレーション: なし オノマトペ: なし
2コマ目（中段）: AIが書類の下書きを高速で作るイラスト。 セリフ: なし ナレーション: ［四角枠］定型作業はAIが得意 オノマトペ: カタカタ
3コマ目（下段）: 人と人が握手して交渉するイラスト。 セリフ: ［三浦さん］の吹き出しに「信頼を築く交渉は、人間の仕事」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""仕事は小さな作業の集まりなの""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""定型作業はAIが得意""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""信頼を築く交渉は、人間の仕事""}]",yuta_suit
9,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ1: 1コマ（ページ全体を使った大ゴマ）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（大ゴマ）: 三浦さんが力強く言い切る。背景に集中線。最重要メッセージの大ゴマ。 セリフ: ［三浦さん］の吹き出しに「AI対人間じゃない。使える人と使えない人の差なの」 ナレーション: なし オノマトペ: バッ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""AI対人間じゃない。使える人と使えない人の差なの""}]",yuta_suit
10,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【キャラクター外見】ユウタ＝28歳男性・短めの黒髪（やや無造作）・黒い瞳・中肉中背でやや猫背・素朴で親しみやすい顔立ち。三浦さん＝45歳女性・肩につくセミロングの黒髪を整え・細フレーム眼鏡・知的で落ち着いた表情・すらりとした立ち姿。（毎ページ同一の外見を保つこと）
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ユウタ＝ライトグレーのスーツに白シャツ・紺ネクタイ／三浦さん＝ネイビーのジャケットに白ブラウス・細フレーム眼鏡。
◆【コマ構成】テンプレ4: 2コマ（上段大→下段小の縦2分割）
◆【作画】作画スタイル: 現実的でクリーンなアニメ・マンガ調、スーツ姿の正確な描写、清潔感重視。色調: 落ち着いた色調でグレー・ネイビー・白を基調、要点は青やオレンジで強調。線画: 整った線、はっきりした輪郭。演出: 明るいオフィスや給湯室、ホワイトボードのグラフや図解、必要に応じて集中線・効果線・擬音などのマンガらしい演出。
◆【ストーリー】
1コマ目（上段大）: 腑に落ちて目を輝かせるユウタ。 セリフ: ［ユウタ］の吹き出しに「使われる側じゃなく、使う側に回ればいいのか！」 ナレーション: なし オノマトペ: ぱぁっ
2コマ目（下段小）: 微笑んでうなずく三浦さん。 セリフ: ［三浦さん］の吹き出しに「そう。道具として使いこなせばいい」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ユウタ"", ""text"": ""使われる側じゃなく、使う側に回ればいいのか！""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""三浦さん"", ""text"": ""そう。道具として使いこなせばいい""}]",yuta_suit
