No,Type,Content,Speaker,VoiceID,Enabled
1,dialogue,ミユくん、鎌倉幕府（カマクラバクフ）を滅ぼした男の名前を知っているかい？,ヨウイチ,Male_15,1
2,dialogue,足利尊氏（アシカガタカウジ）ですか？,ミユ,Female_3,1
3,dialogue,違う。,ヨウイチ,Male_15,1
4,dialogue,新田義貞（ニッタヨシサダ）という男だ。,ヨウイチ,Male_15,1
5,dialogue,150騎で挙兵（キョヘイ）し、2週間で鎌倉幕府（カマクラバクフ）を滅ぼした英雄だ。,ヨウイチ,Male_15,1
6,pause,,,PAUSE_0.5S,1
7,dialogue,すごい人じゃないですか！,ミユ,Female_3,1
8,dialogue,ところが、その名は歴史の影に埋もれた。,ヨウイチ,Male_15,1
9,dialogue,今日は栄光を手にしながらすべてを失った男の物語だ。,ヨウイチ,Male_15,1
10,dialogue,義貞（ヨシサダ）は源氏（ゲンジ）の名門（メイモン）、新田氏（ニッタシ）の当主（トウシュ）だった。,ヨウイチ,Male_15,1
11,dialogue,足利氏（アシカガシ）とは同じ源氏の血筋（チスジ）で、新田が兄筋（アニスジ）にあたる。,ヨウイチ,Male_15,1
12,dialogue,新田の方が格上だったんですか？,ミユ,Female_3,1
13,dialogue,血筋ではそうだ。,ヨウイチ,Male_15,1
14,dialogue,だが足利は幕府に優遇され裕福だった。,ヨウイチ,Male_15,1
15,dialogue,一方の新田氏は無位無官（ムイムカン）の貧しい御家人（ゴケニン）だった。,ヨウイチ,Male_15,1
16,pause,,,PAUSE_0.5S,1
17,dialogue,1333（センサンビャクサンジュウサン）年、後醍醐天皇（ゴダイゴテンノウ）が倒幕（トウバク）の令旨（リョウジ）を各地に飛ばした。,ヨウイチ,Male_15,1
18,dialogue,義貞は生品神社（イクシナジンジャ）の前でわずか150騎（キ）で挙兵（キョヘイ）する。,ヨウイチ,Male_15,1
19,dialogue,150騎で幕府に挑むなんて無謀ですよね。,ミユ,Female_3,1
20,dialogue,だが幕府への不満を抱えた武士が次々と合流した。,ヨウイチ,Male_15,1
