"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト"
"1","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【タイトルページ】朝の洗面台。ミサキが妊娠検査薬を手に持ち、陽性反応の二本線を見つめている。驚きと喜びの涙が頬を伝う。背景に朝日の光が差し込む。タイトル「出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで」が大きく配置。 セリフ: なし オノマトペ: なし"
"2","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 洗面台のアップ。ミサキの手が妊娠検査薬を握っている。二本線がくっきり見える。 セリフ: ［ミサキ］の吹き出しに「……できた」 オノマトペ: なし
2コマ目 (中段): ミサキの顔のアップ。目に涙が浮かび、口元がほころんでいる。喜びと驚きの表情。 セリフ: なし オノマトペ: ぽろ…
3コマ目 (下段): ミサキがお腹に手を当てて微笑んでいる。背景に柔らかい光。 セリフ: なし オノマトペ: なし"
"3","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ケンタ: 紺のスーツに白ワイシャツ、ネクタイを緩めた帰宅直後の姿
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜のリビング。ケンタが玄関から帰宅し、ミサキが駆け寄っている場面。 セリフ: ［ミサキ］の吹き出しに「できたよ……！」 オノマトペ: なし
2コマ目 (下段右): ケンタが驚いた表情でミサキを見つめている。目を見開いている。 セリフ: ［ケンタ］の吹き出しに「本当に！？」 オノマトペ: なし
3コマ目 (下段左): ケンタがミサキを抱きしめている。二人とも泣いている。幸せな涙。 セリフ: ［ケンタ］の吹き出しに「やった……！」 オノマトペ: ぎゅっ"
"4","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、山田課長は添付の山田課長.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 白いブラウスにグレーのタイトスカート、黒いパンプス（オフィス服装） / 山田課長: 紺のスーツに白シャツ（ネクタイなし）
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): オフィスの会議室。ミサキが上司の山田課長に妊娠を報告している。課長は穏やかな表情。 セリフ: ［山田課長］の吹き出しに「おめでとう。手続きしよう」 オノマトペ: なし
2コマ目 (下段): ミサキがほっとした表情で一礼している。安堵の空気。 セリフ: ［ミサキ］の吹き出しに「ありがとうございます」 オノマトペ: ほっ…"
"5","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 白いブラウスにグレーのタイトスカート、黒いパンプス（オフィス服装）
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右): 給湯室の入口付近。ミサキが廊下で足を止めている。 セリフ: なし オノマトペ: ピタッ
2コマ目 (上段左): 給湯室の中で同僚二人がひそひそ話している。影のある表情。 セリフ: ［同僚］の吹き出しに「また産休か…しわ寄せが」 オノマトペ: ヒソヒソ
3コマ目 (下段): ミサキが聞こえなかったふりをしてその場を離れる後ろ姿。暗い影が差している。 セリフ: なし オノマトペ: …"
"6","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ピンクのスウェットトレーナーにグレーのルームパンツ、裸足（部屋着）
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): 暗い寝室の天井。時計が深夜を示している。 セリフ: なし オノマトペ: シーン…
2コマ目 (下段大): ベッドの中でミサキがスマホを見ている。画面の光だけが顔を照らす。検索バーに「産休 復帰 不安」と入力されている。不安そうな表情。 セリフ: ［ミサキ］の吹き出しに「……戻れるよね？」 オノマトペ: なし"
"7","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、山田課長は添付の山田課長.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 白いブラウスにグレーのタイトスカート、黒いパンプス（オフィス服装） / ケンタ: グレーのTシャツにネイビーのスウェットパンツ、黒い靴下 / 山田課長: 紺のスーツに白シャツ（ネクタイなし）
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 【プロローグ回想】ミサキが妊娠検査薬を見つめるシーン（回想）。やわらかな光。 セリフ: なし オノマトペ: なし
2コマ目 (中段): ケンタとミサキが抱き合って喜ぶ夜のリビング。 セリフ: なし オノマトペ: なし
3コマ目 (下段): オフィスでの報告シーン。山田課長の穏やかな笑顔。 セリフ: なし オノマトペ: なし"
"8","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 白いブラウスにグレーのタイトスカート、黒いパンプス（オフィス服装）
◆【コマ構成】テンプレ4: 上段大→下段小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段大): 給湯室前の廊下。ミサキが同僚のひそひそ話を聞いてしまい、足を止めている横顔。暗い影。 セリフ: なし オノマトペ: ドキッ
2コマ目 (下段小): ミサキが何事もなかったかのように歩き去る後ろ姿。肩が少し震えている。 セリフ: なし オノマトペ: …"
"9","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ピンクのスウェットトレーナーにグレーのルームパンツ、裸足（部屋着）
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 暗い寝室。ベッドに横たわるミサキ。スマホの青白い光が顔を照らす。 セリフ: なし オノマトペ: カチカチ
2コマ目 (下段右): スマホ画面のアップ。検索バーに「産休 復帰 不安」と表示。検索結果が並ぶ。 セリフ: なし オノマトペ: なし
3コマ目 (下段左): ミサキの不安そうな横顔のアップ。スマホの光に照らされ、目が潤んでいる。 セリフ: ［ミサキ］の吹き出しに「……戻れるよね？」 オノマトペ: なし"
"10","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ピンクのスウェットトレーナーにグレーのルームパンツ、裸足（部屋着）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【感情クライマックス】暗い部屋でスマホの光だけに照らされたミサキの全身像。不安の芽が生まれた瞬間。背景に暗いグラデーション。プロローグの締めくくり。 セリフ: なし オノマトペ: なし"
