type,character,text
dialogue,ヨウイチ,ミユくん、鎌倉幕府（カマクラバクフ）を滅ぼした男の名前を知っているかい？
dialogue,ミユ,足利尊氏（アシカガタカウジ）ですか？
dialogue,ヨウイチ,違う。
dialogue,ヨウイチ,新田義貞（ニッタヨシサダ）という男だ。
dialogue,ヨウイチ,150騎で挙兵（キョヘイ）し、2週間で鎌倉幕府（カマクラバクフ）を滅ぼした英雄だ。
pause,,
dialogue,ミユ,すごい人じゃないですか！
dialogue,ヨウイチ,ところが、その名は歴史の影に埋もれた。
dialogue,ヨウイチ,今日は栄光を手にしながらすべてを失った男の物語だ。
dialogue,ヨウイチ,義貞（ヨシサダ）は源氏（ゲンジ）の名門（メイモン）、新田氏（ニッタシ）の当主（トウシュ）だった。
dialogue,ヨウイチ,足利氏（アシカガシ）とは同じ源氏の血筋（チスジ）で、新田が兄筋（アニスジ）にあたる。
dialogue,ミユ,新田の方が格上だったんですか？
dialogue,ヨウイチ,血筋ではそうだ。
dialogue,ヨウイチ,だが足利は幕府に優遇され裕福だった。
dialogue,ヨウイチ,一方の新田氏は無位無官（ムイムカン）の貧しい御家人（ゴケニン）だった。
pause,,
dialogue,ヨウイチ,1333（センサンビャクサンジュウサン）年、後醍醐天皇（ゴダイゴテンノウ）が倒幕（トウバク）の令旨（リョウジ）を各地に飛ばした。
dialogue,ヨウイチ,義貞は生品神社（イクシナジンジャ）の前でわずか150騎（キ）で挙兵（キョヘイ）する。
dialogue,ミユ,150騎で幕府に挑むなんて無謀ですよね。
dialogue,ヨウイチ,だが幕府への不満を抱えた武士が次々と合流した。
dialogue,ヨウイチ,軍勢（グンゼイ）は膨れ上がり、北条軍（ホウジョウグン）を次々に撃破（ゲキハ）して鎌倉に迫る。
dialogue,ミユ,破竹の勢いですね！
dialogue,ヨウイチ,だが鎌倉は三方（サンポウ）を山、南を海に囲まれた天然の要塞（ヨウサイ）だ。
pause,,
dialogue,ヨウイチ,ここで有名な伝説が生まれる。
dialogue,ヨウイチ,稲村ヶ崎（イナムラガサキ）の奇跡（キセキ）だ。
dialogue,ヨウイチ,義貞は黄金（オウゴン）の太刀（タチ）を海に投じて龍神（リュウジン）に祈った。
dialogue,ヨウイチ,すると潮（シオ）が引いて干潟（ヒガタ）が現れ、軍勢は鎌倉へ突入（トツニュウ）できた。
dialogue,ミユ,龍神が味方したんですか！
dialogue,ヨウイチ,実際には干潮（カンチョウ）を利用した作戦とも言われている。
pause,,
dialogue,ヨウイチ,北条高時（ホウジョウタカトキ）ら一族（イチゾク）約870名が自害（ジガイ）し、鎌倉幕府（カマクラバクフ）は滅亡（メツボウ）した。
dialogue,ヨウイチ,だが、ここから義貞の悲劇が始まる。
dialogue,ミユ,幕府を倒した英雄なのに、ですか？
dialogue,ヨウイチ,論功行賞（ロンコウコウショウ）で足利尊氏は従三位（ジュサンミ）を得たが、
dialogue,ヨウイチ,義貞は従四位（ジュシイ）止まりだった。
dialogue,ミユ,鎌倉を攻め落としたのは義貞なのに！
pause,,
dialogue,ヨウイチ,尊氏（タカウジ）は武士に恩賞（オンショウ）を配り、政治力で求心力（キュウシンリョク）を高めた。
dialogue,ヨウイチ,義貞は天皇への忠義（チュウギ）を貫いたが、
dialogue,ヨウイチ,武士の支持を得たのは尊氏だった。
dialogue,ミユ,戦では勝てても政治では勝てなかったんですね。
dialogue,ヨウイチ,尊氏が天皇に反旗（ハンキ）を翻すと、義貞は天皇側として戦い続けた。
dialogue,ヨウイチ,だが戦況（センキョウ）は悪化し、北陸の越前（エチゼン）へ落ち延びる。
pause,,
dialogue,ヨウイチ,1338（センサンビャクサンジュウハチ）年、義貞はわずか50騎で味方の救援（キュウエン）に向かった。
dialogue,ヨウイチ,途中で敵と遭遇（ソウグウ）し、眉間（ミケン）に矢を受けて落馬（ラクバ）した。
dialogue,ヨウイチ,最期を悟った義貞は自ら首を刎ねて果てた。
dialogue,ヨウイチ,享年38。
dialogue,ミユ,壮絶な最期ですね。
dialogue,ヨウイチ,挙兵（キョヘイ）のとき150騎、最期は50騎。
dialogue,ヨウイチ,あまりに孤独な結末だった。
dialogue,ミユ,でも義貞が歴史を変えたことは間違いないですよね。
dialogue,ヨウイチ,ああ。
dialogue,ヨウイチ,福井の藤島神社（フジシマジンジャ）に忠義の武将として今も祀（マツ）られている。
dialogue,ヨウイチ,勝者は尊氏だった。
dialogue,ヨウイチ,だが忠義を貫いた義貞の生き様は多くの人の心に残った。
dialogue,ミユ,勝ち負けだけが人の価値じゃないんですね。
pause,,
dialogue,ミユ,いいね、コメント、チャンネル登録、よろしくお願いします！
dialogue,ヨウイチ,みなさんの応援が次の動画の力になります。
pause,,
dialogue,ヨウイチ,また次回、別の歴史の物語を一緒に探ろう。
