year,born,no,name,reg_name,horse_id,sire,sex,birth,month,farm,farm_src,dam,dam_age,total_man,unit_man,weight,height,girth,cannon,kuchi,n_foals,trainer_planned,trainer,district,starts,wins,prize_jra,prize_nar,prize,ret,main_wins,graded,status
2020,2019,1,デックドアウトの19,フォレスクライト (Volles Kleid),2019105641,ディープインパクト,牡,2020-02-10,2,レイクヴィラＦ,クラブ提供牧場,デックドアウト,6.0,8000.0,20.0,431.0,154.0,177.0,20.0,400,1.0,萩原,萩原清,美浦,3,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,2,ヒルダズパッションの19,フィアレスデザイア (Fearless Desire),2019105357,ディープインパクト,牡,2020-02-27,2,ノーザンＦ,クラブ提供牧場,ヒルダズパッション,12.0,15000.0,37.5,455.0,157.0,180.0,20.0,400,7.0,藤沢,板垣吉則,岩手,6,1,0.0,55.0,55.0,0.0036666666666666666,C2九組-->,0,ok
2020,2019,3,ティズトレメンダスの19,ティズグロリアス (Tiz Glorious),2019105776,ディープインパクト,メス,2020-05-27,5,ノーザンＦ,クラブ提供牧場,ティズトレメンダス,9.0,6400.0,16.0,390.0,150.5,169.0,19.7,400,2.0,木村,上原佑紀,美浦,10,1,1201.0,0.0,1201.0,0.18765625,21'2歳新馬-->,0,ok
2020,2019,4,ファイナルディシジョンの19,ファイナルアンサー (Final Answer),2019105375,ハーツクライ,メス,2020-05-09,5,ノーザンＦ,クラブ提供牧場,ファイナルディシジョン,6.0,3000.0,7.5,460.0,158.0,176.0,19.7,400,2.0,手塚,手塚貴久,美浦,5,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,5,サミターの19,ディエルメス (Diermmes),2019105206,ロードカナロア,牡,2020-01-27,1,ノーザンＦ,クラブ提供牧場,サミター,10.0,5000.0,12.5,426.0,150.5,176.5,20.1,400,5.0,国枝,国枝栄,美浦,3,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,6,ハープスターの19,ライラスター (Lyra Star),2019105336,ロードカナロア,牡,2020-04-09,4,ノーザンＦ,クラブ提供牧場,ハープスター,8.0,10000.0,25.0,447.0,154.0,174.0,21.0,400,2.0,木村,田中剛,美浦,24,4,6016.0,0.0,6016.0,0.6016,25'胎内川特別(2勝クラス)22'3歳以上1勝クラス-->,0,ok
2020,2019,7,ルージュバックの19,ブラーバック (Boulard Buck),2019105531,ロードカナロア,メス,2020-03-07,3,ノーザンＦ,クラブ提供牧場,ルージュバック,7.0,5000.0,12.5,421.0,155.0,172.0,19.8,400,1.0,大竹,角田輝也,愛知,8,1,370.0,42.0,412.0,0.0824,松ちゃん10周年記念-->,0,ok
2020,2019,8,シーズンズベストの19,トリメストラーレ (Trimestrale),2019105245,ロードカナロア,メス,2020-05-06,5,ノーザンＦ,クラブ提供牧場,シーズンズベスト,12.0,3600.0,9.0,398.0,147.5,168.0,19.0,400,5.0,萩原,萩原清,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,9,ティロレスカの19,サパーダ (Zapada),2019105295,ドゥラメンテ,牡,2020-02-05,2,ノーザンＦ,クラブ提供牧場,ティロレスカ,8.0,4000.0,10.0,449.0,155.0,173.0,20.0,400,1.0,木村,木村哲也,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,10,ヒストリックスターの19,ライリッズ (Lyrids),2019105354,ドゥラメンテ,牡,2020-05-16,5,ノーザンＦ,クラブ提供牧場,ヒストリックスター,14.0,4400.0,11.0,413.0,154.0,173.5,21.0,400,10.0,宮田,宮田敬介,美浦,13,3,4417.0,0.0,4417.0,1.0038636363636364,23'兵庫特別(2勝クラス)23'4歳以上1勝クラス-->,0,ok
