scene_no,page_start,page_end,page_count,scene_title,split_reason,csv_file,txt_file
1,1,7,7,はじめに・問題提起,タイトル、迷いの提示、GPT-5.5で結論が変わった前提をまとめる導入,csv/scene_01_p001-007_intro_problem.csv,txt_prompts/scene_01_p001-007_intro_problem.txt
2,8,15,8,第1章 GPT-5.5で何が変わったのか,GPT-5.5による仕事の流れ・人間の役割の変化を1章としてまとめる,csv/scene_02_p008-015_ch1_gpt55_change.csv,txt_prompts/scene_02_p008-015_ch1_gpt55_change.txt
3,16,22,7,第2章 ChatGPT中心にする理由,使い分けコスト、文脈集約、入口としての使いやすさをまとめる,csv/scene_03_p016-022_ch2_reason_core.csv,txt_prompts/scene_03_p016-022_ch2_reason_core.txt
4,23,29,7,第2章 例外ケースと集約手順1-2,ChatGPTだけでよい場合／そうでない場合、職種別ケース、集約手順前半をまとめる,csv/scene_04_p023-029_ch2_cases_steps12.csv,txt_prompts/scene_04_p023-029_ch2_cases_steps12.txt
5,30,34,5,第2章 集約手順後半と反論対応,集約運用手順3-4とClaude/Gemini/一極集中への反論をまとめる,csv/scene_05_p030-034_ch2_steps34_objections.csv,txt_prompts/scene_05_p030-034_ch2_steps34_objections.txt
6,35,42,8,第3章 ClaudeとGeminiの位置づけ,Claude/Geminiを否定せず、ChatGPT中心に戻る理由を整理する,csv/scene_06_p035-042_ch3_positioning.csv,txt_prompts/scene_06_p035-042_ch3_positioning.txt
7,43,49,7,第3章 比較テストと用途別整理,長文・企画・修正の比較、電子書籍・営業資料・SNS用途、併用ルールをまとめる,csv/scene_07_p043-049_ch3_tests_usecases.csv,txt_prompts/scene_07_p043-049_ch3_tests_usecases.txt
8,50,52,3,第3章 他AI派が戻るタイミング,Claude派/Gemini派が戻る場面と一周回っての意味をまとめる,csv/scene_08_p050-052_ch3_return_timing.csv,txt_prompts/scene_08_p050-052_ch3_return_timing.txt
9,53,60,8,第4章 実務ワークフロー基礎,企画・調査・文章・資料・SNS・品質チェックまでの基本ワークフロー,csv/scene_09_p053-060_ch4_workflow_basic.csv,txt_prompts/scene_09_p053-060_ch4_workflow_basic.txt
10,61,65,5,第4章 基本プロンプトと通し例,企画・品質チェックの基本プロンプトと電子書籍/営業資料/日常業務の通し例,csv/scene_10_p061-065_ch4_prompts_examples.csv,txt_prompts/scene_10_p061-065_ch4_prompts_examples.txt
11,66,72,7,第4章 失敗パターンと改善運用,よくある失敗、チームメンバー化、ワークフロー保存、プロンプト育成をまとめる,csv/scene_11_p066-072_ch4_failures_improvement.csv,txt_prompts/scene_11_p066-072_ch4_failures_improvement.txt
12,73,80,8,第5章 固定しないAI戦略前半,ChatGPT中心でも固定化せず、情報収集・データ管理・見直しルールを作る,csv/scene_12_p073-080_ch5_strategy_first.csv,txt_prompts/scene_12_p073-080_ch5_strategy_first.txt
13,81,88,8,第5章 固定しないAI戦略後半,AI比較疲れのケース、週次/月次確認、乗り換え手順、未来への備え,csv/scene_13_p081-088_ch5_strategy_second.csv,txt_prompts/scene_13_p081-088_ch5_strategy_second.txt
14,89,92,4,おわりに・結論の再提示,結論、固定しない姿勢、今日からの行動、最後のメッセージ,csv/scene_14_p089-092_ending_conclusion.csv,txt_prompts/scene_14_p089-092_ending_conclusion.txt
15,93,96,4,実践補足 第2章・第3章,基本情報整理、例外ルール、月1確認、乗り換え準備の補足,csv/scene_15_p093-096_supplement_ch2_ch3.csv,txt_prompts/scene_15_p093-096_supplement_ch2_ch3.txt
16,97,103,7,実践補足 第4章,電子書籍、営業資料、毎日の仕事への具体的な適用手順,csv/scene_16_p097-103_supplement_ch4.csv,txt_prompts/scene_16_p097-103_supplement_ch4.txt
17,104,107,4,実践補足 第5章・読者の行動,週1確認、3か月レビュー、変化に強い人、読者の行動,csv/scene_17_p104-107_supplement_ch5_action.csv,txt_prompts/scene_17_p104-107_supplement_ch5_action.txt
18,108,115,8,論点の再確認 前半,終盤の論点再確認ページ前半,csv/scene_18_p108-115_recap_first.csv,txt_prompts/scene_18_p108-115_recap_first.txt
19,116,117,2,論点の再確認 後半,終盤の論点再確認ページ後半,csv/scene_19_p116-117_recap_second.csv,txt_prompts/scene_19_p116-117_recap_second.txt
20,118,120,3,著者・書籍・制作情報,著者紹介、書籍紹介、制作情報のテキストページ,csv/scene_20_p118-120_author_book_info.csv,txt_prompts/scene_20_p118-120_author_book_info.txt
