No,Type,Content,Speaker,VoiceID,Enabled
1,dialogue,ミユくん、鎌倉幕府を滅ぼした男の名前を知っているかい？,ヨウイチ,Male_15,1
2,dialogue,足利尊氏ですか？,ミユ,Female_3,1
3,dialogue,違う。,ヨウイチ,Male_15,1
4,dialogue,新田義貞という男だ。,ヨウイチ,Male_15,1
5,dialogue,150騎で挙兵し、2週間で鎌倉幕府を滅ぼした英雄だ。,ヨウイチ,Male_15,1
6,pause,,,PAUSE_0.5S,1
7,dialogue,すごい人じゃないですか！,ミユ,Female_3,1
8,dialogue,ところが、その名は歴史の影に埋もれた。,ヨウイチ,Male_15,1
9,dialogue,今日は栄光を手にしながらすべてを失った男の物語だ。,ヨウイチ,Male_15,1
10,dialogue,義貞は源氏の名門、新田氏の当主だった。,ヨウイチ,Male_15,1
11,dialogue,足利氏とは同じ源氏の血筋で、新田が兄筋にあたる。,ヨウイチ,Male_15,1
12,dialogue,新田の方が格上だったんですか？,ミユ,Female_3,1
13,dialogue,血筋ではそうだ。,ヨウイチ,Male_15,1
14,dialogue,だが足利は幕府に優遇され裕福だった。,ヨウイチ,Male_15,1
15,dialogue,一方の新田氏は無位無官の貧しい御家人だった。,ヨウイチ,Male_15,1
16,pause,,,PAUSE_0.5S,1
17,dialogue,1333年、後醍醐天皇が倒幕の令旨を各地に飛ばした。,ヨウイチ,Male_15,1
18,dialogue,義貞は生品神社の前でわずか150騎で挙兵する。,ヨウイチ,Male_15,1
19,dialogue,150騎で幕府に挑むなんて無謀ですよね。,ミユ,Female_3,1
20,dialogue,だが幕府への不満を抱えた武士が次々と合流した。,ヨウイチ,Male_15,1
21,dialogue,軍勢は膨れ上がり、北条軍を次々に撃破して鎌倉に迫る。,ヨウイチ,Male_15,1
22,dialogue,破竹の勢いですね！,ミユ,Female_3,1
23,dialogue,だが鎌倉は三方を山、南を海に囲まれた天然の要塞だ。,ヨウイチ,Male_15,1
24,pause,,,PAUSE_0.5S,1
25,dialogue,ここで有名な伝説が生まれる。,ヨウイチ,Male_15,1
26,dialogue,稲村ヶ崎の奇跡だ。,ヨウイチ,Male_15,1
27,dialogue,義貞は黄金の太刀を海に投じて龍神に祈った。,ヨウイチ,Male_15,1
28,dialogue,すると潮が引いて干潟が現れ、軍勢は鎌倉へ突入できた。,ヨウイチ,Male_15,1
29,dialogue,龍神が味方したんですか！,ミユ,Female_3,1
30,dialogue,実際には干潮を利用した作戦とも言われている。,ヨウイチ,Male_15,1
31,pause,,,PAUSE_0.5S,1
32,dialogue,北条高時ら一族約870名が自害し、鎌倉幕府は滅亡した。,ヨウイチ,Male_15,1
33,dialogue,だが、ここから義貞の悲劇が始まる。,ヨウイチ,Male_15,1
34,dialogue,幕府を倒した英雄なのに、ですか？,ミユ,Female_3,1
35,dialogue,論功行賞で足利尊氏は従三位を得たが、,ヨウイチ,Male_15,1
36,dialogue,義貞は従四位止まりだった。,ヨウイチ,Male_15,1
37,dialogue,鎌倉を攻め落としたのは義貞なのに！,ミユ,Female_3,1
38,pause,,,PAUSE_0.5S,1
39,dialogue,尊氏は武士に恩賞を配り、政治力で求心力を高めた。,ヨウイチ,Male_15,1
40,dialogue,義貞は天皇への忠義を貫いたが、,ヨウイチ,Male_15,1
41,dialogue,武士の支持を得たのは尊氏だった。,ヨウイチ,Male_15,1
42,dialogue,戦では勝てても政治では勝てなかったんですね。,ミユ,Female_3,1
43,dialogue,尊氏が天皇に反旗を翻すと、義貞は天皇側として戦い続けた。,ヨウイチ,Male_15,1
44,dialogue,だが戦況は悪化し、北陸の越前へ落ち延びる。,ヨウイチ,Male_15,1
45,pause,,,PAUSE_0.5S,1
46,dialogue,1338年、義貞はわずか50騎で味方の救援に向かった。,ヨウイチ,Male_15,1
47,dialogue,途中で敵と遭遇し、眉間に矢を受けて落馬した。,ヨウイチ,Male_15,1
48,dialogue,最期を悟った義貞は自ら首を刎ねて果てた。,ヨウイチ,Male_15,1
49,dialogue,享年38。,ヨウイチ,Male_15,1
50,dialogue,壮絶な最期ですね。,ミユ,Female_3,1
51,dialogue,挙兵のとき150騎、最期は50騎。,ヨウイチ,Male_15,1
52,dialogue,あまりに孤独な結末だった。,ヨウイチ,Male_15,1
53,dialogue,でも義貞が歴史を変えたことは間違いないですよね。,ミユ,Female_3,1
54,dialogue,ああ。,ヨウイチ,Male_15,1
55,dialogue,福井の藤島神社に忠義の武将として今も祀られている。,ヨウイチ,Male_15,1
56,dialogue,勝者は尊氏だった。,ヨウイチ,Male_15,1
57,dialogue,だが忠義を貫いた義貞の生き様は多くの人の心に残った。,ヨウイチ,Male_15,1
58,dialogue,勝ち負けだけが人の価値じゃないんですね。,ミユ,Female_3,1
59,pause,,,PAUSE_0.5S,1
60,dialogue,いいね、コメント、チャンネル登録、よろしくお願いします！,ミユ,Female_3,1
61,dialogue,みなさんの応援が次の動画の力になります。,ヨウイチ,Male_15,1
62,pause,,,PAUSE_0.5S,1
63,dialogue,また次回、別の歴史の物語を一緒に探ろう。,ヨウイチ,Male_15,1
