ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON
1,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""導入"", ""主人公ミナミがSNSでAI株の急騰投稿を見て焦る""], [""ミナミ"", ""AI株、今からでも買うべき？""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
2,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""導入の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
3,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""導入の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
4,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""導入の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
5,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
6,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
7,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
8,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
9,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
10,4コマ基本,日本のビジネスマンガ調。テーマ=導入。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
11,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""前提整理"", ""メンターの高橋が、AI株は一枚岩ではないと説明する""], [""ミナミ"", ""まず、何に投資するのか分けよう""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
12,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""前提整理の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
13,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""前提整理の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
14,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""前提整理の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
15,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
16,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
17,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
18,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
19,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
20,4コマ基本,日本のビジネスマンガ調。テーマ=前提整理。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
21,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""半導体"", ""GPU、ファウンドリ、製造装置がホワイトボードに並ぶ""], [""ミナミ"", ""AIの裏側には半導体の層がある""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
22,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""半導体の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
23,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""半導体の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
24,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""半導体の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
25,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
26,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
27,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
28,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
