"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第1巻

【目次】

　第1話　いつかの夢
　　コラム①
　第2話　誰も幸せにならない制度
　　コラム②
　第3話　名刺のない世界
　　コラム③","[]"
"2","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, 山田課長は添付の山田課長.pngと100%同一の外見で描画, ひなた（赤ちゃん期）は添付のひなた_赤ちゃん期.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: キャラクター紹介ページ
◆【ストーリー】
1コマ目 (ページ全体): 登場人物紹介ページ。画面上部に「登場人物」のタイトル。キャラクターを縦に並べ、それぞれ全身イラスト＋横に名前と一行紹介。
・ミサキ: 32歳。主人公。元事務職の会社員。出産を機に退職。
・ケンタ: 34歳。ミサキの夫。真面目な会社員。
・山田課長: 50代。ミサキの元上司。温厚だが制度の壁には無力。
・ひなた（赤ちゃん期）: ミサキとケンタの娘。
セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"3","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 【タイトルページ】休日のリビング。ソファに座って笑い合うミサキとケンタ。窓から柔らかい光が差し込む。温かく幸せそうな雰囲気。背景にマンションCMのテレビ画面がぼんやりと映る。 セリフ: なし ナレーション: ［四角枠］第1話 陽性反応と、描いていた未来 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第1話 陽性反応と、描いていた未来""}]"
"4","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): 休日のリビング全景。ミサキとケンタがソファに並んで座っている。テレビには家族向けマンションのCMが映り、小さな子供が芝生を走る映像。窓から午後の日差しが差し込む。 セリフ: なし ナレーション: ［四角枠］ミサキは、子供が欲しかった。ケンタと結婚して3年。〝そろそろかな〟と二人で話し始めたのは、去年の秋ごろだった。 オノマトペ: なし
2コマ目 (下・小): テレビ画面のアップ。芝生の上を走る小さな子供の映像。ミサキとケンタがそれを見つめている横顔。 セリフ: なし ナレーション: ［四角枠］画面に映る家族向けマンションのCM。小さな子供が芝生の上を走っている。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは、子供が欲しかった。ケンタと結婚して3年。〝そろそろかな〟と二人で話し始めたのは、去年の秋ごろだった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""画面に映る家族向けマンションのCM。小さな子供が芝生の上を走っている。""}]"
"5","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ6: 上1コマ+下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキがケンタに話しかける。期待に満ちた笑顔。 セリフ: ［ミサキ］の吹き出しに「…ねえ、子供ができたら、名前は何がいいかな」 ナレーション: なし オノマトペ: なし
2コマ目 (下左): ケンタがコーヒーカップを持ちながら笑う。 セリフ: ［ケンタ］の吹き出しに「気が早いって」 ナレーション: なし オノマトペ: なし
3コマ目 (下右): ミサキがスマホを取り出して名前辞典のサイトを開いている。楽しそうな表情。 セリフ: ［ミサキ］の吹き出しに「でも考えるの楽しいじゃん」 ナレーション: ［四角枠］ケンタは笑いながらコーヒーを啜った。ミサキはスマホを取り出して、名前辞典のサイトを開く。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""…ねえ、子供ができたら、名前は何がいいかな""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""気が早いって""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""でも考えるの楽しいじゃん""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタは笑いながらコーヒーを啜った。ミサキはスマホを取り出して、名前辞典のサイトを開く。""}]"
"6","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがスマホ画面をケンタに見せている。画面に〝ひなた〟の文字。 セリフ: ［ミサキ］の吹き出しに「〝ひなた〟とかどう？ 男の子でも女の子でもいけるし」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ケンタが優しく微笑む。 セリフ: ［ケンタ］の吹き出しに「いいね。あったかい感じ」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): 二人が笑い合っている。幸せそうな雰囲気。 セリフ: ［ミサキ］の吹き出しに「でしょ？」 ナレーション: ［四角枠］ケンタと笑いながら、まだ見ぬ未来を描いていた。ミサキにとって、子供のいる人生は、ずっと〝いつか〟の夢だった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""〝ひなた〟とかどう？ 男の子でも女の子でもいけるし""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""いいね。あったかい感じ""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""でしょ？""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタと笑いながら、まだ見ぬ未来を描いていた。ミサキにとって、子供のいる人生は、ずっと〝いつか〟の夢だった。""}]"
"7","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキが窓の外を見つめている。穏やかだが少し物思いにふける表情。 セリフ: なし ナレーション: ［四角枠］結婚して、仕事も安定して、貯金もそこそこできた。いいタイミングだと思った。 オノマトペ: なし
2コマ目 (下): ミサキの回想イメージ。オフィスで働く自分と、赤ちゃんを抱く自分が重なるイメージ。 セリフ: なし ナレーション: ［四角枠］キャリアのことが気にならなかったわけじゃない。でも、〝産休を取って、復帰すればいい〟。そう思っていた。制度はある。先輩もそうしてきた。自分もそうすればいい——。深くは考えなかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""結婚して、仕事も安定して、貯金もそこそこできた。いいタイミングだと思った。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""キャリアのことが気にならなかったわけじゃない。でも、〝産休を取って、復帰すればいい〟。そう思っていた。制度はある。先輩もそうしてきた。自分もそうすればいい——。深くは考えなかった。""}]"
"8","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): トイレの個室。ミサキの手が妊娠検査薬を持っている。手が震えている。 セリフ: なし ナレーション: ［四角枠］検査薬を手にしたとき、心臓がうるさいくらいに鳴っていた。トイレの中。数分が永遠のように感じた。 オノマトペ: ドキドキ
2コマ目 (下・大): 妊娠検査薬のアップ。二本の線がはっきり見える。ミサキの目に涙が浮かんでいる。 セリフ: ［ミサキ］の吹き出しに「……っ」 ナレーション: ［四角枠］手が震える。怖い。でも、怖いというより、期待のほうが大きかった。目を開ける。二本の線。涙が出た。嬉しくて、ただ嬉しくて。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""検査薬を手にしたとき、心臓がうるさいくらいに鳴っていた。トイレの中。数分が永遠のように感じた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……っ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""手が震える。怖い。でも、怖いというより、期待のほうが大きかった。目を開ける。二本の線。涙が出た。嬉しくて、ただ嬉しくて。""}]"
"9","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 洗面台の鏡に映るミサキ。泣き笑いの表情。 セリフ: なし ナレーション: ［四角枠］洗面台の鏡に映った自分の顔が、泣き笑いになっていた。 オノマトペ: なし
2コマ目 (下): 夜。ミサキがケンタに検査薬を見せている。ケンタは驚いた表情。 セリフ: ［ミサキ］の吹き出しに「ケンタ、これ——」 ナレーション: ［四角枠］その夜、仕事から帰ったケンタにスティックを見せた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""洗面台の鏡に映った自分の顔が、泣き笑いになっていた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""ケンタ、これ——""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""その夜、仕事から帰ったケンタにスティックを見せた。""}]"
"10","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ケンタが一瞬固まった表情。 セリフ: ［ケンタ］の吹き出しに「本当に…？　やった…！」 ナレーション: ［四角枠］ケンタは一瞬固まって、それからミサキを抱きしめた。 オノマトペ: なし
2コマ目 (下・大): ケンタがミサキを抱きしめている。二人とも涙ぐんでいる。テーブルの上に冷めかけの晩ごはんが見える。 セリフ: なし ナレーション: ［四角枠］二人で泣いた。テーブルの上に広げていた晩ごはんが冷めていくのも気にせず、二人でずっと笑っていた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""本当に…？　やった…！""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタは一瞬固まって、それからミサキを抱きしめた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""二人で泣いた。テーブルの上に広げていた晩ごはんが冷めていくのも気にせず、二人でずっと笑っていた。""}]"
