"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON","outfit_id"
"25","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
【コラム⑥】テクノロジーの「民主化」——誰のためのAIか？

キャリアコンサルタントの視点から。

印刷技術は「本を読む」を民主化した。インターネットは「情報を得る」を民主化した。そしてAIは「作る」を民主化しようとしている。文章を書く、企画を立てる、分析する——かつては専門家だけができたことが、今は日本語で話しかけるだけでできる時代になった。

ミサキの年齢も学歴も職歴も、Claudeは聞かなかった。「誰が話しかけているか」ではなく「何を伝えているか」だけが重要。新しいスキルに年齢も前職も関係ない。必要なのは「やってみよう」という決意だけ。ミサキはその決意をした。次の章から、その決意が試されることになる。","[]",""
"26","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 深夜のリビング。スマートフォンのアラームが光る。画面に「00:00」と表示。ミサキがノートパソコンの前でやる気に満ちた表情をしている。集中線とスマホの光が交差する演出。タイトル〝第6章　毎日投稿という戦い〟を大きく配置。 セリフ: なし ナレーション: なし オノマトペ: ジリリリリ……！","[]","misaki_work_home"
"27","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがスマートフォンのアラームを止める。深夜0時。ひなたがようやく寝た後の「ミサキの作業時間」の合図。 セリフ: なし ナレーション: ［四角枠］深夜0時。ひなたがようやく寝た後の「ミサキの作業時間」の合図だ。 オノマトペ: ジリリリリ……！
2コマ目 (中段): ミサキがノートパソコンを開き、Claudeとプロフィール文を一緒に練っている。画面にCanvaのテンプレートが見える。 セリフ: なし ナレーション: ［四角枠］タクヤと相談して決めたアカウント名「@misaki_wanope_mama」。Claudeと一緒にプロフィール文を練り、Canvaで投稿テンプレートを作り、最初の投稿テーマを決めた。 オノマトペ: カチカチ
3コマ目 (下段): 「夜泣きを乗り越えた5つの方法」というタイトルが画面に。ミサキが3時間かけて完成させた投稿を確認している。 セリフ: なし ナレーション: ［四角枠］「夜泣きを乗り越えた5つの方法」。3時間かかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""深夜0時。ひなたがようやく寝た後の「ミサキの作業時間」の合図だ。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤと相談して決めたアカウント名「@misaki_wanope_mama」。Claudeと一緒にプロフィール文を練り、Canvaで投稿テンプレートを作り、最初の投稿テーマを決めた。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""「夜泣きを乗り越えた5つの方法」。3時間かかった。""}]","misaki_work_home"
"28","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキがスマートフォンの投稿ボタンに指を乗せている。表情は緊張と興奮が入り混じり、汗も一粒。背景に集中線。 セリフ: なし ナレーション: ［四角枠］ミサキは投稿ボタンに指を乗せた。自分の言葉が、経験が、世界中に公開される——その瞬間。 オノマトペ: ドキドキドキドキ……
2コマ目 (下・小): ミサキが思い切って指を押し下げる。 セリフ: ［ミサキ］の吹き出しに「……えいっ！」 ナレーション: なし オノマトペ: ポチッ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは投稿ボタンに指を乗せた。自分の言葉が、経験が、世界中に公開される——その瞬間。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……えいっ！""}]","misaki_work_home"
"29","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 1時間後。ミサキがスマホでいいね数を確認している。 セリフ: なし ナレーション: ［四角枠］1時間後。いいねを確認した。 オノマトペ: なし
2コマ目 (下右): スマホ画面のアップ。いいね「3」と表示。「うち2つはタクヤ、もう1つは知らないアカウント」の小さなナレーション。 セリフ: なし ナレーション: ［四角枠］3。うち2つはタクヤ。もう1つは知らないアカウント。 オノマトペ: なし
3コマ目 (下左): ミサキが少し凹んだ表情。しかし開き直っている。 セリフ: ［ミサキ（内心）］の吹き出しに「……まあ、最初はこんなもんか」 ナレーション: ［四角枠］わかっていた。わかっていたけど、少しだけ凹んだ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""1時間後。いいねを確認した。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""3。うち2つはタクヤ。もう1つは知らないアカウント。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……まあ、最初はこんなもんか""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""わかっていた。わかっていたけど、少しだけ凹んだ。""}]","misaki_work_home"
"30","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): カレンダーに毎日チェックマークが入っている。ミサキが淡々と投稿を続けている様子。 セリフ: なし ナレーション: ［四角枠］毎日投稿を続けた。タクヤのアドバイスに従って、毎日1投稿。テーマはClaudeと一緒に週単位で計画する。 オノマトペ: なし
2コマ目 (中段): スマホ画面の推移。数字が増えない。「3日目 いいね5 フォロワー増加ゼロ／5日目 いいね4 フォロワー増加1（スパムだった）」という表示。 セリフ: なし ナレーション: ［四角枠］3日目。いいね5。フォロワー増加ゼロ。5日目。いいね4。フォロワー増加1（スパムだった）。 オノマトペ: なし
3コマ目 (下段): ミサキが夜、一人でスマホを眺めて項垂れている。 セリフ: ［ミサキ（内心）］の吹き出しに「誰にも届いてない……」 ナレーション: ［四角枠］一週間。平均いいね4.2、フォロワー12人（半分はスパム）。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""毎日投稿を続けた。タクヤのアドバイスに従って、毎日1投稿。テーマはClaudeと一緒に週単位で計画する。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""3日目。いいね5。フォロワー増加ゼロ。5日目。いいね4。フォロワー増加1（スパムだった）。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""誰にも届いてない……""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""一週間。平均いいね4.2、フォロワー12人（半分はスパム）。""}]","misaki_work_home"
"31","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): 夜、ミサキが自分の投稿を見返している。 セリフ: なし ナレーション: ［四角枠］夜、ひなたを寝かしつけた後、自分の投稿を見返した。 オノマトペ: なし
2コマ目 (下・大): ミサキが画面を見つめて気づく。表情は複雑な落ち込み。背景に暗いトーン。 セリフ: ［ミサキ（内心）］の吹き出しに「つまらない……いや、違う。〝どこかで見たことがある〟んだ」 ナレーション: ［四角枠］内容は正しい。でも他のアカウントでも同じことを言っている。ミサキの投稿を見る理由が、読者にはなかった。 オノマトペ: ガーン……","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""夜、ひなたを寝かしつけた後、自分の投稿を見返した。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""つまらない……いや、違う。〝どこかで見たことがある〟んだ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""内容は正しい。でも他のアカウントでも同じことを言っている。ミサキの投稿を見る理由が、読者にはなかった。""}]","misaki_work_home"
"32","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 週次面談でミサキがタクヤに投稿を見せる。画面共有をしている。 セリフ: ［タクヤ］の吹き出しに「……内容は悪くないですよ。でも、〝佐藤さんらしさ〟がない」 ナレーション: ［四角枠］ミサキは週次面談でタクヤに打ち明けた。 オノマトペ: なし
2コマ目 (中段): ミサキが「私らしさ」という言葉に首を傾ける。 セリフ: ［ミサキ］の吹き出しに「私らしさ……」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが画面越しに指摘する。ミサキが胸にズキっとした表情。 セリフ: ［タクヤ］の吹き出しに「この投稿、誰が書いたかわからないですよね。育児メディアの記事と区別がつかない」 ナレーション: なし オノマトペ: ズキッ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""……内容は悪くないですよ。でも、〝佐藤さんらしさ〟がない""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは週次面談でタクヤに打ち明けた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""私らしさ……""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""この投稿、誰が書いたかわからないですよね。育児メディアの記事と区別がつかない""}]","misaki_work_home"
"33","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): タクヤが核心を突く。 セリフ: ［タクヤ］の吹き出しに「AIに〝投稿を作って〟とだけ伝えていませんか？」 ナレーション: なし オノマトペ: なし
2コマ目 (下右): ミサキが図星を刺されてバツが悪そうにする。 セリフ: ［ミサキ］の吹き出しに「……そうかもしれません」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): タクヤが真剣な顔で説明する。 セリフ: ［タクヤ］の吹き出しに「曖昧な指示には、曖昧な——つまり無難な——答えしか返ってこない」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""AIに〝投稿を作って〟とだけ伝えていませんか？""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……そうかもしれません""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""曖昧な指示には、曖昧な——つまり無難な——答えしか返ってこない""}]","misaki_work_home"
"34","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): タクヤが具体的な指示例をタイプする。画面に長い指示文が流れる演出。吹き出しが大きく、セリフが多い。 セリフ: ［タクヤ］の吹き出しに「たとえば——今朝3時に夜泣きで起きて、1時間あやしても泣き止まなくて、最終的にリビングで一緒にテレビを見たら寝た。この実体験をもとに、同じ経験のあるママに〝あるある〟と思ってもらえる投稿を作りたい——こう伝えてみてください」 ナレーション: なし オノマトペ: なし
2コマ目 (下・小): ミサキが目を丸くして驚く。 セリフ: ［ミサキ］の吹き出しに「こんなに具体的に書くんですか？」 ナレーション: なし オノマトペ: ！","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""たとえば——今朝3時に夜泣きで起きて、1時間あやしても泣き止まなくて、最終的にリビングで一緒にテレビを見たら寝た。この実体験をもとに、同じ経験のあるママに〝あるある〟と思ってもらえる投稿を作りたい——こう伝えてみてください""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""こんなに具体的に書くんですか？""}]","misaki_work_home"
