race_date,race_no,baba_code,finish,post_position,horse_number,horse_name,popularity,win_odds,venue
2026/01/27,10,20,1,1,2,シャンデリアソング,3,,大井
2026/01/27,10,20,2,2,4,ポアゾンノアール,1,,大井
2026/01/27,10,20,3,3,5,アオイフォトグラフ,10,,大井
2026/01/27,10,20,4,8,16,ビップクララ,11,,大井
2026/01/27,10,20,5,7,13,アオイハナミチ,5,,大井
2026/01/27,10,20,6,1,1,スマイルケイ,4,,大井
2026/01/27,10,20,7,6,12,コノヨルヲトメテヨ,8,,大井
2026/01/27,10,20,8,4,7,ティーズアイランド,7,,大井
2026/01/27,10,20,9,2,3,トウヨウノマジョ,12,,大井
2026/01/27,10,20,10,8,15,ストライクルックス,6,,大井
2026/01/27,10,20,11,4,8,ニューブリッジ,2,,大井
2026/01/27,10,20,12,5,9,タケノリッチ,15,,大井
2026/01/27,10,20,13,6,11,ジョーソーレ,14,,大井
2026/01/27,10,20,14,5,10,フローズンキス,13,,大井
2026/01/27,10,20,15,7,14,サカベンクイーン,9,,大井
2026/01/27,11,20,1,6,8,サッキーミツグ,3,,大井
2026/01/27,11,20,2,7,11,サトノリリウム,4,,大井
2026/01/27,11,20,3,1,1,クレド,2,,大井
2026/01/27,11,20,4,8,12,キエティスム,1,,大井
2026/01/27,11,20,5,6,9,シャインフォール,5,,大井
2026/01/27,11,20,6,5,7,コスモソンジュ,7,,大井
2026/01/27,11,20,7,8,13,ニシノデフィレ,10,,大井
2026/01/27,11,20,8,4,5,アポロリヤム,6,,大井
2026/01/27,11,20,9,4,4,マイネルディレクト,9,,大井
2026/01/27,11,20,10,5,6,エイシンマジョリカ,8,,大井
2026/01/27,11,20,11,2,2,ヘキクウ,11,,大井
2026/01/27,11,20,12,3,3,モンゲーキララ,12,,大井
2026/01/27,11,20,13,7,10,レオンバローズ,13,,大井
2026/01/27,12,20,1,4,4,ネポティズムベビー,4,,大井
2026/01/27,12,20,2,4,5,ワクシングムーン,1,,大井
2026/01/27,12,20,3,8,13,ラモラック,2,,大井
2026/01/27,12,20,4,6,8,ピンナダ,11,,大井
2026/01/27,12,20,5,3,3,ゲールタクト,5,,大井
2026/01/27,12,20,6,5,6,ドバイミッション,3,,大井
2026/01/27,12,20,7,8,12,ファーストフォルテ,9,,大井
2026/01/27,12,20,8,2,2,グリークトレジャー,7,,大井
2026/01/27,12,20,9,6,9,マルチライセンス,13,,大井
2026/01/27,12,20,10,5,7,トーアナカヨシ,8,,大井
2026/01/27,12,20,11,7,11,サガノオウマサン,12,,大井
2026/01/27,12,20,12,7,10,ショットオブザデイ,10,,大井
2026/01/27,12,20,13,1,1,ヒシタイカン,6,,大井
2025/12/30,9,20,1,7,10,ジーティーゴッド,1,,大井
2025/12/30,9,20,2,8,11,マドモアゼルレンヌ,6,,大井
2025/12/30,9,20,3,3,3,アフターレヴュー,2,14.5,大井
2025/12/30,9,20,4,5,6,アトラスライズ,10,37.3,大井
2025/12/30,9,20,5,8,12,マルヨジョーダン,4,,大井
2025/12/30,9,20,6,4,4,パワーキングダム,5,273.5,大井
2025/12/30,9,20,7,2,2,ミネソタ,11,2.4,大井
2025/12/30,9,20,8,1,1,バースフラワー,3,1.9,大井
2025/12/30,9,20,9,7,9,エーオ,8,13.4,大井
2025/12/30,9,20,10,6,7,メイショウカンムリ,9,47.9,大井
2025/12/30,9,20,11,6,8,ロードヴェスパー,12,8.2,大井
2025/12/30,9,20,12,5,5,エルロロ,7,41.5,大井
