年産,募集年度,1口平均価格_万円,平均総額_万円,中央値総額_万円,中央募集頭数,出典区分
2023,2024,10.75,4301,4000,105,実測(募集馬リスト集計)
2024,2025,12.34,4936,4000,88,実測(募集馬リスト集計)
2025,2026,13.22,5290,5000,87,実測(募集馬リスト集計)
2012,2013,7.52,3009,,,後方推計(年率3.3%)
2013,2014,7.77,3108,,,後方推計(年率3.3%)
2014,2015,8.03,3210,,,後方推計(年率3.3%)
2015,2016,8.29,3316,,,後方推計(年率3.3%)
2016,2017,8.56,3426,,,後方推計(年率3.3%)
2017,2018,8.85,3539,,,後方推計(年率3.3%)
2018,2019,9.14,3656,,,後方推計(年率3.3%)
2019,2020,9.44,3776,,,後方推計(年率3.3%)
2020,2021,9.75,3901,,,後方推計(年率3.3%)
2021,2022,10.07,4030,,,後方推計(年率3.3%)
2022,2023,10.41,4163,,,後方推計(年率3.3%)
