院名,AI種別,質問No,質問カテゴリ,質問文,実施日時,言及有無,推薦順位,引用元種別,引用元詳細,誤情報有無,誤情報内容,質問別素点,再実施フラグ,再実施理由,備考
（記入例）サンプル整体院,ChatGPT,1,おすすめ,サンプル市でおすすめの整体院はどこですか？,2026-07-12 10:05,あり,2〜3位相当,引用なし,,なし,,5,,,回答スクリーンショット: 実施記録/サンプル整体院/chatgpt_q1.png
,ChatGPT,2,おすすめ,{症状・悩み}に強いおすすめの整体院を{地域名}で教えてください。,,,,,,,,,,,
,ChatGPT,3,比較,{地域名}の整体院と接骨院の違いを教えてください。,,,,,,,,,,,
,ChatGPT,4,比較,{地域名}で人気の整体院{院名}と{競合院名1}、どちらが評判がいいですか？,,,,,,,,,,,
,ChatGPT,5,料金,{地域名}の整体の相場料金はいくらくらいですか？,,,,,,,,,,,
,ChatGPT,6,料金,{症状・悩み}の施術にかかる整体の料金相場を教えてください。,,,,,,,,,,,
,ChatGPT,7,口コミ・評判,{地域名}の整体院で口コミが多いところはどこですか？,,,,,,,,,,,
,ChatGPT,8,口コミ・評判,{地域名}の整体院で評判が良い理由は何ですか？,,,,,,,,,,,
,ChatGPT,9,近くの,近くの整体院を教えてください。{地域名}にいます。,,,,,,,,,,,
,ChatGPT,10,近くの,{地域名}駅周辺で今すぐ予約できる整体院はありますか？,,,,,,,,,,,
,Gemini,1,おすすめ,{地域名}でおすすめの整体院はどこですか？,,,,,,,,,,,
,Gemini,2,おすすめ,{症状・悩み}に強いおすすめの整体院を{地域名}で教えてください。,,,,,,,,,,,
,Gemini,3,比較,{地域名}の整体院と接骨院の違いを教えてください。,,,,,,,,,,,
,Gemini,4,比較,{地域名}で人気の整体院{院名}と{競合院名1}、どちらが評判がいいですか？,,,,,,,,,,,
,Gemini,5,料金,{地域名}の整体の相場料金はいくらくらいですか？,,,,,,,,,,,
,Gemini,6,料金,{症状・悩み}の施術にかかる整体の料金相場を教えてください。,,,,,,,,,,,
,Gemini,7,口コミ・評判,{地域名}の整体院で口コミが多いところはどこですか？,,,,,,,,,,,
,Gemini,8,口コミ・評判,{地域名}の整体院で評判が良い理由は何ですか？,,,,,,,,,,,
,Gemini,9,近くの,近くの整体院を教えてください。{地域名}にいます。,,,,,,,,,,,
,Gemini,10,近くの,{地域名}駅周辺で今すぐ予約できる整体院はありますか？,,,,,,,,,,,
,Perplexity,1,おすすめ,{地域名}でおすすめの整体院はどこですか？,,,,,,,,,,,
,Perplexity,2,おすすめ,{症状・悩み}に強いおすすめの整体院を{地域名}で教えてください。,,,,,,,,,,,
,Perplexity,3,比較,{地域名}の整体院と接骨院の違いを教えてください。,,,,,,,,,,,
,Perplexity,4,比較,{地域名}で人気の整体院{院名}と{競合院名1}、どちらが評判がいいですか？,,,,,,,,,,,
,Perplexity,5,料金,{地域名}の整体の相場料金はいくらくらいですか？,,,,,,,,,,,
,Perplexity,6,料金,{症状・悩み}の施術にかかる整体の料金相場を教えてください。,,,,,,,,,,,
,Perplexity,7,口コミ・評判,{地域名}の整体院で口コミが多いところはどこですか？,,,,,,,,,,,
,Perplexity,8,口コミ・評判,{地域名}の整体院で評判が良い理由は何ですか？,,,,,,,,,,,
,Perplexity,9,近くの,近くの整体院を教えてください。{地域名}にいます。,,,,,,,,,,,
,Perplexity,10,近くの,{地域名}駅周辺で今すぐ予約できる整体院はありますか？,,,,,,,,,,,
,Google AI Overviews,1,おすすめ,{地域名}でおすすめの整体院はどこですか？,,,,,,,,,,,
,Google AI Overviews,2,おすすめ,{症状・悩み}に強いおすすめの整体院を{地域名}で教えてください。,,,,,,,,,,,
,Google AI Overviews,3,比較,{地域名}の整体院と接骨院の違いを教えてください。,,,,,,,,,,,
,Google AI Overviews,4,比較,{地域名}で人気の整体院{院名}と{競合院名1}、どちらが評判がいいですか？,,,,,,,,,,,
,Google AI Overviews,5,料金,{地域名}の整体の相場料金はいくらくらいですか？,,,,,,,,,,,
,Google AI Overviews,6,料金,{症状・悩み}の施術にかかる整体の料金相場を教えてください。,,,,,,,,,,,
,Google AI Overviews,7,口コミ・評判,{地域名}の整体院で口コミが多いところはどこですか？,,,,,,,,,,,
,Google AI Overviews,8,口コミ・評判,{地域名}の整体院で評判が良い理由は何ですか？,,,,,,,,,,,
,Google AI Overviews,9,近くの,近くの整体院を教えてください。{地域名}にいます。,,,,,,,,,,,
,Google AI Overviews,10,近くの,{地域名}駅周辺で今すぐ予約できる整体院はありますか？,,,,,,,,,,,
