募集年度,募集番号,母馬名,母馬の生年,母馬の馬齢,母馬の募集年度,経過年数t,抽選ランク,母馬優先枠で抽選
2021,03,ラドラーダ,2006,15,2007,14,D,1
2021,04,シーザリオ,2002,19,2003,18,G,0
2021,08,ローガンサファイア,2010,11,2011,10,J,0
2021,09,バウンスシャッセ,2011,10,2012,9,H,0
2021,10,プルメリアスター,2012,9,2013,8,I,1
2021,14,ルージュバック,2012,9,2013,8,I,1
2021,15,ケイティーズハート,2009,12,2010,11,J,0
2021,17,エンジェルフォール,2009,12,2010,11,J,0
2021,18,バイラオーラ,2006,15,2007,14,確定,0
2021,21,エクストラペトル,2012,9,2013,8,I,1
2021,22,マイティースルー,2006,15,2007,14,E,1
2021,24,ロスヴァイセ,2011,10,2012,9,E,1
2021,27,エンシェントヒル,2001,20,2002,19,J,0
2021,29,フェルミオン,2006,15,2007,14,J,0
2021,30,ココファンタジア,2013,8,2014,7,I,1
2021,32,パルティトゥーラ,2014,7,2015,6,B,1
2021,33,マルティンスターク,2005,16,2006,15,J,0
2021,35,ビットレート,2012,9,2013,8,確定,0
2021,36,カイゼリン,2005,16,2006,15,J,0
2021,37,ユールフェスト,2009,12,2010,11,J,0
2021,38,レオパルディナ,2012,9,2013,8,J,0
2021,39,アールブリュット,2012,9,2013,8,I,1
2021,41,アドヴェントス,2013,8,2014,7,J,0
2021,44,アヴェンチュラ,2008,13,2009,12,J,0
2021,46,フロアクラフト,2010,11,2011,10,J,0
2021,51,クルミナル,2012,9,2013,8,A,1
2021,52,エールデュレーヴ,2013,8,2014,7,D,1
2021,53,レイリオン,2013,8,2014,7,E,1
2021,54,トータルヒート,2011,10,2012,9,I,1
2021,56,コルコバード,2013,8,2014,7,I,1
2021,58,スペクトロライト,2010,11,2011,10,J,0
2021,59,グランデアモーレ,2010,11,2011,10,J,0
2021,61,ラフォルジュルネ,2007,14,2008,13,J,0
2021,62,ディアデラノビア,2002,19,2003,18,J,0
2021,65,サンブルエミューズ,2010,11,2011,10,D,1
2021,66,プラチナブロンド,2011,10,2012,9,J,0
2021,67,ピースエンブレム,2006,15,2007,14,E,1
2021,69,アウェイク,2013,8,2014,7,I,1
2021,70,ローズノーブル,2009,12,2010,11,J,0
2021,72,フォルテピアノ,2003,18,2004,17,J,0
2021,73,ピュアブリーゼ,2008,13,2009,12,J,0
2021,75,クレオール,2012,9,2013,8,I,1
2021,76,エスティタート,2013,8,2014,7,I,1
2021,78,ピンクアリエス,2007,14,2008,13,H,0
2021,81,シャンドランジュ,2013,8,2014,7,J,0
2021,82,ホワイトミーティア,2011,10,2012,9,J,0
2021,84,グリューヴァイン,2012,9,2013,8,確定,0
2021,91,ネオフレグランス,2014,7,2015,6,確定,0
2022,01,ミリッサ,2014,8,2015,7,確定,0
2022,06,サンブルエミューズ,2010,12,2011,11,A,1
2022,07,シャルール,2012,10,2013,9,I,1
2022,10,ロスヴァイセ,2011,11,2012,10,E,1
2022,11,アールブリュット,2012,10,2013,9,A,1
2022,12,フロアクラフト,2010,12,2011,11,J,0
2022,14,ブルーメンブラット,2003,19,2004,18,J,0
2022,15,リカビトス,2014,8,2015,7,I,1
2022,16,シャイントレイル,2014,8,2015,7,I,1
2022,17,ピュアブリーゼ,2008,14,2009,13,J,0
2022,19,ヴィータアレグリア,2011,11,2012,10,J,0
2022,21,スペクトロライト,2010,12,2011,11,J,0
2022,22,アンジュシャルマン,2014,8,2015,7,J,0
2022,23,エスティタート,2013,9,2014,8,J,0
2022,24,パルティトゥーラ,2014,8,2015,7,I,1
2022,26,ケイティーズハート,2009,13,2010,12,G,0
2022,27,プルメリアスター,2012,10,2013,9,D,1
2022,32,マリアライト,2011,11,2012,10,E,1
2022,43,ビットレート,2012,10,2013,9,J,0
2022,45,コルコバード,2013,9,2014,8,I,1
2022,46,ピースエンブレム,2006,16,2007,15,J,0
2022,47,ティンバレス,2012,10,2013,9,I,1
2022,48,バイラオーラ,2006,16,2007,15,J,0
2022,51,リラヴァティ,2011,11,2012,10,J,0
2022,52,エリティエール,2014,8,2015,7,確定,0
2022,53,バウンスシャッセ,2011,11,2012,10,J,0
2022,54,トータルヒート,2011,11,2012,10,D,1
2022,62,ディーパワンサ,2014,8,2015,7,確定,0
2022,66,リスグラシュー,2014,8,2015,7,J,0
2022,67,ディアデラマドレ,2010,12,2011,11,J,0
2022,68,ペルレンケッテ,2008,14,2009,13,確定,0
2022,70,マルティンスターク,2005,17,2006,16,J,0
2022,71,グリューヴァイン,2012,10,2013,9,J,0
2022,72,クルークハイト,2014,8,2015,7,E,1
2022,73,オーマイベイビー,2011,11,2012,10,G,0
2022,74,ラプソディーア,2014,8,2015,7,I,1
2022,75,アロマドゥルセ,2014,8,2015,7,I,1
2022,76,レイリオン,2013,9,2014,8,I,1
2022,77,ヴィートマルシェ,2002,20,2003,19,J,0
2022,82,カイカヨソウ,2010,12,2011,11,J,0
2022,86,ローズノーブル,2009,13,2010,12,J,0
