"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON","outfit_id"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第3巻

【目次】

　第5章　はじめてのClaude
　　コラム⑥
　第6章　毎日投稿という戦い
　　コラム⑦","[]",""
"2","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1・2巻）までのあらすじ】

佐藤ミサキ（32歳）は、妊娠を機に職場で孤立し、産休・退職という道を歩んだ。退職後は「名刺のない自分」に怯え、通帳の残高が減るなか「事務しかやったことない私に何ができるの」という問いが頭の中でループし続けた。

転機は、夫のケンタが見せてくれたSNSの投稿。タクヤのウェビナーに参加し、貯金から9万円を投じてプログラムへの申し込みを決断した。それはスキルへの投資ではなく、「自分は変われる」という仮説への投資だった。

ミサキの本当のキャリアは——ここから始まる。","[]",""
"3","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 登場人物紹介ページ。上段にミサキとひなたの全身イラスト。中段にケンタの全身イラスト。下段にタクヤの全身イラスト。各キャラの隣にナレーションボックスで名前と紹介文を配置。 ナレーション: ［四角枠］ミサキ 32歳 元事務職ワンオペママ / ひなた 2歳 ミサキの娘 / ［四角枠］ケンタ 34歳 ミサキの夫 / ［四角枠］タクヤ 42歳 キャリアコーチ・メンター オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキ 32歳 元事務職ワンオペママ""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなた 2歳 ミサキの娘""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタ 34歳 ミサキの夫""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤ 42歳 キャリアコーチ・メンター""}]","misaki_casual"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第5章扉ページ。ノートパソコンの画面を前に座るミサキの後ろ姿。画面にはチャット画面が光っている。集中線でドラマティックに演出。タイトル〝第5章　はじめてのClaude〟を画面中央に大きく配置。 セリフ: なし ナレーション: なし オノマトペ: カチャ","[]","misaki_work_home"
"5","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがノートパソコンの前に座っている。キーボードを叩いてZoomを起動しようとしている。胸に手を当て、表情は緊張と期待が混じっている。 セリフ: ［ミサキ（内心）］の吹き出しに「本当に使えるのかな……」 ナレーション: ［四角枠］プログラム申し込みから一週間後。ひなたの昼寝時間を狙って、ミサキはZoomを起動した。 オノマトペ: カチャ
2コマ目 (中段): ミサキの胸元のアップ。ドキドキと鼓動が聞こえそうな演出。集中線。 セリフ: なし ナレーション: ［四角枠］胸がドキドキと鳴っている。 オノマトペ: ドキドキドキドキ
3コマ目 (下段): 画面にタクヤが映った。普通の部屋、普通の服。穏やかな笑顔でミサキに話しかける。 セリフ: ［タクヤ］の吹き出しに「佐藤さん、こんにちは。今日はよろしくお願いします」 ナレーション: ［四角枠］ブログで見た顔そのままだ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""本当に使えるのかな……""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""プログラム申し込みから一週間後。ひなたの昼寝時間を狙って、ミサキはZoomを起動した。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""胸がドキドキと鳴っている。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""佐藤さん、こんにちは。今日はよろしくお願いします""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ブログで見た顔そのままだ。""}]","misaki_work_home"
"6","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキが緊張しながら答える。顔が赤く、声が裏返っている演出で吹き出しがギザギザになっている。 セリフ: ［ミサキ］の吹き出しに「よ、よろしくお願いします……っ」 ナレーション: なし オノマトペ: なし
2コマ目 (下右): ミサキが恥ずかしそうに俯く。 セリフ: ［ミサキ（内心）］の吹き出しに「声が裏返った。恥ずかしい」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): タクヤが優しく微笑んで本題に入る。 セリフ: ［タクヤ］の吹き出しに「まず聞かせてください。本当の申し込み動機を教えてもらえますか？」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""よ、よろしくお願いします……っ""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""声が裏返った。恥ずかしい""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""まず聞かせてください。本当の申し込み動機を教えてもらえますか？""}]","misaki_work_home"
"7","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが少し俯き加減に正直に話す。 セリフ: ［ミサキ］の吹き出しに「……事務しかやったことなくて、何もスキルがなくて。でも家計が苦しくて。在宅で稼ぐ方法を探してたんです」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): タクヤが軽く頷き、さらりと返す。 セリフ: ［タクヤ］の吹き出しに「事務の経験があるんですね。それ、かなりの強みですよ」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが目を大きく見開く。胸に衝撃が走るような集中線演出。 セリフ: ［ミサキ］の吹き出しに「え……強み、ですか？」 ナレーション: なし オノマトペ: ドキッ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……事務しかやったことなくて、何もスキルがなくて。でも家計が苦しくて。在宅で稼ぐ方法を探してたんです""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""事務の経験があるんですね。それ、かなりの強みですよ""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""え……強み、ですか？""}]","misaki_work_home"
"8","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): タクヤがニコッと笑って画面越しに話す。ノートパソコンの画面ごしにタクヤの顔が映っている構図。 セリフ: ［タクヤ］の吹き出しに「あとで詳しく話しましょう。まずはClaudeというAIツールを触ってみましょうか」 ナレーション: なし オノマトペ: なし
2コマ目 (下・小): ミサキが困惑した顔で手を振る。 セリフ: ［ミサキ］の吹き出しに「えっと……プログラミング、全然できないんですけど……」 ナレーション: ［四角枠］壁①：プログラミングの壁 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""あとで詳しく話しましょう。まずはClaudeというAIツールを触ってみましょうか""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""えっと……プログラミング、全然できないんですけど……""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""壁①：プログラミングの壁""}]","misaki_work_home"
"9","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): タクヤが落ち着いた笑顔で答える。 セリフ: ［タクヤ］の吹き出しに「大丈夫です。Claudeは日本語で話しかけるだけで使えますよ。LINEで友達にメッセージするのと同じ感覚です」 ナレーション: なし オノマトペ: なし
2コマ目 (下右): ミサキが前のめりになって目を輝かせる。効果線が背景に広がる。 セリフ: ［ミサキ］の吹き出しに「……日本語で？　本当ですか？」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): タクヤが画面共有を始める。シンプルなチャット画面が映っている。 セリフ: ［タクヤ］の吹き出しに「はい。まず開いてみてください」 ナレーション: ［四角枠］シンプルなチャット画面。テキスト入力欄。それだけ。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""大丈夫です。Claudeは日本語で話しかけるだけで使えますよ。LINEで友達にメッセージするのと同じ感覚です""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……日本語で？　本当ですか？""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""はい。まず開いてみてください""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""シンプルなチャット画面。テキスト入力欄。それだけ。""}]","misaki_work_home"
"10","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが恐る恐る聞く。顔に「？」マーク演出。 セリフ: ［ミサキ］の吹き出しに「あの……難しい設定とかインストールとか必要なんじゃ……」 ナレーション: ［四角枠］壁②：難しい設定の壁 オノマトペ: なし
2コマ目 (中段): タクヤが軽やかに答える。 セリフ: ［タクヤ］の吹き出しに「Claudeはブラウザで使えます。もう今、開いているこの画面で使えてますよ」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキの肩から力が抜けていく。ほっとした顔。背景は緊張が解けるグラデーション演出。 セリフ: ［ミサキ］の吹き出しに「これだけ……？」 ナレーション: ［四角枠］数秒、画面を眺めた。肩から力が抜けていくのがわかった。 オノマトペ: はぁー","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""あの……難しい設定とかインストールとか必要なんじゃ……""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""壁②：難しい設定の壁""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""Claudeはブラウザで使えます。もう今、開いているこの画面で使えてますよ""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""これだけ……？""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""数秒、画面を眺めた。肩から力が抜けていくのがわかった。""}]","misaki_work_home"
