new_page,source_page,kind,part,total
1,1,text,0,0
2,2,title,1,2
3,2,body,2,2
4,3,body,1,3
5,3,body,2,3
6,3,body,3,3
7,4,body,1,2
8,4,body,2,2
9,5,body,1,2
10,5,body,2,2
11,6,body,1,4
12,6,body,2,4
13,6,body,3,4
14,6,body,4,4
15,7,body,1,3
16,7,body,2,3
17,7,body,3,3
18,8,body,1,4
19,8,body,2,4
20,8,body,3,4
21,8,body,4,4
22,9,title,1,2
23,9,body,2,2
24,10,body,1,2
25,10,body,2,2
26,11,body,1,2
27,11,body,2,2
28,12,body,1,2
29,12,body,2,2
30,13,body,1,7
31,13,body,2,7
32,13,body,3,7
33,13,body,4,7
34,13,body,5,7
35,13,body,6,7
36,13,body,7,7
37,14,body,1,2
38,14,body,2,2
39,15,body,1,5
40,15,body,2,5
41,15,body,3,5
42,15,body,4,5
43,15,body,5,5
44,16,body,1,3
45,16,body,2,3
46,16,body,3,3
47,17,body,1,6
48,17,body,2,6
49,17,body,3,6
50,17,body,4,6
51,17,body,5,6
52,17,body,6,6
53,18,title,1,2
54,18,body,2,2
55,19,body,1,2
56,19,body,2,2
57,20,body,1,2
58,20,body,2,2
59,21,body,1,1
60,22,body,1,2
61,22,body,2,2
62,23,body,1,1
63,24,body,1,1
64,25,body,1,1
65,26,body,1,1
66,27,body,1,2
67,27,body,2,2
68,28,body,1,2
69,28,body,2,2
70,29,body,1,4
71,29,body,2,4
72,29,body,3,4
73,29,body,4,4
74,30,body,1,3
75,30,body,2,3
76,30,body,3,3
77,31,body,1,2
78,31,body,2,2
79,32,body,1,5
80,32,body,2,5
81,32,body,3,5
82,32,body,4,5
83,32,body,5,5
84,33,body,1,2
85,33,body,2,2
86,34,body,1,4
87,34,body,2,4
88,34,body,3,4
89,34,body,4,4
90,35,title,1,2
91,35,body,2,2
92,36,body,1,2
93,36,body,2,2
94,37,body,1,2
95,37,body,2,2
96,38,body,1,10
97,38,body,2,10
98,38,body,3,10
99,38,body,4,10
100,38,body,5,10
101,38,body,6,10
102,38,body,7,10
103,38,body,8,10
104,38,body,9,10
105,38,body,10,10
106,39,body,1,7
107,39,body,2,7
