ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
1,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): タイトルページ。暗い部屋の中、ミサキが保育園の不承諾通知の紙を両手で持ち、呆然と立ち尽くしている。背景は薄暗いリビング、窓からわずかに光が差し込む。表情は【ショック】【絶望】。◆【絶対最優先】画面上部に大きく装飾文字で「第1話」、その下に「退職、そして何もない日々」のタイトル文字を必ず描画してください。タイトルは画像内で最も目立つ要素にしてください。 セリフ: なし オノマトペ: ガーン"
2,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがスマホを耳に当てて会社に電話している。背景はリビング、窓から光。表情は【不安】【緊張】。 セリフ: ［ミサキ］の吹き出しに「育休延長できますか…？」 オノマトペ: なし
2コマ目 (中段): 電話口から冷たい返答を受けるミサキ。スマホを耳から離し、【落胆】の表情。背景はフラッシュ演出で暗転。 セリフ: ［電話の声］の吹き出しに「難しいですね」 オノマトペ: ガーン
3コマ目 (下段): テーブルに向かい退職届を書くミサキ。手元のアップとミサキの横顔。背景はグラデーション（暗い青）。表情は【悔しさ】【諦め】。 セリフ: ［ミサキ］の吹き出しに「仕方ない…か」 オノマトペ: なし"
3,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ6: 上1コマ+下左右2コマ（読み順: 上→下右→下左）の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが赤ちゃん（ユウくん）に哺乳瓶でミルクをあげている。赤ちゃんはベビー服を着ている。柔らかい光の中、優しい表情だが目の下にクマ。背景は水玉模様。 セリフ: なし オノマトペ: ごくごく
2コマ目 (下右): ミサキがおむつを替えている。汗をかきながら手際よく作業。背景はドット柄。表情は【疲労】。 セリフ: ［ミサキ］の吹き出しに「はいはい、きれいにしようね」 オノマトペ: バタバタ
3コマ目 (下左): 暗い部屋でミサキが赤ちゃんを抱っこして寝かしつけ。ゆらゆら揺れている。背景はグラデーション（紺色）。表情は【疲れ切った】。 セリフ: ［ミサキ］の吹き出しに「お願い…寝て…」 オノマトペ: ゆらゆら"
4,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ2: 上下均等2分割の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 散らかったリビングの俯瞰。おもちゃ、哺乳瓶、洗濯物が散乱。テーブルの上に食べかけの食事。背景は実際のリビング描写。 セリフ: なし オノマトペ: なし
2コマ目 (下段): ソファにぐったりと沈み込むミサキ。片手を額に当て、目を閉じている。背景はストライプ（暗いトーン）。表情は【疲労困憊】【虚無】。 セリフ: ［ミサキ］の吹き出しに「…疲れた」 オノマトペ: ぐったり"
5,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画、ケンタは添付のケンタ_20260329_224440.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。ケンタはグレーTシャツにネイビースウェットパンツ
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜、玄関のドアが開きケンタが帰宅。疲れた表情でネクタイを緩めている。背景は玄関。 セリフ: ［ケンタ］の吹き出しに「ただいま…」 オノマトペ: ガチャ
2コマ目 (中段): リビングでミサキとケンタが向かい合う。ミサキはソファ、ケンタは立ったまま。二人の間に微妙な距離感。背景はリビング、暗いトーン。表情は二人とも【疲労】【すれ違い】。 セリフ: ［ケンタ］の吹き出しに「ごはんある？」 オノマトペ: なし
3コマ目 (下段): ミサキが膝を抱えてソファに座り、窓の外の暗い夜空を見つめている。背景はグラデーション（暗い紫）。表情は【不安】【自問】。 セリフ: ［ミサキ］の吹き出しに「私このままでいいのかな…」 オノマトペ: じーっ"
6,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上小・下大の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・小): ミサキがスマホで銀行アプリを開いている手元のアップ。画面に残高が表示されている。背景はドット柄。表情は【不安】。 セリフ: ［ミサキ］の吹き出しに「えっ…もうこんなに減って…」 オノマトペ: ビクッ
2コマ目 (下段・大): スマホ画面のアップ。右肩下がりの折れ線グラフが大きく表示される。赤い矢印が下降を強調。背景はフラッシュ演出（暗い赤）。グラフの周りに不安を煽る集中線。 セリフ: なし オノマトペ: ガーン"
7,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ7: 上左右2コマ+下1コマ（読み順: 上右→上左→下）の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上右): ミサキがスマホで実家に電話している。思い出の家族写真が背景にぼんやり浮かぶ。背景は半円模様。表情は【迷い】。 セリフ: ［母の声］の吹き出しに「お金のことなら…」 オノマトペ: なし
2コマ目 (上左): ミサキが笑顔を作って電話を続ける。しかし目は笑っていない。背景はストライプ（明るいが空虚なトーン）。表情は【無理した笑顔】。 セリフ: ［ミサキ］の吹き出しに「大丈夫だよ、心配しないで」 オノマトペ: なし
3コマ目 (下段): 電話を切った後、暗いリビングで一人座り込むミサキ。スマホを握りしめたまま俯いている。背景はグラデーション（暗い青紫）。表情は【孤独】【寂しさ】。 セリフ: ［ミサキ］の吹き出しに「…誰にも頼れない」 オノマトペ: しーん"
8,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ（深夜のため部屋着感）
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 深夜2時。暗い寝室でミサキがベビー服を着た赤ちゃんを抱っこしてあやしている。壁掛け時計が「2:00」を示す。背景は暗い部屋、月明かりがわずかに差し込む。表情は【眠い】【疲労】。 セリフ: なし オノマトペ: ゆらゆら
2コマ目 (中段): 赤ちゃんが寝付いた後、暗い部屋でスマホを触るミサキ。スマホの光だけが顔を照らしている。背景は暗い部屋。表情は【無心】【ぼんやり】。 セリフ: なし オノマトペ: なし
3コマ目 (下段): スマホ画面にSNSの友達の投稿が映る。おしゃれなカフェ、旅行写真、仕事の充実ぶり。ミサキの顔に影が差す。背景はフラッシュ演出（暗転）。表情は【羨望】【自己嫌悪】。 セリフ: ［ミサキ］の吹き出しに「みんな楽しそう…」 オノマトペ: じーっ"
9,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ
◆【コマ構成】テンプレ4: 上大・下小の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・大): ミサキがキッチンでスマホを片手に離乳食を作っている。スマホ画面にはChatGPTの画面が表示され「にんじんの離乳食レシピ」の回答が見える。背景はキッチン、明るいトーン。表情は【少し感心】。 セリフ: ［ミサキ］の吹き出しに「へぇ、AIって便利…」 オノマトペ: なし
2コマ目 (下段・小): ミサキが離乳食を作り終え、ふとスマホを見つめる。少し寂しげな表情。背景はグラデーション（薄い灰色）。表情は【物足りなさ】。 セリフ: ［ミサキ］の吹き出しに「便利だけど…それだけか」 オノマトペ: むすっ"
10,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 暗い寝室、ベッドに横たわるミサキが天井を見つめている。目は開いているが虚ろ。隣で赤ちゃんが眠っている。天井には何もなく、ただ暗い空間が広がる。背景はグラデーション（暗い灰色から黒）。表情は【虚無】【自問】。月明かりがわずかにミサキの顔を照らす。 セリフ: ［ミサキ］の吹き出しに「事務しかやったことない私に何ができるんだろう…」 オノマトペ: しーん"
