募集年度,募集番号,馬名,区分,総申込,母優かつ最優先,母優一般,最優先のみ
2024,09,ラドラーダの23,対象,373,18,25,191
2024,11,コントラチェックの23,対象,311,52,15,51
2024,12,フェルミオンの23,対象,250,3,37,19
2024,15,シーリアの23,対象,433,35,34,139
2024,18,ルージュバックの23,対象,379,71,38,110
2024,21,ディーパワンサの23,対象,263,17,46,49
2024,27,セレナズヴォイスの23,対象,317,8,55,55
2024,33,ヴィータアレグリアの23,対象,208,12,43,12
2024,35,リラヴァティの23,対象,318,11,23,59
2024,36,エリスライトの23,対象,285,12,37,39
2024,44,プラチナブロンドの23,対象,336,17,58,59
2024,49,アップライトスピンの23,対象,312,14,67,50
2024,52,フィルムフェストの23,対象,261,44,40,47
2024,56,シンハライトの23,対象,550,89,11,169
2024,57,リスグラシューの23,対象,316,19,15,127
2024,60,クルミネイトの23,対象,207,16,28,37
2024,61,ココファンタジアの23,対象,319,12,48,62
2024,62,ミリッサの23,対象,342,46,52,87
2024,63,リカビトスの23,対象,357,64,44,59
2024,64,ベルディーヴァの23,対象,235,3,43,22
2024,72,ブルーメンクローネの23,対象,233,7,51,22
2024,74,パッシングスルーの23,対象,786,173,26,294
2024,75,クルークハイトの23,対象,801,93,29,346
2024,79,グリューヴァインの23,対象,279,5,54,30
2024,81,コルコバードの23,対象,406,69,39,83
2024,83,アドヴェントスの23,対象,201,0,36,14
2024,85,プルメリアスターの23,対象,324,24,49,52
2024,01,プライストトゥパーフェクションの23,非対象,316,0,0,132
2024,06,ウラヌスチャームの23,非対象,291,0,0,80
2024,14,ビッグワールドの23,非対象,294,0,0,80
2024,22,ランズエッジの23,非対象,311,0,0,79
2024,25,シャンブルドットの23,非対象,297,0,0,45
2024,34,アトミカオロの23,非対象,292,0,0,67
2024,37,ブリガアルタの23,非対象,249,0,0,36
2024,39,メリートの23,非対象,206,0,0,49
2024,50,オリエンタルステップの23,非対象,461,0,0,173
2024,51,トゥープレシャスの23,非対象,276,0,0,49
2024,54,レッチェバロックの23,非対象,241,0,0,61
2024,58,サークリングⅡの23,非対象,475,0,0,145
2024,73,トゥリフォーの23,非対象,274,0,0,25
2024,80,ティールグリーンの23,非対象,427,0,0,140
2024,82,スウィートショットの23,非対象,391,0,0,104
2024,84,リリカルホワイトの23,非対象,236,0,0,49
2024,90,レディオブパーシャの23,非対象,306,0,0,64
2024,92,エトワールⅢの23,非対象,315,0,0,86
2025,04,リカビトスの24,対象,228,52,25,59
2025,07,フィリアプーラの24,対象,299,132,8,81
2025,13,リュラの24,対象,220,28,16,35
2025,14,エスティタートの24,対象,250,17,44,24
2025,17,クルミナルの24,対象,222,28,23,49
2025,19,エリスライトの24,対象,433,69,32,153
2025,27,ローズノーブルの24,対象,483,85,16,243
2025,29,ヴァルキュリアの24,対象,231,41,87,16
2025,31,パドゥヴァルスの24,対象,259,25,49,47
2025,32,シーズンズギフトの24,対象,280,27,55,35
2025,36,クルークハイトの24,対象,308,26,45,57
2025,38,ネオフレグランスの24,対象,253,30,38,42
2025,41,マイティースルーの24,対象,459,51,26,168
2025,42,エルカスティージョの24,対象,215,28,47,35
2025,44,ブロンディーヴァの24,対象,261,13,20,45
2025,48,マルシュロレーヌの24,対象,360,129,3,152
2025,53,プルメリアスターの24,対象,409,111,9,180
2025,55,シンハライトの24,対象,320,71,15,102
2025,56,リスグラシューの24,対象,341,63,13,151
2025,59,メサルティムの24,対象,231,35,41,37
2025,62,レシステンシアの24,対象,243,59,12,65
2025,63,シャルールの24,対象,211,48,50,16
2025,68,ピースエンブレムの24,対象,299,10,21,49
2025,69,デスティノアーラの24,対象,343,13,57,81
2025,70,シーリアの24,対象,313,60,28,62
2025,72,クラシックリディアの24,対象,334,26,40,58
2025,74,ユールフェストの24,対象,232,10,28,20
2025,75,ココファンタジアの24,対象,271,15,34,47
2025,78,クロワドフェールの24,対象,229,18,34,24
2025,81,アルドゥエンナの24,対象,285,16,44,58
2025,91,ヴィータアレグリアの24,対象,67,17,12,1
2025,08,ドナウデルタの24,非対象,366,0,0,172
2025,21,ボージェストの24,非対象,427,0,0,195
2025,40,ファシネートゼットの24,非対象,206,0,0,25
2025,50,サンダードラム24,非対象,418,0,0,238
2025,54,イカットの24,非対象,258,0,0,87
2025,60,コハクトウの24,非対象,501,0,0,317
2025,73,サーティーンスクエアドの24,非対象,267,0,0,71
2025,82,バーニングヒートの24,非対象,333,0,0,101
2025,83,アディクティドの24,非対象,408,0,0,192
2025,86,ジョイネヴァーランドの24,非対象,235,0,0,85
2025,87,ミスエクストラの24,非対象,238,0,0,52
2025,88,ウナアラバレーラの24,非対象,357,0,0,111
