ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
1,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチがミユくん、鎌倉幕府を滅ぼした男の名前を知っているかい？...と話している。オノマトペ「キョトン」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「ミユくん、鎌倉幕府を滅ぼした男の名前を知っているかい？」 [通常の吹き出し]
1|ヨウイチ|N|ミユくん、鎌倉幕府を滅ぼした男の名前を知っているかい？"
2,テンプレ2,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一, ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側はキャラクターのアップ、左側は背景や状況描写。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (右): ミユが足利尊氏ですか？...と話している。オノマトペ「キョトン」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ミユ「足利尊氏ですか？」 [通常の吹き出し]
2コマ目 (左): ヨウイチが違う。...と話している。オノマトペ「パッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「違う。」 [通常の吹き出し]
1|ミユ|N|足利尊氏ですか？
2|ヨウイチ|N|違う。"
3,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチが新田義貞という男だ。...と話している。オノマトペ「スッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「新田義貞という男だ。」 [通常の吹き出し]
1|ヨウイチ|N|新田義貞という男だ。"
4,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチが150騎で挙兵し、2週間で鎌倉幕府を滅ぼした英雄だ。...と話している。オノマトペ「フッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「150騎で挙兵し、2週間で鎌倉幕府を滅ぼした英雄だ。」 [通常の吹き出し]
1|ヨウイチ|N|150騎で挙兵し、2週間で鎌倉幕府を滅ぼした英雄だ。"
5,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ミユがすごい人じゃないですか！...と話している。オノマトペ「バーン」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ミユ「すごい人じゃないですか！」 [強調の吹き出し]
1|ミユ|H|すごい人じゃないですか！"
6,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチがところが、その名は歴史の影に埋もれた。...と話している。オノマトペ「ジーッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ヨウイチ「ところが、その名は歴史の影に埋もれた。」 [通常の吹き出し]
1|ヨウイチ|N|ところが、その名は歴史の影に埋もれた。"
7,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、落ち着いた色調、整った線画、フルカラー。背景は大学の研究室、本棚に歴史書が並ぶ落ち着いた雰囲気
◆【ストーリー】
1コマ目 (全体): ヨウイチが今日は栄光を手にしながらすべてを失った男の物語だ。...と話している。オノマトペ「スッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「今日は栄光を手にしながらすべてを失った男の物語だ。」 [通常の吹き出し]
1|ヨウイチ|N|今日は栄光を手にしながらすべてを失った男の物語だ。"
8,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の武家屋敷、質素な板葺きの館、上野国新田荘の田園風景、秋の曇り空、哀愁漂う雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが義貞は源氏の名門、新田氏の当主だった。...と話している。オノマトペ「ジーッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「義貞は源氏の名門、新田氏の当主だった。」 [通常の吹き出し]
1|ヨウイチ|N|義貞は源氏の名門、新田氏の当主だった。"
9,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の武家屋敷、質素な板葺きの館、上野国新田荘の田園風景、秋の曇り空、哀愁漂う雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが足利氏とは同じ源氏の血筋で、新田が兄筋にあたる。...と話している。オノマトペ「ジーッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「足利氏とは同じ源氏の血筋で、新田が兄筋にあたる。」 [通常の吹き出し]
1|ヨウイチ|N|足利氏とは同じ源氏の血筋で、新田が兄筋にあたる。"
10,テンプレ4,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一, ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ4: 右側はキャラクターの表情、左側は状況や背景。
◆【作画】歴史漫画向け、鎌倉時代の武家屋敷、質素な板葺きの館、上野国新田荘の田園風景、秋の曇り空、哀愁漂う雰囲気、フルカラー
◆【ストーリー】
1コマ目 (右): ミユが新田の方が格上だったんですか？...と話している。オノマトペ「キョトン」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ミユ「新田の方が格上だったんですか？」 [通常の吹き出し]
2コマ目 (左): ヨウイチが血筋ではそうだ。...と話している。オノマトペ「パッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ヨウイチ「血筋ではそうだ。」 [通常の吹き出し]
1|ミユ|N|新田の方が格上だったんですか？
2|ヨウイチ|N|血筋ではそうだ。"
