No,院名,都道府県,市区町村,チャネル,問い合わせ手段,送信予定日(提案),送信日,ステータス,返信内容メモ,商談化メモ,次アクション,特記事項
1,ほがらか整体院,栃木県,宇都宮市,メール,hogaraka@star7.jp,2026-07-08,,未送信,,,オーナー承認待ち,公式公開アドレスへの直送。特定電子メール法の配慮対象として最優先で確認。
2,かりん整骨院,栃木県,宇都宮市,フォーム,https://karin-sp.com/contact/,2026-07-09,,未送信,,,オーナー承認待ち,
3,宇都宮さつき整骨院,栃木県,宇都宮市,LINE,https://lin.ee/1TexCYB,2026-07-10,,未送信,,,オーナー承認待ち,
4,宇都宮平成通り整骨院,栃木県,宇都宮市,Instagram DM,https://www.instagram.com/heiseidori_seikotsuin/,2026-07-13,,未送信,,,オーナー承認待ち,
5,今泉はりきゅう整骨院,栃木県,宇都宮市,フォーム,https://imaizumi-harikyu-seikotsuin.com/mail-form/,2026-07-14,,未送信,,,オーナー承認待ち,
6,クローバー整骨院,栃木県,宇都宮市,LINE,https://lin.ee/Jtyo6iT,2026-07-15,,未送信,,,オーナー承認待ち,
7,にいやま整体院（NIIYAMA CHIROPRACTIC）,栃木県,宇都宮市,フォーム,https://niiyama-chiropractic.com/contact/entry.php,2026-07-16,,未送信,,,オーナー承認待ち,
8,おおしま接骨院,群馬県,高崎市,LINE,https://lin.ee/9nRwURYz,2026-07-08,,未送信,,,オーナー承認待ち,
9,ほりぐち鍼灸接骨院,群馬県,高崎市,Instagram DM,https://www.instagram.com/horiguchi_sinkyu_sekkotsuin/,2026-07-09,,未送信,,,オーナー承認待ち,
10,上大類整体院,群馬県,高崎市,フォーム,https://kamiooruiseitai.com/contact/,2026-07-10,,未送信,,,オーナー承認待ち,
11,STS整体院,群馬県,高崎市,LINE,サイト内バナー経由（lin.ee等の直接リンクなし）,2026-07-13,,未送信,,,オーナー承認待ち,WebFetch再確認済み: 直接リンク取得不可。サイト内バナーから友だち追加する手順を送信手順書に明記。
12,さとう整体,群馬県,高崎市,Instagram DM,https://www.instagram.com/satoseitai.takasaki/,2026-07-14,,未送信,,,オーナー承認待ち,
13,すこやか整骨院,群馬県,高崎市,LINE,サイト内バナー経由（LINE ID @664syxpu のみ確認、直接リンクなし）,2026-07-15,,未送信,,,オーナー承認待ち,WebFetch再確認済み: 直接リンク取得不可。LINE公式アカウント検索機能でのID検索も代替手段として送信手順書に明記。
14,まごろく鍼灸整骨院・整体院,静岡県,浜松市,LINE,https://line.me/R/ti/p/%40rvk5960n,2026-07-08,,未送信,,,オーナー承認待ち,
15,一笑整骨院,静岡県,浜松市,フォーム,https://issyou.info/contact/,2026-07-09,,未送信,,,オーナー承認待ち,
16,さかた鍼灸整骨院,静岡県,浜松市,フォーム,https://sakata-shinkyu-seikotsu.com/contact,2026-07-10,,未送信,,,オーナー承認待ち,
17,えきなん接骨院,静岡県,浜松市,フォーム,https://ekinan-sekkotsuin.com/contact/,2026-07-13,,未送信,,,オーナー承認待ち,
18,四ツ池Reborn整骨院・整体院,静岡県,浜松市,フォーム,https://yotsuike-reborn.com/info/#inq_area,2026-07-14,,未送信,,,オーナー承認待ち,
19,天城整骨院,岡山県,倉敷市,LINE,https://lin.ee/RkU9b6v,2026-07-08,,未送信,,,オーナー承認待ち,
20,じん整骨院・整体院,岡山県,倉敷市,フォーム,https://jin-seikotsuin.com/contact,2026-07-09,,未送信,,,オーナー承認待ち,
21,17(いちなな)整骨院,岡山県,倉敷市,フォーム,https://kurashiki.fukuyama-seikotsu.com/contact,2026-07-10,,未送信,,,オーナー承認待ち,WebFetch/WebSearchで再確認: fukuyama-seikotsu.comと共通ドメイン体系だが運営会社名・店舗一覧は未確認。3店舗超チェーンと断定する根拠なし。除外せずリストに残置。
22,いわもと整骨院,岡山県,倉敷市,フォーム,https://iwamotoseikotsuin.wixsite.com/fukuda-kosinden/blank-3,2026-07-13,,未送信,,,オーナー承認待ち,
23,からだにっこりカイロ,岡山県,倉敷市,フォーム,https://www.itami-kaishou.com/contact/,2026-07-14,,未送信,,,オーナー承認待ち,
24,ぜんた整骨院,岡山県,倉敷市,Instagram DM,https://www.instagram.com/zentaseikotsuin/,2026-07-15,,未送信,,,オーナー承認待ち,
25,村上整体療院,愛媛県,松山市,フォーム,https://mmsstt.com/contact/,2026-07-08,,未送信,,,オーナー承認待ち,
26,松山鍼灸整骨院,愛媛県,松山市,LINE,https://page.line.me/azb0732t,2026-07-09,,未送信,,,オーナー承認待ち,
27,nico整骨院・整体院,愛媛県,松山市,LINE,https://lin.ee/IzYJx5e,2026-07-10,,未送信,,,オーナー承認待ち,
28,はぐくま整骨院・鍼灸院,愛媛県,松山市,フォーム,https://seikotsu-matsuyama.com/contact,2026-07-13,,未送信,,,オーナー承認待ち,
29,OnlyOne整骨院,愛媛県,松山市,LINE,https://line.me/R/ti/p/%40qwm4071e,2026-07-14,,未送信,,,オーナー承認待ち,
30,愛媛骨盤神経整体院・整骨院,愛媛県,松山市,フォーム,https://kotsuban-shinkeiseitai.com/contact/,2026-07-15,,未送信,,,オーナー承認待ち,
