ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】表紙
◆【本文】
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
（既存表紙を踏襲。変更なし）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
プロローグ「Claude＋Geminiの二刀流からChatGPT一本へ」
ページ構成: P002（扉）+ P003〜P007（本編5P）+ P008（まとめ）= 7P
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━",[],
2,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ4: 2コマ。上段大、下段小。読み順は上段から下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P002の分割 1/1。四角いナレーション枠に「二刀流が合理だった世界が、一本化できる世界に変わった日のこと。あなたにとっての最後のピースは、違うかもしれない。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""二刀流が合理だった世界が、一本化できる世界に変わった日のこと。あなたにとっての最後のピースは、違うかもしれない。""}]",mina_work
3,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P003の分割 1/3。高橋ミナの吹き出しに「ClaudeCodeで仕事してた頃は……テキストとコードはClaude、画像が必要なときだけGeminiのNanobananaを開く。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P003の分割 1/3。高橋ミナの吹き出しに「これが私の毎日でした。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""ClaudeCodeで仕事してた頃は……テキストとコードはClaude、画像が必要なときだけGeminiのNanobananaを開く。""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""これが私の毎日でした。""}]",mina_work
4,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P003の分割 2/3。四角いナレーション枠に「テキスト・コード・思考整理はClaude。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P003の分割 2/3。四角いナレーション枠に「ClaudeCodeで開発も進める。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""テキスト・コード・思考整理はClaude。""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""ClaudeCodeで開発も進める。""}]",mina_work
5,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P003の分割 3/3。四角いナレーション枠に「画像はGemini Nanobanana。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P003の分割 3/3。四角いナレーション枠に「2つのAIを組み合わせるのが、1か月前の現実解だった。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""画像はGemini Nanobanana。""},{""panel_id"":2,""type"":""narration"",""speaker"":null,""text"":""2つのAIを組み合わせるのが、1か月前の現実解だった。""}]",mina_work
6,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ6: 3コマ。上段1コマ、下段左右2コマ。読み順は上段、下段右側、下段左側。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P004の分割 1/2。高橋ミナの吹き出しに「あれ……画像まで、ChatGPTで出てきた。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P004の分割 1/2。真田ユイの吹き出しに「え！Gemini開かなくてよくなりましたか？」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""あれ……画像まで、ChatGPTで出てきた。""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""真田ユイ"",""text"":""え！Gemini開かなくてよくなりましたか？""}]",mina_work
7,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ6: 3コマ。上段1コマ、下段左右2コマ。読み順は上段、下段右側、下段左側。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P004の分割 2/2。四角いナレーション枠に「二刀流を続けてきたが——最近、ChatGPTだけで足りる気がしていた。その感覚の正体を確かめる必要があった。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""二刀流を続けてきたが——最近、ChatGPTだけで足りる気がしていた。その感覚の正体を確かめる必要があった。""}]",mina_work
8,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ren_mentor / 佐伯レン: 濃紺のジャケット、グレーのシャツ、黒いスラックス、シンプルな革靴
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P005の分割 1/2。佐伯レンの吹き出しに「GPT-5.5で変わったのは、画像生成も含めてChatGPT内で完結できるようになったことだ。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P005の分割 1/2。高橋ミナの吹き出しに「画像……そこが最後のピースだったんですね。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""佐伯レン"",""text"":""GPT-5.5で変わったのは、画像生成も含めてChatGPT内で完結できるようになったことだ。""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""画像……そこが最後のピースだったんですね。""}]",ren_mentor
9,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ren_mentor / 佐伯レン: 濃紺のジャケット、グレーのシャツ、黒いスラックス、シンプルな革靴
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P005の分割 2/2。四角いナレーション枠に「テキストも、コードも、思考整理も、そして画像も——すべてがChatGPT一つで動くようになった。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""テキストも、コードも、思考整理も、そして画像も——すべてがChatGPT一つで動くようになった。""}]",ren_mentor
10,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: mina_work / 高橋ミナ: ベージュのジャケット、白いブラウス、ネイビーのテーパードパンツ、黒いパンプス
◆【コマ構成】テンプレ7: 3コマ。上段左右2コマ、下段1コマ。読み順は上段右側、上段左側、下段。
◆【作画】現代ビジネス成長マンガ。ただし演出は一段大げさな日本の商業マンガ調。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か。驚き顔・汗・目のハイライト・集中線・スピード線・衝撃背景・大きな効果音文字を積極的に使い、ビジネス書として読みやすい範囲でリアクションを誇張する。白と青と緑を基調にした清潔な画面。ステップ図解は禁止。実写風・フォトリアル風は禁止。
◆【漫画的誇張強化】元のセリフ・ナレーションの意味を変えず、文字が小さくならないようこの分割ページ内の文字だけを大きく配置する。
◆【ストーリー】
1コマ目: 元P006の分割 1/4。高橋ミナの吹き出しに「1か月前……ClaudeはテキストとコードがClaudeらしく仕上がるし、画像はNanobananaで補ってた。」。文字は大きく読みやすく、意味を変えない。
2コマ目: 元P006の分割 1/4。佐伯レンの吹き出しに「そうだ。」。文字は大きく読みやすく、意味を変えない。
◆【重要】このページは元ページを分割した1枚。元のセリフ内容を短く言い換えない。指定した文をそのまま大きく入れる。","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""高橋ミナ"",""text"":""1か月前……ClaudeはテキストとコードがClaudeらしく仕上がるし、画像はNanobananaで補ってた。""},{""panel_id"":2,""type"":""dialogue"",""speaker"":""佐伯レン"",""text"":""そうだ。""}]",mina_work
