No,都道府県,市区町村,院名,所在地,公式サイトURL,問い合わせ手段,チャネル分類,出典URL,備考
1,栃木県,宇都宮市,ほがらか整体院,栃木県宇都宮市西川田本町3-25-24,https://www.hogaraka.jp/,メール: hogaraka@star7.jp,メール,https://www.hogaraka.jp/,1999年開業、2026年5月に開業27周年を迎えた一人整体院。ドロップベッドを使った骨盤矯正・姿勢矯正が特徴。
2,栃木県,宇都宮市,かりん整骨院,栃木県宇都宮市雀の宮3-1-8,https://karin-sp.com/,フォーム: https://karin-sp.com/contact/,フォーム,https://karin-sp.com/,院長・福田佳正氏。メディアやスポーツ選手からの評判をサイトで紹介している。
3,栃木県,宇都宮市,宇都宮さつき整骨院,栃木県宇都宮市上大曽町398-2,https://www.utsunomiyasatsukis.com/,LINE: https://lin.ee/1TexCYB,LINE,https://www.utsunomiyasatsukis.com/,「症状の原因を究明し根本改善」をコンセプトに掲げる予約優先制の院。
4,栃木県,宇都宮市,宇都宮平成通り整骨院,栃木県宇都宮市石井町3372-16,https://www.uhds.jp/,Instagram: https://www.instagram.com/heiseidori_seikotsuin/,Instagram DM,https://www.uhds.jp/,手技・鍼灸・物理療法を組み合わせた施術を公式サイトで紹介。
5,栃木県,宇都宮市,今泉はりきゅう整骨院,栃木県宇都宮市中今泉1-9-38,https://imaizumi-harikyu-seikotsuin.com/,フォーム: https://imaizumi-harikyu-seikotsuin.com/mail-form/,フォーム,https://imaizumi-harikyu-seikotsuin.com/,院長・渡邉明大氏。「痛くない骨盤矯正×電気施術×鍼灸」の組み合わせメニューを紹介。
6,栃木県,宇都宮市,クローバー整骨院,栃木県宇都宮市下栗町704-43,https://cloverbone.com/,LINE: https://lin.ee/Jtyo6iT,LINE,https://cloverbone.com/,院長・鈴木豪氏。「2時間かけても来たくなる」をキャッチコピーに掲げる。
7,栃木県,宇都宮市,にいやま整体院（NIIYAMA CHIROPRACTIC）,栃木県宇都宮市岩曽町913-1,https://niiyama-chiropractic.com/,フォーム: https://niiyama-chiropractic.com/contact/entry.php,フォーム,https://niiyama-chiropractic.com/,2003年12月開業。首・肩・腰の痛みやしびれ、頭痛・不眠を得意分野として明記。
8,群馬県,高崎市,おおしま接骨院,群馬県高崎市和田多中町398-1,https://ohshima-sekkotsuin.com/,LINE: https://lin.ee/9nRwURYz,LINE,https://ohshima-sekkotsuin.com/,院長・大島健太郎氏。15年以上の臨床経験とトレーナー経験を明記。
9,群馬県,高崎市,ほりぐち鍼灸接骨院,群馬県高崎市新保町1555-3,https://horiguchi-sekkotsuin.com/,Instagram: https://www.instagram.com/horiguchi_sinkyu_sekkotsuin/,Instagram DM,https://horiguchi-sekkotsuin.com/,スポーツ外傷から交通事故対応まで幅広い施術を掲げる。
10,群馬県,高崎市,上大類整体院,群馬県高崎市上大類町1013 東部ハイツB101,https://kamiooruiseitai.com/,フォーム: https://kamiooruiseitai.com/contact/,フォーム,https://kamiooruiseitai.com/,「地域唯一の施術法」を掲げる完全予約制の整体院。
