ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
1,テンプレ1,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で美香がカメラに向かって明るくレポートしている。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 活気ある寿司屋の店内。美香がマイクを持ってカメラ目線で笑顔。オノマトペ「ザワザワ」。背景は明るい寿司屋の店内。 + 美香「本日は、港町でも一番の活気を誇る『寿司処 豪海』に来ています！」 [通常の吹き出し] [カメラ]
1|美香|N|本日は、港町でも一番の活気を誇る『寿司処 豪海』に来ています！"
2,テンプレ1,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一, 大将: 添付の大将.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 美香がカウンターの中の大将を振り返って紹介する。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 美香が体を斜めに向けて大将に話しかける。大将は腕組みして自信満々。オノマトペ「キリッ」。背景は集中線効果。 + 美香「大将、今日のおすすめは？」 [通常の吹き出し] [大将]
1|美香|N|大将、今日のおすすめは？"
3,テンプレ1,"◆【絶対最優先】キャラクター外見: 大将: 添付の大将.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 大将が巨大なマグロをまな板に叩きつける迫力の構図。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 大将が巨大なマグロのブロックをドンと置く。水しぶきが飛ぶ。オノマトペ「ドンッ！！」。背景は衝撃のエフェクト。 + 大将「ガハハハ！もちろんこれよ！」 [トゲトゲの吹き出し] [美香]
1|大将|S|ガハハハ！もちろんこれよ！"
4,テンプレ2,"◆【絶対最優先】キャラクター外見: 大将: 添付の大将.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側は大将の顔のアップ、左側は輝くマグロのブロック。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (右): 大将が豪快に笑っている。オノマトペ「ニカッ」。背景は太陽のような集中線。 + 大将「朝獲れの極上本マグロだぁ！！」 [トゲトゲの吹き出し] [美香]
2コマ目 (左): 新鮮で巨大な本マグロのブロック。オノマトペ「ピカーッ」。背景はキラキラ効果。
1|大将|H|朝獲れの極上本マグロだぁ！！"
5,テンプレ1,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 美香がマグロの大きさと大将の勢いに驚いている。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 美香が少しのけぞって驚いている。オノマトペ「ビクッ」。背景は縦線のショック効果。 + 美香「ひ、ひえぇ！すごい迫力です！」 [震える吹き出し] [大将]
1|美香|S|ひ、ひえぇ！すごい迫力です！"
6,テンプレ2,"◆【絶対最優先】キャラクター外見: 大将: 添付の大将.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側は大将の真剣な表情、左側は高速で寿司を握る残像。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (右): 大将が職人の目で集中している。オノマトペ「ゴゴゴ」。背景は炎のような情熱的効果。 + 大将「うちは鮮度が命！握りもスピード勝負よッ！」 [強調の吹き出し] [手元]
2コマ目 (左): 手元が残像になるほどの素早い握り。オノマトペ「シュバババッ！」。背景はスピード線。
1|大将|S|うちは鮮度が命！握りもスピード勝負よッ！"
7,テンプレ1,"◆【絶対最優先】キャラクター外見: 大将: 添付の大将.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 完成した寿司をドーンと差し出す大将。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 大トロがシャリからはみ出した巨大な握りを差し出す。オノマトペ「バーン！」。背景はゴールドの集中線。 + 大将「ヘイお待ちッ！！赤字覚悟の『こぼれ大トロ』だ！！」 [トゲトゲの吹き出し] [美香]
1|大将|H|ヘイお待ちッ！！赤字覚悟の『こぼれ大トロ』だ！！"
8,テンプレ1,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 目の前の寿司に目を輝かせる美香。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 美香が両手を口元に当てて感動している。オノマトペ「キラキラ」。背景はファンタジーな輝き。 + 美香「わぁ……！宝石箱みたい……！」 [雲形の吹き出し] [寿司]
1|美香|H|わぁ……！宝石箱みたい……！"
9,テンプレ2,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側は大きな口を開ける美香、左側は頬張って至福の表情。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (右): 美香が大きな寿司を口に運ぶ。オノマトペ「あーん」。背景はピンクの水玉。
2コマ目 (左): 口いっぱいに頬張って咀嚼する美香。オノマトペ「モグモグ」。背景は幸福な花柄。 + 美香「ん〜〜っ！！」 [ハート型の吹き出し] [カメラ]
1|美香|H|ん〜〜っ！！"
10,テンプレ1,"◆【絶対最優先】キャラクター外見: 美香: 添付の美香.jpgと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 美香が美味しさのあまりとろけている表情のアップ。
◆【作画】ビジネス漫画向け、清潔感重視、整った線画、現代的でクリアなアニメ調、フルカラー
◆【ストーリー】
1コマ目 (全体): 美香が頬に手を当ててうっとりしている。オノマトペ「はわわ…」。背景はお花畑のようなイメージ。 + 美香「とろけますぅ〜！！」 [波線の吹き出し] [カメラ]
1|美香|H|とろけますぅ〜！！"
