ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第4巻

【目次】

　第9話　1,280円の重み
　　コラム⑨
　第10話　私のキャリアは、私が決める
　　コラム⑩"
2,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: キャラクター紹介ページ
◆【ストーリー】
1コマ目 (ページ全体): 登場人物紹介ページ。画面上部に「登場人物」のタイトル。キャラクターを縦に並べ、それぞれ全身イラスト＋横に名前と一行紹介。
・ミサキ: 32歳。主人公。ついに自分の力で収益を得る。
・ケンタ: 34歳。ミサキの夫。家族の応援団。
・ひなた（2歳期）: ミサキとケンタの娘。ママの奮闘を見守る。
・タクヤ: 42歳。ミサキのメンター。最後まで伴走する。
セリフ: なし ナレーション: なし オノマトペ: なし"
3,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1〜3巻）までのあらすじ】

佐藤ミサキ（32歳）は出産を機に退職後、メンターのタクヤに出会い、AIツール「Claude」を使い始めた。

「英語ダメ、プログラミングできない」と尻込みしていたミサキだが、日本語で話しかけるだけで使えるAIに驚き、晩ごはんのレシピから始めて徐々に活用の幅を広げていく。

Instagramで育児×キャリアの発信を始めたミサキは、AIの力を借りて毎日投稿に挑戦。3日間の空白に心が折れかけるも、「止まってもいい。やめなければいい」と再起。不完全な本音の投稿がかえって共感を呼び、フォロワー100人を達成。

「救われました」というDMに涙したミサキは、もう「何者でもない自分」ではなかった。"
4,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【タイトルページ】ダイニングテーブルでスマホを手に目を見開くミサキ。画面に「お振込がありました」の通知が光っている。背景にキッチンと朝の柔らかい光。タイトル「第9話 初めての振込通知」が大きく配置。 セリフ: なし ナレーション: なし オノマトペ: なし"
5,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): オンラインミーティング画面。タクヤが真剣な表情で話している。 セリフ: ［タクヤ］の吹き出しに「佐藤さん、そろそろ収益化の話をしましょう」 ナレーション: ［四角枠］フォロワーが200人を超えた頃—— オノマトペ: なし
2コマ目 (中段): ミサキが少し驚いた表情でモニターを見つめている。 セリフ: ［ミサキ］の吹き出しに「収益化……」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが穏やかに微笑みながら語りかけている。 セリフ: ［タクヤ］の吹き出しに「発信する力はもう身についています。次は、それをお金に変えるステップです」 ナレーション: なし オノマトペ: なし"
6,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが少し身構えた表情で考え込んでいる。心の中の葛藤が表情に出ている。 セリフ: ［ミサキ］の吹き出しに「せっかくフォロワーさんと信頼関係ができてきたのに、急に""売り込み""みたいになったら嫌だなって」 ナレーション: なし オノマトペ: なし
2コマ目 (下段右): タクヤが優しく頷いている。 セリフ: ［タクヤ］の吹き出しに「いい感覚です」 ナレーション: なし オノマトペ: なし
3コマ目 (下段左): タクヤが人差し指を立てて説明している。 セリフ: ［タクヤ］の吹き出しに「その気持ちを持ったまま収益化するのが、一番うまくいきます」 ナレーション: なし オノマトペ: なし"
7,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右): タクヤがホワイトボードにアフィリエイトの仕組み図を描いている。「紹介→クリック→購入→報酬」のフロー図。 セリフ: なし ナレーション: ［四角枠］アフィリエイト——自分が使っている商品を紹介し、リンク経由で購入されたら報酬が入る仕組み オノマトペ: なし
2コマ目 (上段左): タクヤが真剣な目で話している。 セリフ: ［タクヤ］の吹き出しに「大事なのは、本当にいいと思っているものだけを紹介すること。嘘は必ずバレます」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが共感した表情で頷いている。 セリフ: ［ミサキ］の吹き出しに「わかります。ステマっぽいアカウント、私もフォロー外したことあるので」 ナレーション: なし オノマトペ: うんうん"
8,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): タクヤが問いかけている。 セリフ: ［タクヤ］の吹き出しに「""これは本当に助かった""と思うものを、5つ挙げてみてください」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ミサキが腕を組んで考えている。頭の周りにアイテムのイメージ（電動鼻吸い器、ベビーモニター、抱っこ紐、冷凍離乳食）が浮かんでいる。 セリフ: なし ナレーション: ［四角枠］電動鼻吸い器、ベビーモニター、抱っこ紐、冷凍離乳食——そして オノマトペ: なし
3コマ目 (下段): ミサキがはっとした表情で答える。パソコン画面にClaudeのロゴが映っている。 セリフ: ［ミサキ］の吹き出しに「5つ目は……AIです」 ナレーション: なし オノマトペ: なし"
9,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): タクヤが興味深そうに聞いている。 セリフ: ［タクヤ］の吹き出しに「自分で使ってみて、どう感じましたか？」 ナレーション: なし オノマトペ: なし
2コマ目 (下段): ミサキが目を輝かせて語っている。背景に光のエフェクト。 セリフ: ［ミサキ］の吹き出しに「世界が変わりました。一人で全部やらなくていいんだって思えるようになった」 ナレーション: なし オノマトペ: なし"
10,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,ステップ図解,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): タクヤが静かに微笑んでいる。 セリフ: ［タクヤ］の吹き出しに「それを、佐藤さんの言葉で伝えてください」 ナレーション: なし オノマトペ: なし
2コマ目 (下段大): ミサキがパソコンに向かい、真剣な表情で文章を打ち始めている。画面にClaudeとのチャット画面が表示。決意の表情。 セリフ: なし ナレーション: ［四角枠］ミサキの新しい挑戦が始まった オノマトペ: カタカタ"
